CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1738158024.160299,ble-pd-B43A31EF7B45,144,7,-72.0,-64.0,-68.0,-68.0,,,,1.1009678388697335,3.020695792744556,1.275385182877857,1.8885737628108576,,,,0.1501659166868326,0.20159007595290637,0.2859312891217662,0.5057367877195693,,,,,,,-4.74,0.39,1.65
1738158025.158362,ble-pd-B43A31EF7B45,145,35,-80.0,-73.0,-80.0,-68.0,-51.0,-52.0,-39.0,1.130792579917531,3.0150243248871234,1.2945745901124228,1.8833875229040373,1.1547411153944078,1.2904547160027504,0.6827057950656966,0.17030479078428223,0.1472513199003363,0.2601887079718695,0.38993352206473136,0.3840834318695599,0.8754222411076235,0.5290628587416367,-4.641984939575195,0.8583662509918213,1.1232105493545532,-4.74,0.39,1.65
1738158026.157428,ble-pd-B43A31EF7B45,146,3,-75.0,-67.0,-68.0,-77.0,-59.0,-50.0,-40.0,1.581934731738044,3.0272588869349475,1.2866652679909967,1.9011827653079467,1.5184756672279154,1.8073384982303147,0.6458831627065542,0.11525591114942096,0.1852766330242738,0.31873723927282555,0.4793419984187122,0.5387671785292206,1.030579735948952,0.4940806792332463,-4.629666805267334,0.8646724820137024,1.1319327354431152,-4.74,0.39,1.65
1738158027.158297,ble-pd-B43A31EF7B45,147,36,-80.0,-73.0,-80.0,-69.0,-50.0,-52.0,-38.0,1.308487742595324,3.026030104407985,1.4777832951950072,1.8858573384989767,1.2931020321220292,1.0154192848458539,0.7134264230439054,0.19309604016939633,0.13698980235798952,0.3437550411320571,0.39526090950932585,0.5314697238263321,0.7603978057372427,0.5023488123424976,-4.647634029388428,0.866917610168457,1.1273622512817383,-4.74,0.39,1.65
1738158028.157239,ble-pd-B43A31EF7B45,148,27,-73.0,-70.0,-76.0,-69.0,,,-39.0,1.1787811448641048,3.0126338714926684,1.3578979029317821,1.8596049617374117,,,0.7678765533541424,0.20242467734902359,0.07932945192533171,0.2849382629303029,0.5213484710562092,,,0.4370449540287461,-4.644869327545166,0.86723530292511,1.120308518409729,-4.74,0.39,1.65
1738158029.157377,ble-pd-B43A31EF7B45,149,12,-73.0,,-69.0,-63.0,,-51.0,,1.0791456305815152,,1.4047317212296977,1.8964423385676057,,0.7630501135107267,,0.228053441651833,,0.22971881615000042,0.48947462728667757,,0.5140284873365447,,,,,-4.74,0.39,1.65
1738158030.157648,ble-pd-B43A31EF7B45,150,3,-75.0,-67.0,-68.0,-76.0,-57.0,-50.0,-40.0,1.088578813478685,3.0297137888277823,1.1044922662563443,1.9307092323136552,1.5901390209421533,1.2516061628892214,0.6799205757867095,0.23876131331525546,0.11759304306542567,0.26085619600958426,0.605092969693323,0.5058078445712118,1.0162018875612162,0.42198926628523703,-4.66860055923462,0.8607072234153748,1.1026736497879028,-4.74,0.39,1.65
1738158031.154337,ble-pd-B43A31EF7B45,151,13,-74.0,-67.0,-70.0,-63.0,,-52.0,,1.0173373901063023,3.098865962324998,1.4088079555941728,1.9484778431066638,,0.798571399547976,,0.2655837064186384,0.09309141175972185,0.2552905388712117,0.46093978831286003,,0.642363943160519,,-4.692339897155762,0.865330696105957,1.0936909914016724,-4.74,0.39,1.65
1738158032.15792,ble-pd-B43A31EF7B45,152,0,,-71.0,-69.0,-73.0,-55.0,-47.0,-39.0,,3.0053112437593863,1.2731302843828873,1.935908255393708,1.7002407337442316,1.5428738969202442,0.6483604708091494,,0.16695867867740904,0.31815207620230795,0.5961374913166865,0.3995069720699053,1.0120472749700122,0.44665074676308936,-4.71512222290039,0.858603298664093,1.08257782459259,-4.74,0.39,1.65
1738158033.158078,ble-pd-B43A31EF7B45,153,4,,-66.0,-68.0,-75.0,,-50.0,,,3.0492757722988504,1.1102004857368202,1.9654475055726488,,2.0312495661088508,,,0.18528696941825468,0.3228053842854897,0.5710477175289954,,1.059469518353975,,-4.728308200836182,0.861532986164093,1.0695524215698242,-4.74,0.39,1.65
