CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1738162508.871154,ble-pd-B43A31EF7B45,142,3,-66.0,-82.0,-63.0,-74.0,-55.0,-50.0,-50.0,-2.894290715816708,-2.246969465456598,-2.941913096113396,-2.3620180245480213,-2.3634390046047336,-2.804528416475702,-2.1675413840007565,0.1041715933435374,0.3459367692760773,0.3037334557445099,0.13419857650899109,0.3070671024916124,0.3642750864186809,0.5738777189471881,-6.27589750289917,7.925723552703857,0.945405662059784,-8.64,7.44,1.65
1738162509.871892,ble-pd-B43A31EF7B45,143,3,-66.0,,-63.0,-74.0,,-51.0,,-2.804449509075103,,-2.9379170228977323,-2.46674070914488,,-2.4443536862589665,,0.1406965480883515,,0.30010872705334396,0.17232804419868591,,1.2128680259196811,,-6.276907920837402,7.935880661010742,0.904066801071167,-8.64,7.44,1.65
1738162510.870704,ble-pd-B43A31EF7B45,144,18,-71.0,,-62.0,-78.0,,-51.0,,-2.9050922308819604,,-2.9391761654611215,-2.558892740764347,,-2.717332939026242,,0.15672598153148395,,0.32948169611172295,0.1770761941061882,,0.7216967783872311,,,,,-8.64,7.44,1.65
1738162511.87145,ble-pd-B43A31EF7B45,145,22,-68.0,,-63.0,-78.0,-49.0,-50.0,-56.0,-3.006311793380929,,-2.8986521747339307,-2.484881896174391,-2.417205047704498,-2.678422054381658,-2.1387736202189447,0.1738498909588549,,0.28409057875533067,0.14898235796413098,0.3789537379557923,0.576371219520557,0.3978621030984905,-6.26981544494629,7.942862033843994,0.810357093811035,-8.64,7.44,1.65
1738162512.871562,ble-pd-B43A31EF7B45,146,34,-75.0,,-68.0,-74.0,,,,-3.0302959558420737,,-3.06952991133723,-2.4152018841491216,,,,0.15689401035151115,,0.3716111069230407,0.14687291799894966,,,,,,,-8.64,7.44,1.65
1738162513.872654,ble-pd-B43A31EF7B45,147,23,-68.0,,-63.0,-78.0,-48.0,-50.0,-55.0,-3.0456799721950256,,-2.9645121484915906,-2.392361283060057,-2.4024744228092105,-2.601154153634795,-2.0378190801834335,0.16828273579236916,,0.34631966526180347,0.09630278456019391,0.41791474165396536,0.6069415972286327,0.4636723455082643,-6.263466835021973,7.9604339599609375,0.7724567651748657,-8.64,7.44,1.65
1738162514.871846,ble-pd-B43A31EF7B45,148,27,-69.0,,-67.0,-75.0,,,,-3.05184492380245,,-3.026586172443593,-2.3822865446562873,,,,0.11694624446042949,,0.30262984178878105,0.09838770679858969,,,,,,,-8.64,7.44,1.65
1738162515.869764,ble-pd-B43A31EF7B45,149,6,-66.0,,-62.0,-78.0,-62.0,-51.0,-52.0,-2.970455791412429,,-2.957798852015719,-2.2980289214561425,-2.5092171907779504,-1.997978329819224,-2.12121297204064,0.13965568486580768,,0.2612931375206822,0.15097902970190427,0.32988135858171747,1.2437585019764632,0.45379556211315375,-6.251282215118408,7.967791557312012,0.7322872281074524,-8.64,7.44,1.65
1738162516.871643,ble-pd-B43A31EF7B45,150,22,-68.0,,-63.0,-77.0,-48.0,-51.0,-56.0,-3.0865139548731015,,-2.8924794999593453,-2.3179416432427735,-2.475532529206987,-2.570859056141463,-2.0899179885027,0.17176377029796858,,0.26734234148922903,0.13755363517265132,0.3810412562080409,0.8046055484777879,0.4333132246348707,-6.24499797821045,7.97663974761963,0.7127841114997864,-8.64,7.44,1.65
1738162517.872597,ble-pd-B43A31EF7B45,151,31,-69.0,-79.0,-70.0,,,-55.0,,-3.054736850430167,-2.268708050486588,-2.9753416267482886,,,-2.594785014123015,,0.16767134058511424,0.2855332131178266,0.3273471059189972,,,0.621879005617134,,,,,-8.64,7.44,1.65
