CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1738938211.731116,ble-pd-B43A31EF7B45,845,7,,-76.0,-63,,,-56.0,-54.0,,-2.2218401437267192,-3.0386870438046953,,,-2.569723465977294,-2.2341698485322734,,0.21963191042900038,0.3268898411598306,,,0.31222969312602256,0.4914778971524905,-6.707106113433838,7.996060371398926,0.9956552386283875,-8.64,7.44,1.7
1738938212.737428,ble-pd-B43A31EF7B45,846,25,,-80.0,-61,,-52.0,-54.0,-53.0,,-2.229289005295671,-3.0269283886436686,,-2.8158672457778295,-2.5069551123275153,-2.0673814391310246,,0.257826417505942,0.3506185066038957,,0.8635646551102032,0.25591622783696677,0.5637876231695693,-6.99624252319336,8.385727882385254,0.8806270956993103,-8.64,7.44,1.7
1738938213.73033,ble-pd-B43A31EF7B45,847,22,,-76.0,-61,,-52.0,-54.0,-54.0,,-2.285293685123383,-3.0014632423003307,,-3.0139813181967874,-2.4918873286163397,-2.1514191844034376,,0.15360815226430094,0.4894815182159981,,0.607034556187936,0.23879673517595798,0.4449507758551406,-6.909492015838623,8.004236221313477,0.495316207408905,-8.64,7.44,1.7
1738938214.72916,ble-pd-B43A31EF7B45,848,6,,-76.0,-63,,-55.0,-58.0,-50.0,,-2.221115763910218,-3.0169860093460756,,-2.302331361967921,3.141592653589793,-2.210922309541697,,0.22270155312520976,0.24197786263509632,,1.2876324496808844,0.6632251158194115,0.4229330807854587,-6.876554489135742,7.874006748199463,-3.396066665649414,-8.64,7.44,1.7
1738938215.730627,ble-pd-B43A31EF7B45,849,28,,-83.0,-62,,-54.0,-52.0,-54.0,,-2.199807013080167,-3.0251555223060027,,-2.492707514247321,-2.794704246400537,-2.2683640436879937,,0.22972961859717206,0.24410209978908443,,1.0018390785923048,0.4300494340137142,0.3036114303739224,,,,-8.64,7.44,1.7
1738938216.730827,ble-pd-B43A31EF7B45,850,9,-69.0,-74.0,-61,-75.0,-55.0,-57.0,-52.0,-2.917680194406438,-2.188251290794204,-2.976433522795221,-2.308852274442333,-1.1581627919375816,-2.733158633523824,-2.2212833348560594,0.14636160771441126,0.24338020004134803,0.17446711183099436,0.4577256191932434,0.8337960201600815,0.33871245483435797,0.44191844582072254,-6.864413738250732,7.777634620666504,-4.230432510375977,-8.64,7.44,1.7
1738938217.730089,ble-pd-B43A31EF7B45,851,32,-74.0,-81.0,-62,-81.0,-56.0,-49.0,-58.0,-2.9437868962563756,-2.209458841502832,-3.0603044550050864,-2.321482315912034,-1.9290245736750908,-2.657333422929385,-2.270743357083039,0.11249080092386214,0.17928330550434818,0.23956114381439034,0.40426295991552536,0.9884930079411076,0.34340387804082523,0.6045216601076007,-6.917498588562012,7.901227951049805,-4.369726181030273,-8.64,7.44,1.7
1738938218.730396,ble-pd-B43A31EF7B45,852,36,-70.0,-87.0,-63,-82.0,-56.0,-49.0,-59.0,-2.928934180540895,-2.270805556161134,-3.117387448758172,-2.273686830144491,-2.3313429670438652,-2.6138900782094034,-2.3785425399203275,0.15379966683619126,0.20036124349167336,0.2105796427914961,0.387459511991075,0.893535009731607,0.27367590110413076,0.5140284874076165,-6.862170219421387,7.901022911071777,-5.29490327835083,-8.64,7.44,1.7
1738938219.731788,ble-pd-B43A31EF7B45,853,11,-72.0,-74.0,-60,-75.0,-52.0,-58.0,-50.0,-2.86340577033895,-2.2340070614828553,-3.06626567478912,-2.223843639814786,-2.452322366514296,-2.6341514056403352,-2.2770340818350174,0.16377473643616483,0.21813334968361278,0.2080924001361734,0.1880653788045071,0.5425683145166389,0.26110565963517673,0.6583218889042142,-6.82512092590332,8.12844181060791,-5.390257358551025,-8.64,7.44,1.7
1738938220.731913,ble-pd-B43A31EF7B45,854,10,-71.0,-73.0,-60,-75.0,-55.0,-57.0,-52.0,-2.944725660540629,-2.204717615814164,-3.022444690632411,-2.2804496614166383,-1.5333886567663975,-2.672052178017387,-2.1628769260500476,0.13024585456244664,0.20363283702229484,0.12757135007059936,0.15144634789418593,0.8196517189989131,0.2503480914278484,0.7099151806285355,-6.7796893119812,8.13389492034912,-5.38127851486206,-8.64,7.44,1.7
1738938221.729617,ble-pd-B43A31EF7B45,855,21,-76.0,-75.0,-61,-75.0,-52.0,-55.0,-53.0,-2.9441323082497592,-2.1601639960415744,-3.0019982713633278,-2.305549954690635,-2.687719967701924,-2.585112678520535,-2.148351900206285,0.11860965487729298,0.24106706154228927,0.2256115393140689,0.17511324464571804,0.890962263837072,0.22371259448487518,0.5932178987791764,-6.687744140625,8.0011510848999,-5.393336296081543,-8.64,7.44,1.7
1738938222.729699,ble-pd-B43A31EF7B45,856,4,-66.0,-76.0,-63,-76.0,-57.0,-49.0,-50.0,-2.924559139502113,-2.122978544056907,-2.9602494928508096,-2.2496113212579565,-1.748445937732169,-3.0973065359461693,-2.2365227465996376,0.12385336080701016,0.2569155997683781,0.17040014859606392,0.1832034952737016,1.3757010451055605,0.6627492661617009,0.5532824127904231,-6.591046333312988,8.110499382019043,-5.403425216674805,-8.64,7.44,1.7
1738938223.73072,ble-pd-B43A31EF7B45,857,19,-79.0,-75.0,-61,-74.0,-52.0,-56.0,-53.0,-2.9904542669861613,-2.078892974845899,-2.9703290249445415,-2.263601439096361,3.000432633840559,-2.715874047092615,-2.126321192137212,0.09400192156928472,0.277182705072315,0.25857118714953947,0.18068426139578436,0.9027157155189371,0.43447326365844835,0.561125190161407,-6.664832592010498,8.18337631225586,-5.335156440734863,-8.64,7.44,1.7
1738938224.72993,ble-pd-B43A31EF7B45,858,16,-71.0,-75.0,-62,-75.0,-51.0,-65.0,-53.0,-2.9655976529519066,-2.1461686850390445,-2.9764417785946002,-2.2666843143742366,2.7123494337880465,-2.623872978636104,-2.105943462364013,0.11165560031649967,0.26917837467900013,0.3622317864589179,0.14378483291219146,0.5334004471384891,0.3219533185017456,0.5004395108615248,-6.774120807647705,8.55563163757324,-4.975765228271484,-8.64,7.44,1.7
1738938225.729417,ble-pd-B43A31EF7B45,859,14,-72.0,-75.0,-61,-74.0,-51.0,,-50.0,-2.9394832279348075,-2.182638945112971,-2.9612846635665235,-2.2596991091510676,-2.969925731791796,,-2.14447574191921,0.10345209044078206,0.27411848856682663,0.42583363263878565,0.09812961319944738,0.4134041618796359,,0.5424452603466988,-6.766008377075195,8.667545318603516,-1.0962580442428589,-8.64,7.44,1.7
1738938226.730909,ble-pd-B43A31EF7B45,860,5,-67.0,-77.0,-63,-76.0,-56.0,-52.0,-50.0,-2.9138465740172688,-2.2074537475181115,-2.9819057862031157,-2.2557608265310587,-2.645126443679283,-3.118108864886163,-2.1943844439805593,0.09474230531946198,0.2695294126001862,0.2609250720132764,0.10464519493151596,1.2361637933685483,0.7329011584724902,0.5134641669963593,-6.656039237976074,8.545897483825684,-0.2819770574569702,-8.64,7.44,1.7
1738938227.729771,ble-pd-B43A31EF7B45,861,28,-70.0,-83.0,-62,-92.0,-53.0,-52.0,-53.0,-2.867743260806362,-2.1707236960798473,3.0718455299050538,-2.2577014720173993,-2.5915605155634895,-2.732136524343356,-2.169915899680231,0.09939439001301804,0.21615438796708852,0.3518128344842554,0.09693225597334776,0.9382786417924087,0.5372708709900371,0.5134641669953751,-6.52669382095337,8.420433044433594,-0.1548944115638733,-8.64,7.44,1.7
1738938228.729775,ble-pd-B43A31EF7B45,862,27,-71.0,-83.0,-62,,-52.0,-52.0,-52.0,-2.858724465774809,-2.1426101691904806,2.9931123680701694,,-2.5762853869246856,-2.577983641094867,-2.0766260362644617,0.10784251955723784,0.23903342179963433,0.5313843273080637,,0.7533257754816944,0.35996797989668217,0.605326781392063,-6.694207191467285,8.412282943725586,0.33422204852104187,-8.64,7.44,1.7
1738938229.731072,ble-pd-B43A31EF7B45,863,17,-73.0,-75.0,-62,-75.0,-51.0,-63.0,-54.0,-2.8955213625564338,-2.195920395785305,3.04462642566779,-2.2868537648899516,3.1008754341551623,-2.4864151437965343,-2.0527918120369097,0.12048705028774434,0.14549814430998032,0.6295276724318819,0.11687341532699423,0.5406860803488643,0.2665347862578054,0.5514842793644377,-6.714202404022217,8.335254669189453,0.5876965522766113,-8.64,7.44,1.7
1738938230.729863,ble-pd-B43A31EF7B45,864,33,-75.0,-82.0,-62,-81.0,-57.0,-49.0,-56.0,-2.7921949733191034,-2.1924360489731,3.0812102695622086,-2.2561853344088174,-2.860185644493725,-2.5219470265329567,-2.0994082011093926,0.18087905498476683,0.1531468594739856,0.5529125891909645,0.13567336021927132,0.6265956528488428,0.2732977255562743,0.6603139303947013,-6.499108791351318,8.08578109741211,0.6087151169776917,-8.64,7.44,1.7
1738938231.729819,ble-pd-B43A31EF7B45,865,16,-72.0,-75.0,-62,-75.0,-51.0,-63.0,-53.0,-2.8254748995651697,-2.201983747797143,3.1206484895129742,-2.276514308273828,2.9093683430284205,-2.598434713222973,-2.0919642085218233,0.18115968558463394,0.13231380747127158,0.5754193630373877,0.11510446882955794,0.4431548379204565,0.2559879865182337,0.5673771814907498,-6.611370086669922,8.25785541534424,0.6537755727767944,-8.64,7.44,1.7
1738938232.754771,ble-pd-B43A31EF7B45,866,0,-67.0,-82.0,-67,-82.0,-53.0,-50.0,-52.0,-2.748993973064165,-2.1154456597555633,-3.0691141918910687,-2.237726698577369,2.5067536681150298,-2.509276609512451,-2.153133401098594,0.14959616666112382,0.1124199025822172,0.39103061127578953,0.16592191006504117,1.333912819970604,0.5623531902201665,0.47388429705074553,-6.681438446044922,8.38082981109619,0.7016932368278503,-8.64,7.44,1.7
