CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1739884543.057706,ble-pd-B43A31EF7B45,75,29,-77.0,-70.0,,-73.0,-61.0,-51.0,-34.0,1.0355313077253967,3.120436501890204,,2.244201109503461,0.8674365352436139,2.4771011206248374,1.9552738888980672,0.4984112305090883,0.09517351271183783,,0.19467576074900408,0.8026294629789729,0.48813399242998406,0.7236919187052481,-5.349543571472168,1.089030146598816,-1.323853611946106,-5.94,0.39,1.62
1739884544.058205,ble-pd-B43A31EF7B45,76,17,-80.0,-75.0,-81.0,-72.0,-47.0,-52.0,-34.0,1.0482234008484963,3.119545408189463,2.571495085358711,2.246471188016644,1.0071267201404388,2.421988021856897,1.9376976335005094,0.26141912168499976,0.1021343083991404,0.16722499478641695,0.23278468048641326,0.3702802854887406,0.46945079357734065,0.7515574486489653,-5.327622413635254,1.0797659158706665,-1.224277138710022,-5.94,0.39,1.62
1739884545.059015,ble-pd-B43A31EF7B45,77,4,-69.0,-68.0,-70.0,-71.0,-55.0,-49.0,-32.0,1.0063843411750244,3.1044548721886382,2.4659833061308616,2.224960303259856,1.4352919870265528,2.4797558709620904,1.9495842230074312,0.24979748616205746,0.12738101727644274,0.16071782697891732,0.3073383105960411,1.2007234422798196,0.3672954869583101,0.7667320967802129,-5.3154034614563,1.0868415832519531,-1.1270498037338257,-5.94,0.39,1.62
1739884546.057841,ble-pd-B43A31EF7B45,78,26,-80.0,-74.0,-88.0,-77.0,-57.0,-48.0,-34.0,1.00690898390977,3.137393913815174,2.354307906876133,2.254529380843006,1.5707963266205522,2.447963985774507,1.9495842230074312,0.36684694475948426,0.13570238867515316,0.18231384966680383,0.23654236749500146,0.9599310885968813,0.3442788693790519,0.7667320967802129,-5.313453674316406,1.104544997215271,-1.0792884826660156,-5.94,0.39,1.62
1739884547.059647,ble-pd-B43A31EF7B45,79,25,-79.0,-74.0,-86.0,-78.0,-53.0,-48.0,-34.0,1.0450925886709992,3.1093486970077677,2.259792852421439,2.2576596603882852,1.870504926434359,2.412381552264293,1.9338138750705944,0.34731385658624364,0.11125486115147,0.2258032869125546,0.1767207786139603,0.7375795500154775,0.3346473206000399,0.7730584995472995,-5.314947128295898,1.1207278966903687,-0.9052550792694092,-5.94,0.39,1.62
1739884548.057137,ble-pd-B43A31EF7B45,80,3,-70.0,-67.0,-70.0,-71.0,-57.0,,,1.0089556232074959,3.117244437007635,2.3705995285285835,2.260346257295957,0.5650606149551295,,,0.3237411858030299,0.09122774827364122,0.24373413415021955,0.2778964821787267,1.066316662098288,,,,,,-5.94,0.39,1.62
1739884549.059501,ble-pd-B43A31EF7B45,81,23,-78.0,-73.0,-81.0,-76.0,-52.0,-50.0,-34.0,1.054805669798736,-3.1220980480943044,2.3615735429620868,2.331762650351958,2.0518022584547975,2.4082433961557563,1.9177499866347725,0.3299940550159406,0.07159356816989682,0.2637696609526173,0.34350656820235276,0.7814837132606869,0.3476383315534267,0.7791251913577404,-5.315372467041016,1.1414763927459717,-0.926991879940033,-5.94,0.39,1.62
1739884550.05951,ble-pd-B43A31EF7B45,82,13,-74.0,-68.0,-77.0,-67.0,,-50.0,,1.0139993839959969,-3.129752239383301,2.427375459807983,2.301046282971202,,2.4301425097001546,,0.3509293307926216,0.08716372283828827,0.27256305268740905,0.3831450245775785,,0.3395127919812495,,,,,-5.94,0.39,1.62
1739884551.058891,ble-pd-B43A31EF7B45,83,7,-72.0,-71.0,-73.0,-68.0,-61.0,-51.0,-33.0,0.9865355352545548,-3.1340463203249445,2.494332655934755,2.2896096039859657,1.125640496969683,2.451871393495564,1.9066950796268614,0.39917229420232525,0.1427930217879755,0.2407513937293308,0.46300100841755415,1.1821334150267548,0.3308365497691308,0.763575255160809,-5.276579856872559,1.245788335800171,-0.951991617679596,-5.94,0.39,1.62
1739884552.060593,ble-pd-B43A31EF7B45,84,23,-78.0,-74.0,-83.0,-77.0,-53.0,-50.0,-34.0,0.9936293974501988,-3.050718406661346,2.4951555727115893,2.3242504055490625,2.0994082011093926,2.4301425097001546,1.9177499866347725,0.3856335155896622,0.10318703933329192,0.309548101800048,0.48957482872269176,0.6603139303947013,0.3395127919812495,0.7791251913577404,-5.24303150177002,1.3402349948883057,-0.9855570793151855,-5.94,0.39,1.62
1739884553.057732,ble-pd-B43A31EF7B45,85,15,-75.0,-69.0,-80.0,-71.0,-48.0,-51.0,-33.0,0.9530268434708509,-3.0854683978291364,2.521021258482875,2.31638023189566,1.440682307672396,2.4350975029193074,1.9066950796268614,0.36590232152083324,0.11280699304666021,0.31065740826260685,0.4394036701047435,0.6343723579136235,0.38432845043421837,0.763575255160809,-5.2333221435546875,1.3543055057525635,-0.941209852695465,-5.94,0.39,1.62
1739884554.059877,ble-pd-B43A31EF7B45,86,36,-78.0,-73.0,-76.0,-73.0,-49.0,-51.0,-34.0,0.9217722512337899,-3.0713973198935935,2.4775004125810183,2.3124520692877932,1.0439665313004642,2.4039139635136944,1.9223337031386245,0.4135669129207989,0.1252008370948062,0.38131916133422017,0.4435545062692546,0.50927785616368,0.3605798816779776,0.75769335791945,-5.231191158294678,1.19868528842926,-0.861979365348816,-5.94,0.39,1.62
