CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1739974012.17016,ble-pd-B43A31EF7B45,50,7,-69.0,-83.0,-62,-80.0,-56.0,-52.0,-56.0,3.0723627157887474,-2.234757007645822,-3.0191266582302814,-2.455757832809393,-2.3713728376801697,-2.5673910720732493,-2.2341698485322734,0.3015095830762392,0.16951627871978028,0.39521437076927673,0.6295033045079076,0.2029793442904678,0.2212927158287457,0.4914778971524905,-6.529791831970215,7.90636396408081,0.7961242198944092,-8.64,7.44,1.62
1739974013.171712,ble-pd-B43A31EF7B45,51,23,-67.0,-84.0,-68,-82.0,-49.0,-53.0,-55.0,3.1257479103682577,-2.24457714784938,-3.0039785979499105,-2.304710259998933,-2.441516907407209,-2.54968901758222,-2.1265477216326527,0.24187895949011354,0.17719039378268214,0.3482893059145124,0.7472111631058295,0.21588345326478597,0.21880566124678835,0.6637753621760749,-6.45985507965088,7.899134635925293,0.874910593032837,-8.64,7.44,1.62
1739974014.171378,ble-pd-B43A31EF7B45,52,14,-69.0,-85.0,-61,-73.0,-55.0,-51.0,-54.0,3.1268813517281955,-2.224836865743331,-3.029361985247783,-2.3456872544275464,-2.4236807916505785,-2.54968901758222,-2.2028276286165465,0.2470377189034356,0.13111227241121187,0.37708240493504036,0.7460229272064632,0.2954015193269419,0.21880566124678835,0.5336161290234964,-6.35296630859375,7.8811235427856445,0.9590651392936707,-8.64,7.44,1.62
1739974015.172471,ble-pd-B43A31EF7B45,53,25,-68.0,-83.0,-70,-84.0,-49.0,-53.0,-56.0,-3.1318952851124875,-2.232226738294137,-3.0393214087763525,-2.255198100592725,-2.4333691945297846,-2.54968901758222,-2.19200433946226,0.22969874257328396,0.14690853777852947,0.3092229964099766,0.8182251525211193,0.2557943335899627,0.21880566124678835,0.7119225080657237,-6.266525745391846,7.875309467315674,0.9785468578338623,-8.64,7.44,1.62
1739974016.171645,ble-pd-B43A31EF7B45,54,31,-70.0,-84.0,-76,-82.0,-49.0,-51.0,-64.0,-3.1193185068645883,-2.2882274233802145,-3.112525581872123,-2.3540266770650202,-2.4918873286163397,-2.74095326870671,-2.2037944640359863,0.1865023862054964,0.1485475136923915,0.28194746644711666,0.8327206717553933,0.23879673517595798,0.40557604256886703,0.648073036837977,-6.246041774749756,7.88398551940918,0.9762882590293884,-8.64,7.44,1.62
1739974017.169943,ble-pd-B43A31EF7B45,55,5,-69.0,-77.0,-60,-76.0,-54.0,-51.0,-55.0,3.140612077676426,-2.113546959056391,-3.1148446625493644,-2.462773930701207,-2.423944831855199,3.030206017654608,-2.2702331958401567,0.2024289051172541,0.16902382694471096,0.34941136226079006,0.7268454376177755,0.21275181238452862,0.3470727050458843,0.5406701808275004,-6.190707683563232,7.873809814453125,1.000831127166748,-8.64,7.44,1.62
1739974018.170375,ble-pd-B43A31EF7B45,56,17,-68.0,-81.0,-62,-74.0,-54.0,-54.0,-60.0,-3.0311273947343964,-2.2462453519562056,-3.0343474228084113,-2.4841247594764813,-2.4213826214484633,-2.8502759694667037,-2.279012511856237,0.24683643385929604,0.1762251144008261,0.39236145945152934,0.7740438426689227,0.22588577192157872,0.2848835749686033,0.45575418627493103,-6.147066593170166,7.87161636352539,0.9520923495292664,-8.64,7.44,1.62
1739974019.1732,ble-pd-B43A31EF7B45,57,6,-69.0,-79.0,-61,-80.0,-56.0,-51.0,-55.0,3.1414051670490517,-2.2373163054533878,-3.0734684602733484,-2.7410423066814062,-2.3888727449403135,2.9782926304631636,-2.2859152428727207,0.27259349594762006,0.17866906404367822,0.478659862995002,0.8585715769826291,0.20629867989440479,0.27572414656567057,0.4025660375368858,-6.04588794708252,7.679687023162842,0.9147592186927795,-8.64,7.44,1.62
1739974020.172429,ble-pd-B43A31EF7B45,58,17,-68.0,-82.0,-62,-75.0,-54.0,-54.0,-59.0,2.9357931519283937,-2.285011922680053,-3.0000056942357305,-2.8592802674943085,-2.401084291159816,-2.8878093778271547,-2.268676189668456,0.39509043391004717,0.26382607003345654,0.43558835894806874,0.9356554431544274,0.23538571970124686,0.2707453906893821,0.3953356327256086,-5.956299781799316,7.503205299377441,0.9136357307434082,-8.64,7.44,1.62
1739974021.171017,ble-pd-B43A31EF7B45,59,6,-69.0,-78.0,-61,-80.0,-56.0,-51.0,-55.0,2.582316041499921,-2.202090141082692,-3.0429984352934247,-2.806500942062791,-2.4063967553456465,2.943007661921635,-2.2859152428727207,0.38992270297280285,0.17163723685667617,0.4654906645626147,0.7742551645014205,0.20955653115050962,0.25687962933761516,0.4025660375368858,-5.84168004989624,7.3040924072265625,0.907163381576538,-8.64,7.44,1.62
