CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1743705391.422686,ble-pd-B43A31EF7B45,7144,32,,-61.0,-75.0,-77.0,,,-67.0,,-2.6816261174973026,-2.9229300838633114,-2.0845742963993645,,,-1.9656394279036082,,0.06960381648976853,0.8046381706927258,1.4155569384286517,,,0.5023488123974248,,,,-8.64,7.44,1.65
1743705392.422865,ble-pd-B43A31EF7B45,7145,22,,-63.0,-83.0,-73.0,-55.0,-54.0,-64.0,,-2.6817856408465985,-2.915501196002535,-1.8501471446001587,-2.585112678520535,-2.919138260676119,-2.1238215364013175,,0.09280642023356975,0.663198084672781,1.3931949073874743,0.22371259448487518,0.3411236234270117,0.3524379355841162,-6.533051490783691,4.829975128173828,0.9439520239830017,-8.64,7.44,1.65
1743705393.423309,ble-pd-B43A31EF7B45,7146,24,,-60.0,-82.0,-72.0,-54.0,-56.0,-61.0,,-2.67921888618798,-2.940391099550416,-1.5884453616549608,-2.5673910720732493,-2.794704246400537,-2.2552434388277027,,0.0943044233796041,0.718627721442118,1.339189063115921,0.2212927158287457,0.4300494340137142,0.28669827426742467,-6.620992183685303,4.90095853805542,0.9637566804885864,-8.64,7.44,1.65
1743705394.424275,ble-pd-B43A31EF7B45,7147,14,-73.0,,,-75.0,-61.0,-57.0,-63.0,-2.992738726569231,,,-1.6335382715482913,-2.4967028026799016,-2.623872978636104,-2.2378755720470997,0.7894609487984187,,,1.2909176704615808,0.21095007257316042,0.3219533185017456,0.3303783657192991,-6.702757835388184,4.96895170211792,1.2754005193710327,-8.64,7.44,1.65
1743705395.423265,ble-pd-B43A31EF7B45,7148,14,-73.0,,,-75.0,-61.0,-58.0,-63.0,-2.983524455513666,,,-1.5421765329823056,-2.4790814618576147,-2.542485035277,-2.239913138467604,0.7296022088201709,,,1.3004074455319148,0.20820303828000894,0.2621559675153181,0.36977330549992526,-6.787270545959473,5.049495220184326,1.5761075019836426,-8.64,7.44,1.65
1743705396.42395,ble-pd-B43A31EF7B45,7149,33,-81.0,,,-76.0,-53.0,-58.0,-64.0,-2.971414529404858,,,-1.5528191904885347,-2.4439009458015954,-2.5959966816556435,-2.0994082011093926,0.6783277691416301,,,1.4995395902462456,0.202521746209891,0.2709185204790966,0.6603139303947013,-6.867247581481934,5.129921913146973,1.6855038404464722,-8.64,7.44,1.65
1743705397.424237,ble-pd-B43A31EF7B45,7150,2,-81.0,,,-73.0,-61.0,-53.0,-60.0,-2.948095358267906,,,-1.6170389233308144,-2.426342034412682,-3.050360443086353,-2.023877175463341,0.6662729038883591,,,1.4898157233160945,0.19958939241581455,0.2955427818889809,0.7314294524520298,-7.048038005828857,5.23549222946167,1.7238826751708984,-8.64,7.44,1.65
1743705398.423314,ble-pd-B43A31EF7B45,7151,18,-75.0,,,-72.0,-58.0,-56.0,-67.0,-3.0209376077715353,,,-1.7591823501946493,-2.4967028026799016,2.8878093778271547,-2.1907823877367836,0.6435637297990899,,,1.4321758625790733,0.21095007257316042,0.2707453906893821,0.605632219007535,-7.2805352210998535,5.312580585479736,1.7095892429351807,-8.64,7.44,1.65
1743705399.422958,ble-pd-B43A31EF7B45,7152,31,,-61.0,-76.0,-75.0,-54.0,-57.0,-68.0,,-2.6906771367780458,2.628232667118413,-1.840630205286706,-2.4967028026799016,-3.0332071626290014,-2.0919642085218233,,0.06932351462384849,0.8507900200144992,1.4655905447762974,0.21095007257316042,0.26033182213342815,0.5673771814907498,-7.465869903564453,5.36509084701538,1.8040356636047363,-8.64,7.44,1.65
1743705400.422879,ble-pd-B43A31EF7B45,7153,29,,-61.0,-77.0,-72.0,-53.0,-57.0,-67.0,,-2.674778597702491,2.5672473434200342,-1.9070939176634867,-2.512042800229853,-2.892162636208912,-2.2120336234873563,,0.05569212874546711,0.9981758129051276,1.4623329661309123,0.22775277628386165,0.4244137155938116,0.383504927403376,-7.605003356933594,5.43033504486084,1.9125702381134033,-8.64,7.44,1.65
