tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-71,0,91,CAEQs6aQh6aMiMGrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165613.773196,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,218,CAEQs6aQh6aMiMGrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165613.774152,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-68,0,172,CAEQs6aQh6aMiMGrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165613.774321,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQs6aQh6aMiMGrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165613.784627,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQs6aQh6aMiMGrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165613.786298,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-67,0,173,CAEQgKD/qPOepo2pARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165614.772908,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-62,0,92,CAEQgKD/qPOepo2pARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165614.773844,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-84,0,130,CAEQgKD/qPOepo2pARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165614.777815,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,219,CAEQgKD/qPOepo2pARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165614.781422,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQgKD/qPOepo2pARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165614.788726,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQgKD/qPOepo2pARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165614.789448,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQgKD/qPOepo2pARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165614.792268,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-66,0,174,CAEQ1rLw7Le4j6bGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165615.773024,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,220,CAEQ1rLw7Le4j6bGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165615.773186,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-61,0,93,CAEQ1rLw7Le4j6bGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165615.773566,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-87,0,131,CAEQ1rLw7Le4j6bGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165615.773885,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ1rLw7Le4j6bGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165615.786394,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-65,0,175,CAEQn6TM9cfZ6vbkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165616.772837,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-83,0,132,CAEQn6TM9cfZ6vbkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165616.773923,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-62,0,94,CAEQn6TM9cfZ6vbkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165616.774591,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,221,CAEQn6TM9cfZ6vbkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165616.777483,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQn6TM9cfZ6vbkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165616.782485,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQn6TM9cfZ6vbkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165616.787055,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQn6TM9cfZ6vbkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165616.822065,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-72,0,95,CAEQl7mBgsml/W8YASABKgcIARUAAH8/KgIIAioCCAM=,1738165617.770151,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-87,0,133,CAEQl7mBgsml/W8YASABKgcIARUAAH8/KgIIAioCCAM=,1738165617.772904,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,222,CAEQl7mBgsml/W8YASABKgcIARUAAH8/KgIIAioCCAM=,1738165617.773178,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,176,CAEQl7mBgsml/W8YASABKgcIARUAAH8/KgIIAioCCAM=,1738165617.776775,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQl7mBgsml/W8YASABKgcIARUAAH8/KgIIAioCCAM=,1738165617.782425,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQl7mBgsml/W8YASABKgcIARUAAH8/KgIIAioCCAM=,1738165617.785927,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQl7mBgsml/W8YASABKgcIARUAAH8/KgIIAioCCAM=,1738165617.81997,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-69,0,177,CAEQyOCX4Mqsruh1GAEgASoHCAEVAAAIPioCCAIqBwgDFQAAXj8=,1738165618.773034,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-79,0,134,CAEQyOCX4Mqsruh1GAEgASoHCAEVAAAIPioCCAIqBwgDFQAAXj8=,1738165618.773589,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-64,0,96,CAEQyOCX4Mqsruh1GAEgASoHCAEVAAAIPioCCAIqBwgDFQAAXj8=,1738165618.774243,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,223,CAEQyOCX4Mqsruh1GAEgASoHCAEVAAAIPioCCAIqBwgDFQAAXj8=,1738165618.774896,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQyOCX4Mqsruh1GAEgASoHCAEVAAAIPioCCAIqBwgDFQAAXj8=,1738165618.782828,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQyOCX4Mqsruh1GAEgASoHCAEVAAAIPioCCAIqBwgDFQAAXj8=,1738165618.786234,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQyOCX4Mqsruh1GAEgASoHCAEVAAAIPioCCAIqBwgDFQAAXj8=,1738165618.790139,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-63,0,178,CAEQ/ePtoryd+952GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165619.772903,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-71,0,135,CAEQ/ePtoryd+952GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165619.773052,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-60,0,97,CAEQ/ePtoryd+952GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165619.773974,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,224,CAEQ/ePtoryd+952GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165619.774402,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ/ePtoryd+952GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165619.787009,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/ePtoryd+952GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165619.78728,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ/ePtoryd+952GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165619.789331,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-63,0,179,CAEQ4OG4zo/OjsFJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738165620.772911,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-60,0,98,CAEQ4OG4zo/OjsFJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738165620.773092,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,136,CAEQ4OG4zo/OjsFJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738165620.774517,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,225,CAEQ4OG4zo/OjsFJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738165620.77535,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ4OG4zo/OjsFJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738165620.786077,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ4OG4zo/OjsFJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738165620.786309,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-69,0,180,CAEQx8nis7rG/7xTGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165621.772949,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,226,CAEQx8nis7rG/7xTGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165621.773356,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-79,0,137,CAEQx8nis7rG/7xTGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165621.774229,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-64,0,99,CAEQx8nis7rG/7xTGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165621.774663,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQx8nis7rG/7xTGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165621.784982,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQx8nis7rG/7xTGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165621.790486,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQx8nis7rG/7xTGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738165621.790581,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-63,0,100,CAEQ2d61wdnV4vI1GAEgASoHCAEVAABePyoCCAIqBwgDFQAACD4=,1738165622.774997,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-67,0,181,CAEQ2d61wdnV4vI1GAEgASoHCAEVAABePyoCCAIqBwgDFQAACD4=,1738165622.775178,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-80,0,138,CAEQ2d61wdnV4vI1GAEgASoHCAEVAABePyoCCAIqBwgDFQAACD4=,1738165622.775821,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,227,CAEQ2d61wdnV4vI1GAEgASoHCAEVAABePyoCCAIqBwgDFQAACD4=,1738165622.77627,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ2d61wdnV4vI1GAEgASoHCAEVAABePyoCCAIqBwgDFQAACD4=,1738165622.786946,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2d61wdnV4vI1GAEgASoHCAEVAABePyoCCAIqBwgDFQAACD4=,1738165622.788946,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ2d61wdnV4vI1GAEgASoHCAEVAABePyoCCAIqBwgDFQAACD4=,1738165622.789141,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-69,0,182,CAEQs4m/qNeJ1sbyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165623.773053,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,101,CAEQs4m/qNeJ1sbyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165623.773749,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,228,CAEQs4m/qNeJ1sbyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165623.774289,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-98,0,139,CAEQs4m/qNeJ1sbyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165623.774779,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQs4m/qNeJ1sbyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165623.786585,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQs4m/qNeJ1sbyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165623.801395,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQs4m/qNeJ1sbyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165623.801512,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-67,0,183,CAEQg56NgsC7/840GAEgASoHCAEVAAB/PyoCCAIqAggD,1738165624.773029,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-63,0,102,CAEQg56NgsC7/840GAEgASoHCAEVAAB/PyoCCAIqAggD,1738165624.773185,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-81,0,140,CAEQg56NgsC7/840GAEgASoHCAEVAAB/PyoCCAIqAggD,1738165624.773293,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,229,CAEQg56NgsC7/840GAEgASoHCAEVAAB/PyoCCAIqAggD,1738165624.774943,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQg56NgsC7/840GAEgASoHCAEVAAB/PyoCCAIqAggD,1738165624.784234,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQg56NgsC7/840GAEgASoHCAEVAAB/PyoCCAIqAggD,1738165624.785001,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQg56NgsC7/840GAEgASoHCAEVAAB/PyoCCAIqAggD,1738165624.786644,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-68,0,184,CAEQ4MOP/NXh2ri6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165625.774057,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-63,0,103,CAEQ4MOP/NXh2ri6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165625.774932,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-81,0,141,CAEQ4MOP/NXh2ri6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165625.775505,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,230,CAEQ4MOP/NXh2ri6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165625.777174,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ4MOP/NXh2ri6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165625.784012,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ4MOP/NXh2ri6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165625.788368,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ4MOP/NXh2ri6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165625.796521,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-68,0,231,CAEQ5qqB/e75trn9ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165626.77348,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-81,0,104,CAEQ5qqB/e75trn9ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165626.774211,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,142,CAEQ5qqB/e75trn9ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738165626.774388,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
