tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-76,0,47,CAEQksLottvFuPJFGAEgASoCCAEqAggCKgcIAxUAAH8/,1738244465.136042,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,47,CAEQksLottvFuPJFGAEgASoCCAEqAggCKgcIAxUAAH8/,1738244465.13733,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-47,0,47,CAEQksLottvFuPJFGAEgASoCCAEqAggCKgcIAxUAAH8/,1738244465.13761,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,47,CAEQksLottvFuPJFGAEgASoCCAEqAggCKgcIAxUAAH8/,1738244465.14019,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQksLottvFuPJFGAEgASoCCAEqAggCKgcIAxUAAH8/,1738244465.149399,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQksLottvFuPJFGAEgASoCCAEqAggCKgcIAxUAAH8/,1738244465.150992,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQksLottvFuPJFGAEgASoCCAEqAggCKgcIAxUAAH8/,1738244465.152697,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-79,0,48,CAEQr+TnyuijjrArGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738244466.138346,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-70,0,48,CAEQr+TnyuijjrArGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738244466.140221,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-47,0,48,CAEQr+TnyuijjrArGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738244466.14071,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,48,CAEQr+TnyuijjrArGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738244466.142745,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQr+TnyuijjrArGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738244466.146282,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQr+TnyuijjrArGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738244466.15303,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQr+TnyuijjrArGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738244466.169981,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-47,0,49,CAEQ0Z/mup+gt88MGAEgASoHCAEVAAB9PyoCCAIqBwgDFQAAQDw=,1738244467.135389,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,49,CAEQ0Z/mup+gt88MGAEgASoHCAEVAAB9PyoCCAIqBwgDFQAAQDw=,1738244467.136446,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-72,0,49,CAEQ0Z/mup+gt88MGAEgASoHCAEVAAB9PyoCCAIqBwgDFQAAQDw=,1738244467.137634,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-79,0,49,CAEQ0Z/mup+gt88MGAEgASoHCAEVAAB9PyoCCAIqBwgDFQAAQDw=,1738244467.141603,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ0Z/mup+gt88MGAEgASoHCAEVAAB9PyoCCAIqBwgDFQAAQDw=,1738244467.149141,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ0Z/mup+gt88MGAEgASoHCAEVAAB9PyoCCAIqBwgDFQAAQDw=,1738244467.151278,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0Z/mup+gt88MGAEgASoHCAEVAAB9PyoCCAIqBwgDFQAAQDw=,1738244467.152615,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-69,0,50,CAEQipqo5Ze9/KUEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244468.136059,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-49,0,50,CAEQipqo5Ze9/KUEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244468.136803,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-83,0,50,CAEQipqo5Ze9/KUEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244468.137355,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,50,CAEQipqo5Ze9/KUEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244468.140632,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQipqo5Ze9/KUEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244468.146317,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQipqo5Ze9/KUEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244468.149779,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQipqo5Ze9/KUEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244468.157354,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-72,0,51,CAEQoJfR54byrZHqARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244469.131931,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-47,0,51,CAEQoJfR54byrZHqARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244469.133052,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-74,0,51,CAEQoJfR54byrZHqARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244469.136944,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-78,0,51,CAEQoJfR54byrZHqARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244469.137499,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQoJfR54byrZHqARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244469.150251,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQoJfR54byrZHqARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244469.150671,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
