tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-73,0,92,CAEQ9unupcGph6ULGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244781.142363,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,93,CAEQ9unupcGph6ULGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244781.142766,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,92,CAEQ9unupcGph6ULGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244781.143596,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-48,0,94,CAEQ9unupcGph6ULGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244781.144704,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,94,CAEQ29/cyuySiINKGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244782.141852,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-81,0,93,CAEQ29/cyuySiINKGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244782.142892,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-75,0,93,CAEQ29/cyuySiINKGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244782.144148,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-47,0,95,CAEQ29/cyuySiINKGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244782.1497,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ29/cyuySiINKGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244782.154798,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ29/cyuySiINKGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244782.156928,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ29/cyuySiINKGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244782.159615,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-78,0,95,CAEQyoiS16mC3o5TGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244783.142197,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,94,CAEQyoiS16mC3o5TGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244783.143364,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-48,0,96,CAEQyoiS16mC3o5TGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244783.143828,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,94,CAEQyoiS16mC3o5TGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244783.146079,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQyoiS16mC3o5TGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244783.156269,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQyoiS16mC3o5TGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244783.156797,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQyoiS16mC3o5TGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244783.160877,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-75,0,95,CAEQ9oP0g5WA/4E/GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244784.140094,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-80,0,95,CAEQ9oP0g5WA/4E/GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244784.140951,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-71,0,96,CAEQ9oP0g5WA/4E/GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244784.142125,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-48,0,97,CAEQ9oP0g5WA/4E/GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244784.143524,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ9oP0g5WA/4E/GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244784.155291,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ9oP0g5WA/4E/GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244784.157064,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ9oP0g5WA/4E/GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244784.171711,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-75,0,96,CAEQvsSQuI6KnJJ2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244785.14025,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-49,0,98,CAEQvsSQuI6KnJJ2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244785.152829,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQvsSQuI6KnJJ2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244785.155946,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvsSQuI6KnJJ2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244785.156111,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-68,0,96,CAEQvsSQuI6KnJJ2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244785.180049,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQvsSQuI6KnJJ2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244785.180254,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-78,0,97,CAEQvsSQuI6KnJJ2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244785.187296,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-47,0,99,CAEQudv94oui8/92GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244786.145403,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-71,0,97,CAEQudv94oui8/92GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244786.147236,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-79,0,97,CAEQudv94oui8/92GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244786.148352,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQudv94oui8/92GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244786.153458,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQudv94oui8/92GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244786.156484,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQudv94oui8/92GAEgASoHCAEVAAB/PyoCCAIqAggD,1738244786.164181,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-47,0,100,CAEQ7vKDycLs1oj7ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244787.147511,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,98,CAEQ7vKDycLs1oj7ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244787.149571,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,98,CAEQ7vKDycLs1oj7ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244787.151884,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,98,CAEQ7vKDycLs1oj7ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244787.152621,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ7vKDycLs1oj7ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244787.156177,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ7vKDycLs1oj7ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244787.15965,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ7vKDycLs1oj7ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244787.169746,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-68,0,99,CAEQr+qN58GynZwaGAEgASoHCAEVAABjPyoCCAIqBwgDFQAA6D0=,1738244788.142475,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-46,0,101,CAEQr+qN58GynZwaGAEgASoHCAEVAABjPyoCCAIqBwgDFQAA6D0=,1738244788.143645,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,99,CAEQr+qN58GynZwaGAEgASoHCAEVAABjPyoCCAIqBwgDFQAA6D0=,1738244788.144447,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-67,0,99,CAEQr+qN58GynZwaGAEgASoHCAEVAABjPyoCCAIqBwgDFQAA6D0=,1738244788.147833,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQr+qN58GynZwaGAEgASoHCAEVAABjPyoCCAIqBwgDFQAA6D0=,1738244788.15631,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQr+qN58GynZwaGAEgASoHCAEVAABjPyoCCAIqBwgDFQAA6D0=,1738244788.157288,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQr+qN58GynZwaGAEgASoHCAEVAABjPyoCCAIqBwgDFQAA6D0=,1738244788.161733,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-81,0,100,CAEQsI+9xpvstbQ+GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244789.142833,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-47,0,102,CAEQsI+9xpvstbQ+GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244789.148152,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-71,0,100,CAEQsI+9xpvstbQ+GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244789.149313,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-81,0,100,CAEQsI+9xpvstbQ+GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244789.150429,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQsI+9xpvstbQ+GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244789.155875,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQsI+9xpvstbQ+GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244789.156258,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQsI+9xpvstbQ+GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244789.161523,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-76,0,101,CAEQgcicuqW2/7InGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244790.142398,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-47,0,103,CAEQgcicuqW2/7InGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244790.142664,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,101,CAEQgcicuqW2/7InGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244790.147287,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-70,0,101,CAEQgcicuqW2/7InGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244790.152561,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQgcicuqW2/7InGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244790.156651,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQgcicuqW2/7InGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244790.158659,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQgcicuqW2/7InGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738244790.164114,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-75,0,102,CAEQxODSn/SdxeMZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244791.14221,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,102,CAEQxODSn/SdxeMZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244791.142391,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-78,0,102,CAEQxODSn/SdxeMZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244791.143717,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-48,0,104,CAEQxODSn/SdxeMZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244791.148058,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQxODSn/SdxeMZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244791.152625,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQxODSn/SdxeMZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244791.156592,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQxODSn/SdxeMZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738244791.16384,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,103,CAEQ+53MqpS+75ZzGAEgASoHCAEVAAB6PyoCCAIqBwgDFQAAwDw=,1738244792.142424,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-78,0,103,CAEQ+53MqpS+75ZzGAEgASoHCAEVAAB6PyoCCAIqBwgDFQAAwDw=,1738244792.143368,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-48,0,105,CAEQ+53MqpS+75ZzGAEgASoHCAEVAAB6PyoCCAIqBwgDFQAAwDw=,1738244792.144365,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-76,0,103,CAEQ+53MqpS+75ZzGAEgASoHCAEVAAB6PyoCCAIqBwgDFQAAwDw=,1738244792.146592,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ+53MqpS+75ZzGAEgASoHCAEVAAB6PyoCCAIqBwgDFQAAwDw=,1738244792.15659,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ+53MqpS+75ZzGAEgASoHCAEVAAB6PyoCCAIqBwgDFQAAwDw=,1738244792.165956,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ+53MqpS+75ZzGAEgASoHCAEVAAB6PyoCCAIqBwgDFQAAwDw=,1738244792.169063,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-69,0,104,CAEQ19f9y/DEmbnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244793.142361,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-48,0,106,CAEQ19f9y/DEmbnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244793.144885,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-82,0,104,CAEQ19f9y/DEmbnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244793.147326,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-76,0,104,CAEQ19f9y/DEmbnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244793.150048,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ19f9y/DEmbnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244793.158075,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ19f9y/DEmbnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244793.161675,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ19f9y/DEmbnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244793.161862,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-46,0,107,CAEQ8/iNouqpmZmkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244794.14224,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,105,CAEQ8/iNouqpmZmkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244794.146111,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-67,0,105,CAEQ8/iNouqpmZmkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738244794.148045,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
