tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-65,0,2,CAEQm5+40oGX6pAiGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160297.966319,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-77,0,251,CAEQm5+40oGX6pAiGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160297.967561,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,255,CAEQm5+40oGX6pAiGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160297.967832,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-81,0,244,CAEQm5+40oGX6pAiGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160297.968002,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQm5+40oGX6pAiGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160297.97522,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQm5+40oGX6pAiGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160297.987735,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQm5+40oGX6pAiGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160297.988369,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-82,0,245,CAEQ0MmW2avoo5dpGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160298.965217,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,252,CAEQ0MmW2avoo5dpGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160298.965762,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-63,0,3,CAEQ0MmW2avoo5dpGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160298.965871,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,0,CAEQ0MmW2avoo5dpGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160298.966741,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ0MmW2avoo5dpGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160298.97481,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0MmW2avoo5dpGAEgASoHCAEVAAB/PyoCCAIqAggD,1738160298.977818,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
