tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-77,0,221,CAEQ5PzJrePs+vVzGAEgASoHCAEVAAB/PyoCCAIqAggD,1738159951.508608,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-82,0,222,CAEQ5PzJrePs+vVzGAEgASoHCAEVAAB/PyoCCAIqAggD,1738159951.511411,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,209,CAEQ5PzJrePs+vVzGAEgASoHCAEVAAB/PyoCCAIqAggD,1738159951.511722,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,217,CAEQ5PzJrePs+vVzGAEgASoHCAEVAAB/PyoCCAIqAggD,1738159951.51194,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ5PzJrePs+vVzGAEgASoHCAEVAAB/PyoCCAIqAggD,1738159951.512168,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ5PzJrePs+vVzGAEgASoHCAEVAAB/PyoCCAIqAggD,1738159951.512348,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ5PzJrePs+vVzGAEgASoHCAEVAAB/PyoCCAIqAggD,1738159951.512582,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-70,0,210,CAEQnfrpo7+wlfM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738159952.493076,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,218,CAEQnfrpo7+wlfM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738159952.494317,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-80,0,222,CAEQnfrpo7+wlfM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738159952.495514,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-81,0,223,CAEQnfrpo7+wlfM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738159952.496065,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQnfrpo7+wlfM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738159952.506314,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQnfrpo7+wlfM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738159952.506516,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQnfrpo7+wlfM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738159952.512912,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-67,0,211,CAEQv6em5vPBxJZpGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738159953.493207,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,223,CAEQv6em5vPBxJZpGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738159953.493872,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-64,0,224,CAEQv6em5vPBxJZpGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738159953.494429,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-84,0,219,CAEQv6em5vPBxJZpGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738159953.495867,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQv6em5vPBxJZpGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738159953.505615,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQv6em5vPBxJZpGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738159953.50738,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQv6em5vPBxJZpGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1738159953.514866,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-74,0,224,CAEQ1fui49eJ99C2ARgBIAEqBwgBFQAAZz8qAggCKgcIAxUAAMg9,1738159954.494633,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
