tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-82,0,230,CAEQ7eGsqfWdrK6AARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162508.857284,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-66,0,26,CAEQ7eGsqfWdrK6AARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162508.858541,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-74,0,30,CAEQ7eGsqfWdrK6AARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162508.858768,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-63,0,38,CAEQ7eGsqfWdrK6AARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162508.859101,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ7eGsqfWdrK6AARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162508.873244,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ7eGsqfWdrK6AARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162508.876736,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ7eGsqfWdrK6AARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162508.878131,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-66,0,27,CAEQ1aCI9Je0oZdrGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162509.856999,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-63,0,39,CAEQ1aCI9Je0oZdrGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162509.857626,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,31,CAEQ1aCI9Je0oZdrGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162509.85799,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ1aCI9Je0oZdrGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162509.870016,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-78,0,32,CAEQ8NWCtNSD7bBQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162510.856562,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-62,0,40,CAEQ8NWCtNSD7bBQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162510.857921,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-71,0,28,CAEQ8NWCtNSD7bBQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162510.858398,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ8NWCtNSD7bBQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162510.868797,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-93,0,231,CAEQ7aHTs8eE0eyTARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162511.856467,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,29,CAEQ7aHTs8eE0eyTARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162511.856616,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-78,0,33,CAEQ7aHTs8eE0eyTARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162511.856987,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-63,0,41,CAEQ7aHTs8eE0eyTARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162511.858324,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ7aHTs8eE0eyTARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162511.870513,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ7aHTs8eE0eyTARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162511.872816,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ7aHTs8eE0eyTARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162511.875394,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-79,0,232,CAEQsouh2eeKmbjBARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162512.856701,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,42,CAEQsouh2eeKmbjBARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162512.856883,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,34,CAEQsouh2eeKmbjBARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162512.857905,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,30,CAEQsouh2eeKmbjBARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162512.858242,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-89,0,233,CAEQj5em2oyW++yvARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162513.856372,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
