tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-91,0,148,CAEQj46mja2c2NjrARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738162097.861172,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,185,CAEQj46mja2c2NjrARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738162097.862283,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,191,CAEQj46mja2c2NjrARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738162097.864502,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,195,CAEQj46mja2c2NjrARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738162097.864867,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQj46mja2c2NjrARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738162097.877088,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQj46mja2c2NjrARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738162097.879944,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQj46mja2c2NjrARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738162097.880049,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,196,CAEQo9HyyK/Xg94bGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162098.863589,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,186,CAEQo9HyyK/Xg94bGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162098.863843,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-78,0,149,CAEQo9HyyK/Xg94bGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162098.864158,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,192,CAEQo9HyyK/Xg94bGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162098.865291,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQo9HyyK/Xg94bGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162098.87646,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQo9HyyK/Xg94bGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162098.877116,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQo9HyyK/Xg94bGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162098.88574,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-66,0,197,CAEQuIj3utXeorpEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162099.863792,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,187,CAEQuIj3utXeorpEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162099.863967,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-85,0,150,CAEQuIj3utXeorpEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162099.864488,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-66,0,193,CAEQuIj3utXeorpEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162099.86483,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQuIj3utXeorpEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162099.876967,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQuIj3utXeorpEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162099.877296,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQuIj3utXeorpEGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162099.878759,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-85,0,151,CAEQ1eL3zpKDq6KnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162100.863385,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-67,0,194,CAEQ1eL3zpKDq6KnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162100.863554,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-64,0,198,CAEQ1eL3zpKDq6KnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162100.86383,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-71,0,188,CAEQ1eL3zpKDq6KnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162100.864999,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ1eL3zpKDq6KnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162100.875593,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ1eL3zpKDq6KnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162100.880543,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ1eL3zpKDq6KnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738162100.885361,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-78,0,152,CAEQk7rJsd3K1ug2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738162101.863842,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,199,CAEQk7rJsd3K1ug2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738162101.864295,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,195,CAEQk7rJsd3K1ug2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738162101.864586,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,189,CAEQk7rJsd3K1ug2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738162101.865645,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQk7rJsd3K1ug2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738162101.890072,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQk7rJsd3K1ug2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738162101.899271,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQk7rJsd3K1ug2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738162101.899598,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-67,0,196,CAEQvP2LjtOH/4hFGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162102.860059,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,190,CAEQvP2LjtOH/4hFGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162102.864073,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-63,0,200,CAEQvP2LjtOH/4hFGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162102.866546,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-84,0,153,CAEQvP2LjtOH/4hFGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162102.869537,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQvP2LjtOH/4hFGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162102.876282,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvP2LjtOH/4hFGAEgASoHCAEVAAB/PyoCCAIqAggD,1738162102.877405,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
