tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-72,0,98,CAEQjNS169exxcIIGAEgASoHCAEVAACoPSoCCAIqBwgDFQAAaz8=,1739802157.011226,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-62,0,152,CAEQjNS169exxcIIGAEgASoHCAEVAACoPSoCCAIqBwgDFQAAaz8=,1739802157.012218,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,24,CAEQjNS169exxcIIGAEgASoHCAEVAACoPSoCCAIqBwgDFQAAaz8=,1739802157.01407,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-80,0,52,CAEQjNS169exxcIIGAEgASoHCAEVAACoPSoCCAIqBwgDFQAAaz8=,1739802157.014406,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQjNS169exxcIIGAEgASoHCAEVAACoPSoCCAIqBwgDFQAAaz8=,1739802157.023866,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQjNS169exxcIIGAEgASoHCAEVAACoPSoCCAIqBwgDFQAAaz8=,1739802157.024852,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQjNS169exxcIIGAEgASoHCAEVAACoPSoCCAIqBwgDFQAAaz8=,1739802157.035641,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-60,0,153,CAEQ1fy+vYyrw8rWARgBIAEqBwgBFQAACD4qAggCKgcIAxUAAF4/,1739802158.011262,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,53,CAEQ1fy+vYyrw8rWARgBIAEqBwgBFQAACD4qAggCKgcIAxUAAF4/,1739802158.011657,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-76,0,25,CAEQ1fy+vYyrw8rWARgBIAEqBwgBFQAACD4qAggCKgcIAxUAAF4/,1739802158.01193,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,99,CAEQ1fy+vYyrw8rWARgBIAEqBwgBFQAACD4qAggCKgcIAxUAAF4/,1739802158.012541,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ1fy+vYyrw8rWARgBIAEqBwgBFQAACD4qAggCKgcIAxUAAF4/,1739802158.025493,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-81,0,54,CAEQmc7zgPq2kvMoGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802159.009934,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-62,0,154,CAEQmc7zgPq2kvMoGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802159.011271,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,100,CAEQmc7zgPq2kvMoGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802159.01143,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,26,CAEQmc7zgPq2kvMoGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802159.012541,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQmc7zgPq2kvMoGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802159.024903,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQmc7zgPq2kvMoGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802159.034118,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-65,0,155,CAEQ6uP+v7TrsYTWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802160.011873,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,101,CAEQ6uP+v7TrsYTWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802160.012621,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-85,0,55,CAEQ6uP+v7TrsYTWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802160.013166,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,27,CAEQ6uP+v7TrsYTWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802160.013745,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ6uP+v7TrsYTWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802160.024464,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ6uP+v7TrsYTWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802160.025492,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ6uP+v7TrsYTWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802160.034189,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-74,0,102,CAEQhduAz7mLz+qcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802161.009671,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-71,0,28,CAEQhduAz7mLz+qcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802161.012734,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-66,0,156,CAEQhduAz7mLz+qcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802161.01295,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-83,0,56,CAEQhduAz7mLz+qcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802161.013535,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQhduAz7mLz+qcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802161.025951,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQhduAz7mLz+qcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802161.032799,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQhduAz7mLz+qcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739802161.033939,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-74,0,29,CAEQyO/Qh/6TrustGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802162.012001,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-60,0,157,CAEQyO/Qh/6TrustGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802162.012215,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,57,CAEQyO/Qh/6TrustGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802162.012496,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQyO/Qh/6TrustGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802162.025247,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQyO/Qh/6TrustGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802162.026166,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQyO/Qh/6TrustGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802162.037721,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-86,0,58,CAEQkIPP/7iG7e9UGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802163.011151,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,103,CAEQkIPP/7iG7e9UGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802163.011685,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-66,0,158,CAEQkIPP/7iG7e9UGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802163.011977,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-71,0,30,CAEQkIPP/7iG7e9UGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802163.01307,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQkIPP/7iG7e9UGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802163.025329,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQkIPP/7iG7e9UGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802163.03453,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQkIPP/7iG7e9UGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802163.043494,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-62,0,159,CAEQi9jj5ZbSg8EdGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802164.008771,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,104,CAEQi9jj5ZbSg8EdGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802164.009263,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-83,0,59,CAEQi9jj5ZbSg8EdGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802164.012276,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,31,CAEQi9jj5ZbSg8EdGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802164.012602,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQi9jj5ZbSg8EdGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802164.024652,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQi9jj5ZbSg8EdGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802164.024822,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQi9jj5ZbSg8EdGAEgASoHCAEVAAB/PyoCCAIqAggD,1739802164.035175,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
