CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1743612602.300576,ble-pd-B43A31EF7B26,1007,34,,-79.0,-76.0,-78.0,-61.0,-49.0,-44.0,,-1.0929119097302982,-2.871164091226569,-0.937840433670783,1.2410606850586898,2.29692305742091,0.7617425377345917,,1.3953712426302871,1.317919194437785,0.7343020889329156,0.6069415971612575,0.6354029213424442,0.46898868755374307,-4.418911933898926,1.688607931137085,0.7717865705490112,-4.74,0.39,1.81
1743612603.298164,ble-pd-B43A31EF7B26,1008,30,-71.0,,-78.0,-75.0,,-47.0,-43.0,-2.5311141063820575,,-2.7592210442822873,-0.8960485119486056,,2.3512129864626403,0.7391182306331684,0.7089599806319395,,1.3220769215316168,0.7663911161185254,,0.5967902242193007,0.4179147415939748,-4.377776145935059,1.7010530233383179,0.717437505722046,-4.74,0.39,1.81
1743612604.299975,ble-pd-B43A31EF7B26,1009,24,,,-82.0,-74.0,,,,,,-2.94389049322278,-0.9470017078206555,,,,,,1.3240078464799785,0.7407310263833939,,,,,,,-4.74,0.39,1.81
1743612605.299727,ble-pd-B43A31EF7B26,1010,25,,,-82.0,-70.0,,-48.0,,,,1.0410014406044195,-0.9198851352853598,,2.421988021856897,,,,1.2834798610111529,0.7955137813239508,,0.46945079357734065,,,,,-4.74,0.39,1.81
1743612606.297711,ble-pd-B43A31EF7B26,1011,23,,,-78.0,-74.0,-53.0,-46.0,-44.0,,,2.9891767486112504,-0.9305300564785155,0.9001772974345873,2.4301425097001546,0.7444457530804558,,,1.3471713558512155,0.7972734650142206,0.48068054755619627,0.3395127919812495,0.4307826522075674,-4.32947063446045,1.74210786819458,0.8757436871528625,-4.74,0.39,1.81
1743612607.299376,ble-pd-B43A31EF7B26,1012,15,,,-78.0,-74.0,-62.0,,,,,-3.1363262525341615,-0.9162688288411411,1.240824780199408,,,,,1.3381616155673683,0.7802583956516499,0.5863841895817158,,,,,,-4.74,0.39,1.81
1743612608.297711,ble-pd-B43A31EF7B26,1013,6,,-68.0,-70.0,-72.0,-56.0,,-44.0,,-0.8436034132338931,-2.8408650411886285,-0.9380337791659227,1.559891285073436,,0.6388156602357045,,1.1202286188215138,1.282351745973395,0.8110462689076744,0.5584101928382383,,0.5280272987461898,-4.445764541625977,1.7873682975769043,0.733086109161377,-4.74,0.39,1.81
1743612609.30147,ble-pd-B43A31EF7B26,1014,13,,-84.0,-75.0,-67.0,,,-42.0,,-0.8476546138841217,-2.8133671039852333,-0.9354931234859871,,,0.7211594373887216,,1.1919287716916624,1.3673426705796938,0.8599030243696141,,,0.4239102093713705,,,,-4.74,0.39,1.81
1743612610.302099,ble-pd-B43A31EF7B26,1015,8,,-72.0,-73.0,-72.0,-61.0,-43.0,-46.0,,-0.8318556770333355,-2.7642986272166326,-0.8826179242552269,1.6761717113214256,2.455593980456505,0.7072715593519646,,1.1334510804757028,1.3578852529166046,0.8859677814323831,0.49598967557973817,0.31735186190779513,0.4891166663534025,-4.616607666015625,1.7773760557174683,0.6103476285934448,-4.74,0.39,1.81
1743612611.297953,ble-pd-B43A31EF7B26,1016,19,,-78.0,-78.0,-77.0,-55.0,-46.0,-42.0,,-0.8640176082537865,-2.7707986044891886,-0.927957975497717,1.262538518337479,2.4060230205400406,0.7196046315850885,,1.2284538928840447,1.3093339620316966,0.9313298037538663,0.45201278571549586,0.29105738656828967,0.4694507935092942,-4.741654872894287,1.7340158224105835,0.540106773376465,-4.74,0.39,1.81
1743612612.300198,ble-pd-B43A31EF7B26,1017,8,,-71.0,-73.0,-72.0,,,,,-0.8519180684732295,-2.7291105460495246,-0.9928810491838866,,,,,1.1745411260925895,1.3197866029941487,0.90764271691232,,,,,,,-4.74,0.39,1.81
1743612613.299483,ble-pd-B43A31EF7B26,1018,33,,-82.0,-72.0,-80.0,-57.0,,-43.0,,-0.8601946405089778,-2.730031999786692,-0.8023537111096558,1.1364153304207465,,0.7134264230439054,,1.1978642919711766,1.3076756116209043,0.7426285952391027,0.49409684546397264,,0.5023488123424976,-4.808889389038086,1.6900441646575928,0.449325144290924,-4.74,0.39,1.81
1743612614.305917,ble-pd-B43A31EF7B26,1019,35,-69.0,,-74.0,-84.0,,,,-2.9466391417838507,,-2.697998965563001,-0.8876686092625622,,,,0.6167516231554174,,1.29455261903343,0.6915566889614624,,,,,,,-4.74,0.39,1.81
1743612615.300528,ble-pd-B43A31EF7B26,1020,32,-74.0,,-74.0,-80.0,-61.0,-49.0,-42.0,-2.8199240729051174,,-2.7690457118596985,-0.8222091749328505,1.1391197622653793,2.4204332160561974,0.7134264230439054,0.5885339666674284,,1.3539226023726205,0.6211387815771595,0.5900103347921636,0.42391020943315527,0.5023488123424976,-4.55232048034668,1.763063907623291,0.548815429210663,-4.74,0.39,1.81
1743612616.298003,ble-pd-B43A31EF7B26,1021,31,-76.0,,-75.0,-77.0,-66.0,-49.0,-41.0,-2.6774825051572484,,-2.7909161233636475,-0.8481888439987916,1.2418996470507557,2.421988021856897,0.7377381355198545,0.6986742532908082,,1.3509924593832612,0.6136131543897864,0.6276147065516163,0.46945079357734065,0.46295199318252706,-4.262134552001953,1.8783111572265625,0.6205401420593262,-4.74,0.39,1.81
1743612617.299052,ble-pd-B43A31EF7B26,1022,26,-81.0,,-80.0,-68.0,,-49.0,,-2.7852686239560254,,-2.762040266612245,-0.8345710360807803,,2.4395807436846955,,0.6374623611626911,,1.2890489303246722,0.7082591032120579,,0.3710272071606146,,-4.044070720672607,2.02012848854065,0.7570161819458008,-4.74,0.39,1.81
1743612618.298472,ble-pd-B43A31EF7B26,1023,17,-69.0,,-85.0,-82.0,-55.0,,-42.0,-2.9215324569232375,,-2.8020129829937894,-0.8134875886789501,1.0846460011249592,,0.7264667793789538,0.8135996411818152,,1.290730583395003,0.6293389208896225,0.3857995085065163,,0.4369879081266198,-3.8354766368865967,2.14569640159607,0.9463254809379578,-4.74,0.39,1.81
1743612619.300735,ble-pd-B43A31EF7B26,1024,7,,-68.0,-69.0,-72.0,-56.0,-47.0,-46.0,,-0.957432510862169,-2.855102300376192,-0.8161600708328446,1.4042737509213772,2.4039139635136944,0.6516584721111741,,1.2577718343763997,1.2576297547322444,0.6470658532115714,0.5539856231510467,0.3605798816779776,0.507988122236652,-3.9319534301757812,2.0956308841705322,0.3921913206577301,-4.74,0.39,1.81
1743612620.299728,ble-pd-B43A31EF7B26,1025,1,,-64.0,-75.0,-63.0,-51.0,-45.0,-41.0,,-0.9662146840308687,-2.9069071751648496,-0.7725135237275359,1.1173277563990824,2.3916742655761936,0.6259440327875947,,1.2791753937412578,1.290645628556229,0.6850111050552384,0.5266008451308013,0.48864078617971124,0.5482413139534016,-3.959374189376831,2.0554614067077637,0.32087814807891846,-4.74,0.39,1.81
1743612621.300842,ble-pd-B43A31EF7B26,1026,26,,-72.0,-78.0,-69.0,-53.0,-49.0,-46.0,,-0.9517301503360912,-2.9793763157997586,-0.8760063605329962,1.2006857690641044,2.391603445410223,0.6773326225629468,,1.414660518405731,1.282909678221767,0.7153694104274331,0.8690855199824079,0.44358628513222464,0.46847511861071306,-3.7813241481781,2.0273032188415527,0.4423961639404297,-4.74,0.39,1.81
