CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740057696.655454,ble-pd-B43A31EF7B26,3369,31,-67.0,-80.0,-79.0,-61.0,-45.0,-46.0,-52.0,2.507719834102365,-2.4594947804509926,1.297328032363456,-2.967115921089361,0.4181250948216303,0.0,-1.3160821434099297,0.49017071101659704,0.31267981279441304,0.1399414753402868,0.3629220445239528,0.5692322789331734,0.7853981633267377,0.58086205096777,-5.114200115203857,4.8864898681640625,1.0324409008026123,-4.74,4.44,1.96
1740057697.656653,ble-pd-B43A31EF7B26,3370,8,-63.0,-65.0,-71.0,-55.0,,,,2.485525582209863,-2.3372317179665445,1.3826898021515477,-2.9540635022707735,,,,0.5031311509090357,0.3238518734358363,0.18881296141200596,0.39157849009104606,,,,,,,-4.74,4.44,1.96
1740057698.655021,ble-pd-B43A31EF7B26,3371,22,-66.0,-73.0,-70.0,-58.0,-43.0,,-56.0,2.5438333637482757,-2.3696581010832403,1.3560043953967358,-2.9698975928479485,0.4094561291537573,,-1.3577053069416822,0.5341098396571645,0.2914801517005144,0.18918590383315792,0.3212581209816673,0.5372708708961399,,0.5769898829886874,-5.14362382888794,4.888103485107422,1.0758535861968994,-4.74,4.44,1.96
1740057699.654026,ble-pd-B43A31EF7B26,3372,30,-69.0,-80.0,-77.0,-61.0,-45.0,-47.0,-52.0,2.4913120986263873,-2.4060608500235334,1.2864476877299373,-2.9707830939104,0.44893809225162057,2.9875847368311335,-1.2978757519300135,0.4841332249568465,0.28918916737277367,0.22206068005363902,0.2317688842676298,0.5293593959307017,1.3412798116948528,0.4526051481599403,-5.132885456085205,4.87067747116089,1.1028715372085571,-4.74,4.44,1.96
1740057700.653392,ble-pd-B43A31EF7B26,3373,22,-67.0,-71.0,-71.0,-58.0,-42.0,,-56.0,2.5352926061323915,-2.40335321414325,1.3013523350866747,-2.97907537859658,0.4250506511138683,,-1.3029401157130902,0.469377581463099,0.2683019782985255,0.2944235439162972,0.3083050047822263,0.5175152041807655,,0.5162365107625783,-5.106915473937988,4.86702537536621,1.1127556562423706,-4.74,4.44,1.96
1740057701.654893,ble-pd-B43A31EF7B26,3374,7,-63.0,-66.0,-69.0,-55.0,-46.0,-49.0,,2.5123308312137285,-2.3419258057039185,1.309125303360289,-2.9747384207613856,0.44804799963870917,0.3300864742409417,,0.46921659337520366,0.22977943635431336,0.2811869675083309,0.3427369812263471,0.5966116674467011,1.1853259066135826,,-5.081995010375977,4.869537353515625,1.1243969202041626,-4.74,4.44,1.96
1740057702.656172,ble-pd-B43A31EF7B26,3375,23,-67.0,-72.0,-71.0,-59.0,-43.0,,-56.0,2.5548503285457156,-2.3339091581905618,1.3151957127490157,-2.978281490275627,0.43363149027694603,,-1.2266487389035952,0.4532505431660151,0.1541173653094809,0.26043336925226374,0.28504448976828345,0.5492545264559959,,0.449021733175016,-5.055004596710205,4.87255096435547,1.1241284608840942,-4.74,4.44,1.96
1740057703.653808,ble-pd-B43A31EF7B26,3376,2,-65.0,-66.0,-64.0,-54.0,,,,2.5133055481726974,-2.321969674391519,1.2651903359089245,-2.990276101509235,,,,0.4105579403631729,0.17005368798300144,0.2689636573161125,0.32993586494612237,,,,,,,-4.74,4.44,1.96
1740057704.654339,ble-pd-B43A31EF7B26,3377,9,-64.0,-66.0,-72.0,-57.0,,,,2.527678095943637,-2.2668723335471963,1.2694095820239373,-2.956198292200581,,,,0.400416456484583,0.13848024878443074,0.29416305347217386,0.3923444817995801,,,,,,,-4.74,4.44,1.96
1740057705.657153,ble-pd-B43A31EF7B26,3378,3,-65.0,-67.0,-65.0,-55.0,-46.0,-47.0,-66.0,2.448417095580699,-2.261610459865418,1.3841470839000392,-2.9887218806970646,0.4435539073372981,0.132572688208257,-1.383161393091566,0.3646178456375744,0.14841956544676999,0.367990539421078,0.38382359802333077,0.648539115039726,0.8508447872931288,0.5478357141690793,-5.0368266105651855,4.860908031463623,1.119533658027649,-4.74,4.44,1.96
1740057706.65432,ble-pd-B43A31EF7B26,3379,28,-69.0,-82.0,-77.0,-61.0,-45.0,-49.0,-55.0,2.483453110249563,-2.2899659349398185,1.3163733625830487,-2.97820559018456,0.47809196636887347,2.5281309985973506,-1.3061065299846961,0.37807909297300246,0.16248235429341978,0.3461564134869816,0.2993278216427054,0.5562201261281723,1.2956076740774514,0.4572405373110494,-5.028563499450684,4.86558723449707,1.0909487009048462,-4.74,4.44,1.96
1740057707.656671,ble-pd-B43A31EF7B26,3380,3,-64.0,-67.0,-64.0,-54.0,-46.0,-47.0,-64.0,2.454712808397646,-2.265211852607532,1.280218820256351,-2.983228578316558,0.47052364561224547,0.3167346418411076,-1.5808721372481558,0.40693990286424575,0.15424955796808973,0.35111089179993776,0.306614962754462,0.6591989955390005,1.1687770330492813,0.5235108445882295,-5.00167465209961,4.85805892944336,1.0652400255203247,-4.74,4.44,1.96
