CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740494816.948238,ble-pd-B43A31EF7B34,6379,33,-87.0,-80.0,-86.0,-82.0,-68.0,-59.0,-54.0,2.525116134974981,-2.9406502251244806,2.580311746463527,3.09328184615132,2.3610968687794327,2.461480794511486,2.727547780999951,0.859976993668891,0.9999785066470023,0.5690322372160234,0.29835510205455396,0.6177812823299504,0.2053932815715016,0.24055757910134634,-7.639041900634766,2.6132311820983887,-0.984359860420227,-8.64,1.44,1.96
1740494817.947225,ble-pd-B43A31EF7B34,6380,10,-81.0,-76.0,-90.0,-79.0,-64.0,-62.0,-64.0,2.6803379464780313,-2.9972727583250913,2.5345948579267907,2.972061677549747,2.5165581034489994,2.426342034412682,2.70968276640744,0.5230467355938391,1.0507849623429888,0.4968220889971244,0.31668281022891115,0.4378839886229148,0.19958939241581455,0.23870337208164263,-7.711463928222656,2.594830274581909,-1.3596047163009644,-8.64,1.44,1.96
1740494818.953031,ble-pd-B43A31EF7B34,6381,23,-85.0,-78.0,-82.0,-75.0,-59.0,-62.0,-61.0,2.7231072483202676,-2.9726563614211616,2.568014333813977,2.8829512422112598,2.602761745419793,2.408804152588739,2.74542872979979,0.4165137006669716,1.1622101576133048,0.5255553667616665,0.258417422886101,0.3338028238584894,0.1965971963466366,0.2423378733199026,-7.785998344421387,2.583618402481079,-1.6550259590148926,-8.64,1.44,1.96
1740494819.94583,ble-pd-B43A31EF7B34,6382,20,-90.0,-76.0,-81.0,-78.0,-60.0,-64.0,-65.0,2.763266652294227,-2.9944892223537405,2.5718833742456444,2.807978996467785,2.5219470265329567,2.3563172120550138,2.74542872979979,0.3840515979021551,1.2489178890163226,0.47111313025599,0.2136551943763741,0.2732977255562743,0.187271544268915,0.2423378733199026,-7.907812595367432,2.550386428833008,-1.9240442514419556,-8.64,1.44,1.96
1740494820.945965,ble-pd-B43A31EF7B34,6383,22,-89.0,-78.0,-82.0,-78.0,-58.0,-62.0,-62.0,2.799771133988161,-3.030032302894156,2.592071733205099,2.7595025404095086,2.6162809729203986,2.338863845300276,2.755939575358967,0.39562096888870457,1.2575585151730846,0.5129854794430878,0.23593564946441095,0.2585862429435448,0.18405004137905576,0.30882985188812645,-8.050013542175293,2.5133838653564453,-2.106365203857422,-8.64,1.44,1.96
1740494821.946266,ble-pd-B43A31EF7B34,6384,30,-85.0,-81.0,-91.0,-82.0,-66.0,-60.0,-62.0,2.6509339848824665,-2.9607208723637535,2.607804623660851,2.7241160537411897,2.6007194831940263,2.4790814618576147,2.7418525539217673,0.2676951104651237,1.3271240112714806,0.5105688604909226,0.19755513723008414,0.2410361519557839,0.20820303828000894,0.27451728075851367,-8.16793155670166,2.49365758895874,-2.1918580532073975,-8.64,1.44,1.96
1740494822.948323,ble-pd-B43A31EF7B34,6385,13,-90.0,-79.0,-86.0,-79.0,-63.0,-65.0,-61.0,2.6114222616856146,-2.907103450137188,2.5337389179524394,2.7699794161378803,2.5906497353234723,2.4439009458015954,2.77963629914806,0.1958347851001634,1.3076722826695417,0.3672157592809467,0.21566849422620357,0.30070969818066434,0.202521746209891,0.2620016284723782,-8.257296562194824,2.5124638080596924,-2.2355754375457764,-8.64,1.44,1.96
1740494823.953522,ble-pd-B43A31EF7B34,6386,7,-85.0,-74.0,-86.0,-75.0,-62.0,-64.0,-62.0,2.662627925229004,-2.95986013869944,2.38479577503536,2.7558327044273794,2.4918873286163397,2.4439009458015954,2.7812363295360294,0.10644500080808354,1.2027959336777854,0.1880564239253417,0.1972252714395642,0.23879673517595798,0.202521746209891,0.24567421095566888,-8.3274564743042,2.5426840782165527,-2.1356194019317627,-8.64,1.44,1.96
1740494824.947676,ble-pd-B43A31EF7B34,6387,26,-85.0,-79.0,-85.0,-80.0,-62.0,-62.0,-61.0,2.5774808062247727,-3.0446261593516812,2.4030597337911233,2.736360203168938,2.5651814167182785,2.426342034412682,2.7633250930831386,0.15082493254332957,1.2342839519843918,0.1960566430637238,0.17840286444796796,0.23593659451310778,0.19958939241581455,0.24404362048192763,-8.46598434448242,2.518885850906372,-2.087449789047241,-8.64,1.44,1.96
1740494825.948951,ble-pd-B43A31EF7B34,6388,16,-88.0,-80.0,-88.0,-85.0,-60.0,-72.0,-62.0,2.5994822452543533,-3.0212808892360465,2.3707076528688407,2.808947321840138,2.5297328053915957,2.4439009458015954,2.797628083431173,0.09571008141483996,1.160741956904344,0.10043873198973578,0.16898908933724224,0.23055073838343612,0.202521746209891,0.2636645892290851,-8.574573516845703,2.5140902996063232,-1.7767375707626343,-8.64,1.44,1.96
1740494826.946273,ble-pd-B43A31EF7B34,6389,17,-87.0,-75.0,-84.0,-93.0,-65.0,-63.0,-62.0,2.5664910056704517,-3.076210450931694,2.488921112599714,2.7970270128009433,2.5143446453450657,2.408804152588739,2.739875905792962,0.12906558317921554,1.108467100762315,0.11528684542995793,0.18241301912789568,0.21363345767176245,0.1965971963466366,0.29058794254987147,-8.69822311401367,2.4828455448150635,-1.3762648105621338,-8.64,1.44,1.96
1740494827.946704,ble-pd-B43A31EF7B34,6390,31,-83.0,-81.0,-90.0,-78.0,-65.0,-60.0,-61.0,2.5327657988901247,-2.9645720696161173,2.5116922051843273,2.8758107746965393,2.532006791786424,2.4790814618576147,2.743702658557895,0.1888264769545381,1.1397036500829907,0.14402022306304083,0.21696831657524399,0.21625228430659862,0.20820303828000894,0.2584336229520609,-8.76300811767578,2.49518632888794,-0.9161129593849182,-8.64,1.44,1.96
1740494828.946639,ble-pd-B43A31EF7B34,6391,12,-85.0,-77.0,-87.0,-78.0,-62.0,-65.0,,2.629957330240348,-2.999349757659244,2.5913494839174698,2.6551582910035503,2.5673910720732493,2.461480794511486,,0.17905156055524082,1.0884273461916867,0.19020101761691208,0.20718451187580858,0.2212927158287457,0.2053932815715016,,-8.816259384155273,2.4866514205932617,-0.6578474044799805,-8.64,1.44,1.96
1740494829.946821,ble-pd-B43A31EF7B34,6392,22,-90.0,-78.0,-81.0,-79.0,-60.0,-61.0,-64.0,2.3764094807627005,-2.9974493259053636,2.617890547341199,2.7256265987114827,2.6383916554675,2.426342034412682,2.727992572021866,0.1563472467349611,1.1291707148136727,0.19685976922470763,0.2132604306790403,0.23056093672496636,0.19958939241581455,0.3707124683376571,-8.81227684020996,2.4781923294067383,-0.41093358397483826,-8.64,1.44,1.96
1740494830.9439,ble-pd-B43A31EF7B34,6393,27,,-78.0,-88.0,-80.0,-63.0,-61.0,-65.0,,-3.022602083452835,2.5943796286057617,2.744832251228698,2.6028535343036556,2.461480794511486,2.7377700096713466,,1.1818954454428434,0.26398707476610866,0.18395781900770974,0.2260644632711081,0.2053932815715016,0.30664467479158847,-8.807080268859863,2.4797990322113037,-0.2366325855255127,-8.64,1.44,1.96
1740494831.945567,ble-pd-B43A31EF7B34,6394,29,-84.0,-80.0,-93.0,-82.0,,,,2.5905105881740944,-3.040749928385071,2.7034978605817965,2.7225959213909725,,,,0.12609543451685584,1.1977677523816612,0.24146715156180323,0.15826911693561674,,,,,,,-8.64,1.44,1.96
1740494832.94604,ble-pd-B43A31EF7B34,6395,9,-83.0,-77.0,-90.0,-77.0,-63.0,-64.0,-62.0,2.5977682347767783,-3.0845064640433995,2.2408348738856008,2.7559392308709825,2.585112678520535,2.408804152588739,2.7238482705355382,0.11875359041183334,1.020198557223429,0.22645286519193855,0.17555273280460837,0.22371259448487518,0.1965971963466366,0.2724891448196867,-8.820366859436035,2.44471263885498,-0.00813153386116028,-8.64,1.44,1.96
1740494833.946541,ble-pd-B43A31EF7B34,6396,3,-80.0,-76.0,-88.0,-77.0,-69.0,-64.0,-58.0,2.629206851445164,-3.057054333210754,2.4114311143616782,2.7415736073188772,2.5143446453450657,2.461480794511486,2.77963629914806,0.13269562154780487,0.92870073112574,0.3248803196697977,0.21545211238763462,0.21363345767176245,0.2053932815715016,0.2620016284723782,-8.861056327819824,2.381143093109131,0.10957679152488708,-8.64,1.44,1.96
1740494834.94747,ble-pd-B43A31EF7B34,6397,27,,-78.0,,,-62.0,-61.0,-64.0,,-3.070307554375533,,,2.519022005226932,2.4697242596298805,2.7991618769135234,,0.9596803519802503,,,0.2874914752154968,0.335304636544862,0.2472290601834482,-8.79625606536865,2.288604974746704,0.20054611563682556,-8.64,1.44,1.96
1740494835.953632,ble-pd-B43A31EF7B34,6398,12,,-77.0,-89.0,,,-67.0,,,-3.0506257286554117,2.435376660987017,,,2.412499296729842,,,0.9030998301458357,0.32607950781914674,,,0.3919975356735431,,,,,-8.64,1.44,1.96
1740494836.945461,ble-pd-B43A31EF7B34,6399,19,,-75.0,-83.0,,-60.0,-64.0,-65.0,,-3.083535209193848,2.5131223226897,,2.542485035277,2.388411596444874,2.7741339357059474,,0.8742135870661821,0.33954361805274674,,0.2621559675153181,0.2866277682421222,0.31091930490199304,-8.63081741333008,2.201032876968384,0.2681666314601898,-8.64,1.44,1.96
1740494837.94839,ble-pd-B43A31EF7B34,6400,34,,-85.0,-83.0,,-63.0,,,,-2.9007898941409374,2.536512866543866,,2.5236118280520365,,,,0.5740555582431581,0.2571869758834571,,0.34810603181334027,,,,,,-8.64,1.44,1.96
1740494838.945822,ble-pd-B43A31EF7B34,6401,14,,-80.0,-91.0,,-60.0,-71.0,-64.0,,-2.982278895071836,2.4689527307462997,,2.519022005226932,2.032334907177921,2.777920867531424,,0.5881042656255441,0.16158854749731874,,0.2874914752154968,0.6378112688365746,0.2783188011515357,-8.23738193511963,2.116699457168579,0.23814904689788818,-8.64,1.44,1.96
