CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740061820.762278,ble-pd-B43A31EF7B26,7493,6,-76.0,-78.0,-73.0,-69.0,-54.0,-50.0,-57.0,2.8717952604049177,-2.5553198438458966,2.453356726770578,3.14006879281405,-2.9458141483540503,-2.862093229840318,-2.4024744228092105,0.20790825919155123,0.9366906138701413,0.45139352093790286,0.7582767305931631,0.63652639666007,0.3534715966932229,0.41791474165396536,-8.78670024871826,5.689797401428223,-0.9010908007621765,-8.34,4.74,1.96
1740061821.763135,ble-pd-B43A31EF7B26,7494,3,-80.0,,-73.0,-69.0,-56.0,-48.0,-57.0,2.8930989512288976,,2.450083169158652,2.9269067160030176,-2.8895147931057394,-3.0657725592904774,-2.431049521316596,0.22549327831691257,,0.40671063798390356,0.8352382910918997,0.699722445259044,0.4003919553102952,0.582624566322924,-8.72557830810547,5.764981746673584,-0.8678847551345825,-8.34,4.74,1.96
1740061822.760721,ble-pd-B43A31EF7B26,7495,30,-69.0,-78.0,-69.0,-69.0,-54.0,-62.0,-49.0,2.9213886462243734,-2.6361475818781286,2.4363614979581283,3.0282298754683903,-2.921456726226673,1.1940813434879887,-2.4827014473888114,0.18913317324357437,0.9375241167123088,0.5639522574366973,0.749585104901526,0.6514098896470841,1.3829506055865362,0.47436395987231705,-8.62861919403076,5.82156229019165,-0.7473518252372742,-8.34,4.74,1.96
1740061823.761164,ble-pd-B43A31EF7B26,7496,7,-72.0,-79.0,-73.0,-68.0,,,,2.8876426667875434,-2.7088034101054523,2.464018958510819,3.0476959851402152,,,,0.2088779161444491,0.8203626056120169,0.5324709636118433,0.8561509632888287,,,,,,,-8.34,4.74,1.96
1740061824.759613,ble-pd-B43A31EF7B26,7497,30,-69.0,-79.0,-69.0,-70.0,-56.0,-62.0,-48.0,2.9247570123711055,-2.7569411120730707,2.4577807699734175,-3.081398821367386,-3.114992992225319,0.4522320003229029,-2.529989866295262,0.16761814394233987,0.8124984240710674,0.6933416061030608,0.725975516047701,0.8550361445244951,0.8378231329895438,0.39521408423984306,-8.517937660217285,5.8496994972229,-0.7678186297416687,-8.34,4.74,1.96
1740061825.761707,ble-pd-B43A31EF7B26,7498,33,-69.0,-80.0,-70.0,-70.0,-52.0,-62.0,-51.0,2.9277200453999277,-2.7629196424041895,2.4337180442601154,-2.8675597690072556,3.141592653589793,2.0149334271300634,-2.4876321823962924,0.19755869920804212,0.8189229673057473,0.739661434310591,0.6663433444991917,0.9424777961578397,0.9233441295912336,0.3396733809106171,-8.404701232910156,5.908806324005127,-0.40982457995414734,-8.34,4.74,1.96
1740061826.764787,ble-pd-B43A31EF7B26,7499,9,-69.0,-74.0,-68.0,-68.0,-51.0,-50.0,-47.0,2.911383682641164,-2.492451398940723,2.441794879214108,-2.987411072808528,2.9716782744366284,2.773449933427394,-2.4332083180257937,0.18950366888547482,0.7845890284792549,0.7242282160565,0.7463414412728367,0.604066994635085,0.7681819495654312,0.44306850499061984,-8.295796394348145,5.938800811767578,-0.22645366191864014,-8.34,4.74,1.96
1740061827.7603,ble-pd-B43A31EF7B26,7500,4,-73.0,-81.0,-71.0,-69.0,-51.0,-48.0,-53.0,2.8762310215165536,-2.3892576351256785,2.460799729385131,-3.0467921082662426,-3.0978949475907274,3.0124002745535887,-2.3736305159348414,0.15186091885212719,0.7902277394552797,0.7745604959203981,0.6876736003550451,0.6453128578826997,0.6243441823492256,0.48158118373733977,-8.26682949066162,5.9208664894104,-0.359069138765335,-8.34,4.74,1.96
1740061828.759403,ble-pd-B43A31EF7B26,7501,1,-75.0,-79.0,-69.0,-69.0,,-48.0,,2.8441005155969656,-2.41890421069655,2.429939551305511,-3.0572468797575665,,-3.0984549862939605,,0.1574121449863429,0.848700237507114,0.841661635904089,0.7288603187195021,,0.6278760118215422,,-8.29829502105713,5.851399898529053,-0.44325119256973267,-8.34,4.74,1.96
1740061829.761032,ble-pd-B43A31EF7B26,7502,36,-71.0,-81.0,-70.0,-75.0,-55.0,,,2.867101172667544,-2.4556867264082882,2.41034880569467,-2.920033629861741,-3.119135957573409,,,0.13321661908080842,0.861925894954611,0.8100276097907191,0.5473002767992452,0.680555080468162,,,,,,-8.34,4.74,1.96
1740061830.759847,ble-pd-B43A31EF7B26,7503,10,-69.0,-74.0,-68.0,-69.0,-54.0,-50.0,-47.0,2.926551982945819,-2.6035856438619476,2.4156948352668954,-2.9006250444694617,-3.060193952919176,-3.101687045897026,-2.396757282195033,0.11598769788270431,0.8230424114589091,0.7671486522905987,0.6670549411424609,0.5395890444312039,0.5058078446186874,0.5213838535666285,-8.322399139404297,5.77108907699585,-0.4849008619785309,-8.34,4.74,1.96
1740061831.774897,ble-pd-B43A31EF7B26,7504,1,-75.0,-78.0,-69.0,-69.0,,-48.0,-72.0,2.922764967875726,-2.5673916867511166,2.313783649832833,-2.9959049587892266,,-3.015486792360532,-2.34302125386288,0.13866569634246276,0.8799935787380356,0.7266069515421588,0.7756677717226258,,0.5897215023122828,0.6423639432441198,-8.3295202255249,5.722253799438477,-0.760278820991516,-8.34,4.74,1.96
1740061832.760401,ble-pd-B43A31EF7B26,7505,3,,,-71.0,-69.0,,-48.0,-56.0,,,2.2735592647282763,-3.003684052333348,,-3.040911027941118,-2.4090346487836314,,,0.7575542815684518,0.7900738753233004,,0.521403173409501,0.656104443432786,-8.31295680999756,5.703919410705566,-1.004807710647583,-8.34,4.74,1.96
1740061833.768586,ble-pd-B43A31EF7B26,7506,35,-71.0,-81.0,-69.0,-71.0,,,,2.934212832137541,-2.654381446913574,2.371389954740119,-2.8757210261678035,,,,0.12003059279928317,0.8905012139769978,0.7639559881967843,0.7303035522932433,,,,,,,-8.34,4.74,1.96
1740061834.759302,ble-pd-B43A31EF7B26,7507,21,-69.0,-78.0,-66.0,-73.0,-53.0,-58.0,,2.94781785688232,-2.7667972049513447,2.3850120237158743,-2.9057993001513767,3.141592653589793,2.7836429472809274,,0.172808761420202,0.9534076755067321,0.6113139142626665,0.686047807088579,0.5061454831268366,0.3784101244881324,,-8.259876251220703,5.72309970855713,-1.0077426433563232,-8.34,4.74,1.96
1740061835.758673,ble-pd-B43A31EF7B26,7508,26,-73.0,-80.0,-66.0,-75.0,-53.0,-59.0,-49.0,2.876706662087242,-2.896804473569634,2.370982491093337,-2.7496104948565185,-3.120541151298151,1.4596229255976854,-2.4500339103090885,0.1700583818044227,1.0066755578402247,0.5296826006610168,0.6332885885232917,0.5933092183786329,1.0084047068050792,0.5900103348582962,-8.19508171081543,5.742187023162842,-0.987133264541626,-8.34,4.74,1.96
1740061836.760683,ble-pd-B43A31EF7B26,7509,27,-72.0,-81.0,-67.0,-76.0,-52.0,-59.0,-48.0,2.892683498098845,-2.9789113278734307,2.377904579398671,-2.718106897057535,-2.999315941556371,-0.16548493390935973,-2.4827014473888114,0.1335968352606877,1.002231407771155,0.5423063504126422,0.5470871906225252,0.53657933950584,0.8833809951464168,0.47436395987231705,-8.13016986846924,5.755716800689697,-0.8559600114822388,-8.34,4.74,1.96
1740061837.759869,ble-pd-B43A31EF7B26,7510,13,-65.0,-75.0,-65.0,-72.0,-53.0,-52.0,-47.0,2.878824940418291,-2.772856695379602,2.4024243035550303,-2.7249115399587964,-3.0791846889529233,-2.438210852558029,-2.4204332160561974,0.07246377270083701,0.9459806518587192,0.52265857986496,0.7130580529173535,0.5750689196023472,1.2989893318833934,0.42391020943315527,-8.061827659606934,5.769370079040527,-0.4897502660751343,-8.34,4.74,1.96
1740061838.765738,ble-pd-B43A31EF7B26,7511,24,-70.0,-81.0,-66.0,-81.0,-53.0,-54.0,-50.0,2.8686543282152783,-2.9186724882286015,2.472755724782933,-2.765033393361385,3.141592653589793,2.7435832281494195,-2.445929458679827,0.0663979697485584,0.9168220339785779,0.46934475800266373,0.6483136107613008,0.5759586532125927,0.7796383897395913,0.46245008712454605,-8.06461811065674,5.709142208099365,-0.2522445321083069,-8.34,4.74,1.96
1740061839.761374,ble-pd-B43A31EF7B26,7512,8,-71.0,-78.0,-71.0,-67.0,,,,2.867575747973796,-2.656740208691057,2.5578298731732962,-2.8022113884950004,,,,0.07636651876505045,0.8175436495981679,0.29710538042352064,0.6982751120224325,,,,,,,-8.34,4.74,1.96
1740061840.758065,ble-pd-B43A31EF7B26,7513,25,-71.0,-85.0,-66.0,-81.0,-51.0,-54.0,-49.0,2.8815126025903988,-2.6217265645753494,2.4638921920429313,-2.851902512326462,3.141592653589793,2.54883559206815,-2.45861129206976,0.07840282999117387,0.7959403531515542,0.5382757226818345,0.6127060817225054,0.5585053606911774,0.46233151338208733,0.482044790086817,-8.03055667877197,5.64001226425171,-0.05166853219270706,-8.34,4.74,1.96
1740061841.76049,ble-pd-B43A31EF7B26,7514,10,-69.0,-74.0,-67.0,-69.0,-52.0,-50.0,-47.0,2.877252610110708,-2.6350330489619305,2.4791835303899483,-2.902860235572365,2.93194345054196,2.9093683430284205,-2.4281662303965525,0.12469586846261352,0.8230179769559076,0.39342259598787144,0.6785449499285261,0.41071366710700297,0.4431548379204565,0.5023488124153102,-7.995233535766602,5.627007484436035,0.048743218183517456,-8.34,4.74,1.96
1740061842.761501,ble-pd-B43A31EF7B26,7515,33,-69.0,-80.0,-71.0,-70.0,-54.0,-66.0,-51.0,2.8781852491244537,-2.6278094908211993,2.45209172525279,-2.8931018807060966,3.0760649550870856,2.6444082263402957,-2.4438683083637316,0.1480417960461423,0.8512629974240973,0.5962320335353842,0.6410624889032875,0.6447395050024075,0.404985438517124,0.357676538829158,-7.976099967956543,5.595386505126953,0.06891411542892456,-8.34,4.74,1.96
