CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1732555171.059617,ble-pd-B43A31EF7B26,198,34,-79.0,-63.0,,-75.0,,1.3765922285197023,1.710419471161135,,0.9513352035464325,,0.28496972152067945,0.7144172637587026,,0.3234203747602162,,-1.4448562860488892,-1.0213582515716553,0.40876734256744385,-1.2286113651619113,0.4,1.92
1732555172.057473,ble-pd-B43A31EF7B26,199,10,-73.0,-60.0,,-69.0,,1.3575698014854845,1.9682821742369292,,1.340792951882421,,0.25077226970005373,0.7162252838227574,,0.19625676297488645,,-1.4454485177993774,-1.0138942003250122,-2.032529354095459,-1.6651420747770618,0.4,1.92
1732555173.056829,ble-pd-B43A31EF7B26,200,14,-77.0,-62.0,,-69.0,,1.6417631782588922,1.979169709405391,,1.2931114494095335,,0.17247639891616012,0.6928968582010175,,0.1580063794493236,,-1.4555652141571045,-0.997363030910492,-2.0485777854919434,-2.102328987355789,0.4,1.92
1732555174.061611,ble-pd-B43A31EF7B26,201,36,-83.0,-80.0,,-82.0,,1.7054249788528002,1.9802008853794697,,1.2416503887176054,,0.157391572066922,0.6942713822186347,,0.22154852088650318,,-1.4591093063354492,-0.9632427096366882,-1.6915990114212036,-2.5418896047880946,0.4,1.92
1732555175.057896,ble-pd-B43A31EF7B26,202,7,-80.0,,,,,1.7513048528482493,,,,,0.13787385532659813,,,,,,,,-2.977733051166059,0.4,1.92
1732555176.057538,ble-pd-B43A31EF7B26,203,14,-72.0,,-75.0,,,1.6899115328708707,,1.4038603349210237,,,0.191700260797329,,0.2727787853804623,,,-1.458404541015625,-0.9367166757583618,-1.7424898147583008,-3.415045079776508,0.4,1.92
1732555177.057763,ble-pd-B43A31EF7B26,204,18,-80.0,,-74.0,,,1.7561235765246388,,1.4627651971758322,,,0.10896976074526273,,0.25385579412344517,,,-1.4513427019119263,-0.9395036697387695,-1.900222897529602,-3.852612152605468,0.4,1.92
1732555178.057794,ble-pd-B43A31EF7B26,205,35,-75.0,,-85.0,,,1.9484288409426065,,1.4384702438154755,,,0.14914051644336807,,0.2778886591430246,,,-1.4539096355438232,-0.943972647190094,-2.0088722705841064,-4.2900943565178045,0.4,1.92
1732555179.058087,ble-pd-B43A31EF7B26,206,7,,,-71.0,,,,,1.4276780498140382,,,,,0.28864944448835556,,,,,,-4.727691177214446,0.4,1.92
1732555180.057183,ble-pd-B43A31EF7B26,207,35,,-73.0,-78.0,-97.0,,,3.0712947881916257,1.3005374077931107,1.6669976948518288,,,0.3776264221667163,0.43712407079066296,0.35461757587578596,,-1.52154803276062,-0.8439766764640808,-2.087939500808716,-5.164764347946154,0.4,1.92
1732555181.058258,ble-pd-B43A31EF7B26,208,16,,-68.0,-92.0,-72.0,,,3.1366508918710423,1.3943288813796302,1.9952477455384174,,,0.40704336667259533,0.29576357999779784,0.4117913834220431,,-1.6261168718338013,-0.7016059160232544,-2.143845796585083,-5.60270326912114,0.4,1.92
1732555182.058317,ble-pd-B43A31EF7B26,209,17,,-75.0,-84.0,-75.0,,,-3.105884190745684,1.695198440266896,2.079359427510826,,,0.43831846525004986,0.2303345057045131,0.4119740096937953,,-1.757828950881958,-0.5604202151298523,-2.2434096336364746,-6.035239499753991,0.43305350786105323,1.92
1732555183.059688,ble-pd-B43A31EF7B26,210,2,,-70.0,-73.0,-76.0,,,3.1253606867457604,1.681013911668916,2.171286422018181,,,0.49967716413325747,0.22450238265432135,0.24132836757949647,,-1.9378092288970947,-0.44685098528862,-2.211918592453003,-6.4492270306523425,0.5935863611323573,1.92
1732555184.057697,ble-pd-B43A31EF7B26,211,27,,,-89.0,,,,,1.6624703209986942,,,,,0.2207370889918696,,,,,,-6.861824641052817,0.75358024188229,1.92
1732555185.05853,ble-pd-B43A31EF7B26,212,2,,-69.0,-75.0,,,,3.0958965377095597,1.6791997663343539,,,,0.44620248734112045,0.21151625990212014,,,-2.1440160274505615,-0.3311687409877777,0.2399856597185135,-7.143439502641028,1.0070878567815058,1.92
1732555186.061302,ble-pd-B43A31EF7B26,213,36,,-76.0,-89.0,,,,-3.1394512057572603,1.786377086507939,,,,0.3876309862757625,0.1812344538322379,,,,,,-7.141673684586546,1.4610292266443814,1.92
1732555187.058411,ble-pd-B43A31EF7B26,214,25,,-68.0,-75.0,,,,-3.073754483774423,1.697147341552616,,,,0.3772978879567414,0.22542803087020563,,,,,,-7.13991783871681,1.9124070327285188,1.92
1732555188.102084,ble-pd-B43A31EF7B26,215,20,,-75.0,-75.0,,,,-3.1070466605615032,1.7887648767413038,,,,0.47443445831996867,0.12044324128781252,,,,,,-7.138079996588814,2.3848637340613212,1.92
1732555189.056746,ble-pd-B43A31EF7B26,216,30,-71.0,-89.0,-79.0,-69.0,,2.5155830835369333,-2.9383769508179887,1.8583468844384583,2.7262268752211867,,0.33922217450917413,0.4029257201531693,0.17096795118522565,0.6352824306524069,,-2.4032840728759766,-0.1650126576423645,0.261729508638382,-7.13639889720079,2.817026355311249,1.92
1732555190.058633,ble-pd-B43A31EF7B26,217,1,-73.0,-75.0,-73.0,-69.0,,2.548008667705302,-3.077657612668043,1.8443663539799782,2.7674025414671197,,0.306078069478702,0.3911980242398146,0.26594802685576124,0.5395665901517096,,-2.732487440109253,0.0510609820485115,0.15813174843788147,-7.134634637575321,3.270567097601428,1.92
1732555191.059984,ble-pd-B43A31EF7B26,218,30,-77.0,-77.0,-69.0,-80.0,,2.5711163838517015,-3.112347416395197,1.83642800340267,2.7811625621873413,,0.2831171933769067,0.37532059071589846,0.3719837164490564,0.5109643399127994,,-3.1458356380462646,0.2769661545753479,0.254414290189743,-7.132871321811943,3.723865199915374,1.92
1732555192.058974,ble-pd-B43A31EF7B26,219,30,-74.0,-84.0,-69.0,-75.0,,2.617843675706014,-2.945913430386804,1.8569551164527829,2.7975149039126457,,0.2806303002614771,0.41444126199618553,0.5159872947552843,0.5840480715482717,,-3.611064910888672,0.5345163941383362,0.2592175304889679,-7.131112163620204,4.176094509348939,1.92
1732555193.058638,ble-pd-B43A31EF7B26,220,27,-80.0,-75.0,-78.0,-69.0,,2.6501622007985612,-2.6966221112794297,1.8953270067030805,2.8023107244036605,,0.2363649177426181,0.3773101384977558,0.613139577768943,0.5421316470451331,,-4.090768814086914,0.8254404664039612,0.23349961638450623,-6.9571674812336415,4.462375283571732,1.92
1732555194.066547,ble-pd-B43A31EF7B26,221,3,-70.0,-76.0,,-66.0,,2.703253382393727,-2.611118395005237,,2.8955197646597797,,0.2475168715178113,0.23358833927961511,,0.45600857936992845,,,,,-6.48391257708767,4.463402895690305,1.92
1732555195.062198,ble-pd-B43A31EF7B26,222,18,-74.0,-77.0,-77.0,-76.0,,2.697606948250541,-2.593076810200495,1.9016152626689755,2.885683645489681,,0.19165114211997383,0.33304753565328454,0.5840497360239529,0.48364619937249825,,-4.516829013824463,1.0520249605178833,0.21813586354255676,-6.016413310221475,4.46441801018325,1.92
1732555196.059435,ble-pd-B43A31EF7B26,223,25,-72.0,-74.0,-69.0,-67.0,,2.7818517882774536,-2.5639013478264587,1.5699856605590765,2.9651534376820816,,0.17403046992551907,0.37089331843023715,0.6924720840071499,0.518502217641187,,-4.843879222869873,1.2950750589370728,0.18956616520881653,-5.548169350850326,4.465434741680131,1.92
