CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733160067.943547,ble-pd-B43A31EF7B45,2223,18,-57.0,-75.0,,-81.0,-63.0,1.3600524002536563,-1.1889415038969207,,-0.7389539655670114,-0.10946727445741501,0.6253671490189054,0.22631158449610986,,0.19561162884557157,0.2950315759394976,-0.77826064825058,6.546180248260498,1.2514821290969849,-1.2044961577856563,6.8825652337921115,1.92
1733160068.945204,ble-pd-B43A31EF7B45,2224,34,-58.0,-75.0,-86.0,-71.0,,1.435158336683853,-1.4461109861409673,0.41558149441690295,-0.7547529024177975,,0.6517832436084833,0.10790512048761151,0.19504073033164263,0.15188565296075132,,-0.7867470979690552,6.506925582885742,1.3121633529663086,-1.5476678670563908,6.871065148169667,1.92
1733160069.943363,ble-pd-B43A31EF7B45,2225,29,,-80.0,,-74.0,-55.0,,-1.5193674903521583,,-0.6949561475139213,-0.14846002494885707,,0.1097662955825486,,0.2075582698900444,0.3455259900549446,-0.8856639862060547,6.40705919265747,1.3968111276626587,-1.889641147484688,6.859605223300363,1.92
1733160070.947101,ble-pd-B43A31EF7B45,2226,25,,-74.0,,-73.0,-58.0,,-1.5312491835555468,,-0.7218442208276884,-0.32752860280629936,,0.10422892620837976,,0.18456675079095636,0.2817759673559988,-0.95393967628479,6.29945707321167,1.4389111995697021,-2.233525815709428,6.84808124558893,1.92
1733160071.950259,ble-pd-B43A31EF7B45,2227,27,,-75.0,,,-60.0,,-1.5924937659860448,,,-0.43375291165991453,,0.12596890939794186,,,0.25454723047263406,,,,-2.5772117736058053,6.83656392689317,1.92
1733160072.946143,ble-pd-B43A31EF7B45,2228,33,,-82.0,,,-60.0,,-1.6236872386760883,,,-0.5230714583517929,,0.13328540353833815,,,0.24347631839184442,,,,-2.9184056299012995,6.825130121438786,1.92
1733160073.948243,ble-pd-B43A31EF7B45,2229,21,,-75.0,,,-64.0,,-1.6691171716053688,,,-0.5919036358932597,,0.14247289318019118,,,0.21880566121076092,,,,-3.2617291127504213,6.813624949706096,1.92
1733160074.946494,ble-pd-B43A31EF7B45,2230,24,-61.0,-86.0,-75.0,,-70.0,2.854019725393075,-1.6411511838403918,0.04665538650488016,,-0.8723320603156464,0.31290764622566936,0.14010734034192834,0.2505289067106909,,0.1706272983153288,-1.060071349143982,6.206353187561035,1.4351030588150024,-3.603733912748045,6.8021639685791335,1.92
1733160075.945614,ble-pd-B43A31EF7B45,2231,12,-68.0,-71.0,-73.0,,-61.0,2.819511549252264,-1.6261836858819285,0.1089890686631658,,-1.2021360126948988,0.29863789647280675,0.14719010048477812,0.2872354058180644,,0.38070212083984484,-1.1638457775115967,6.157121181488037,1.4599840641021729,-3.9460364356341993,6.790693010409724,1.92
1733160076.946845,ble-pd-B43A31EF7B45,2232,24,-70.0,-74.0,-74.0,-62.0,,2.878791917220774,-1.6248825985313704,0.18275144032341747,-1.3745336049970711,,0.27871653605738933,0.1473386715840909,0.34899557623560146,0.40498174709373774,,-1.2804957628250122,6.1652445793151855,1.3832920789718628,-4.289062195594791,6.779197815719481,1.92
