CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733158819.91778,ble-pd-B43A31EF7B45,975,12,-85.0,-61.0,-77.0,-68.0,-55.0,1.0223473287489593,1.6467832369136914,0.819533230669539,0.7913876126890365,0.20275575103859672,0.22537328626504768,0.7743318635408147,0.16850427750555017,0.1492911015582552,0.325293123096193,-2.915639638900757,4.048484802246094,0.987426519393921,-1.4921412939060592,0.4,1.92
1733158820.919876,ble-pd-B43A31EF7B45,976,10,-71.0,-57.0,-72.0,-71.0,-55.0,1.1853466358994769,1.8437511637681698,0.7571678568942813,0.7389861898162013,0.3658526865024269,0.22047381887335848,0.7476404646735502,0.20773407181150325,0.14142264231480478,0.4273801957619801,-2.5310099124908447,3.540569543838501,0.0337783768773079,-1.8781687841732335,0.4,1.92
1733158821.919488,ble-pd-B43A31EF7B45,977,29,-76.0,-63.0,-77.0,-73.0,-59.0,1.3368014060406104,1.8994474495416511,0.6683359882058163,0.9857155479549194,0.575002506012062,0.24090500818995794,0.8029204317896247,0.12061236866178938,0.22806605837749724,0.32689131790490145,-2.4124858379364014,3.346775770187378,-2.987015962600708,-2.2632393877890054,0.4,1.92
1733158822.916558,ble-pd-B43A31EF7B45,978,19,-75.0,-73.0,-74.0,-71.0,-59.0,1.2926717615135614,1.9254478912640947,0.5917762321365454,0.9264407726246988,1.4046047121754204,0.21813258402479938,0.8005592065881332,0.1292623907837724,0.22383008428188766,0.9322897093128163,-2.2087433338165283,3.331969976425171,1.3525843620300293,-2.647330761989373,0.4,1.92
1733158823.918934,ble-pd-B43A31EF7B45,979,19,-75.0,-65.0,-72.0,-73.0,-66.0,1.1900260762508554,1.960344888924057,0.6371226749656516,0.9366374838063942,0.9991612195580466,0.1729146720078031,0.7803336965314719,0.13725938916171118,0.21911018052669703,0.6760062650590845,-2.06676197052002,3.28704833984375,1.2361116409301758,-3.0334661138758676,0.4,1.92
1733158824.917781,ble-pd-B43A31EF7B45,980,7,-75.0,-67.0,-71.0,-70.0,-52.0,1.3202285545770474,1.9862398694673336,0.6931811506473835,0.932195064792033,0.8561931277201614,0.17711272934739272,0.8011010267119097,0.11902084694960122,0.22816266454603987,0.4443586694216641,-2.0354254245758057,3.25707483291626,-4.103556156158447,-3.418242024138853,0.4,1.92
1733158825.91783,ble-pd-B43A31EF7B45,981,24,-76.0,-67.0,-78.0,-68.0,-55.0,1.2895603904120219,1.9968376527091949,1.0078560039934021,0.9765140600725867,0.6956631947667434,0.19795309672072603,0.7737672068106907,0.21727679385325924,0.3278337320291819,0.46245008705605173,-1.82819402217865,2.799463987350464,-0.18911431729793549,-3.8034809689247786,0.4,1.92
1733158826.917735,ble-pd-B43A31EF7B45,982,29,-79.0,-69.0,-78.0,-75.0,-53.0,1.3026671377168468,2.0866357162411404,1.0686138937346878,0.9731363728620391,0.9739318530864988,0.3271509973942265,0.8148390097741107,0.23591883826002982,0.3688592625686618,0.454473341253017,-1.789973497390747,2.7613611221313477,-3.849011182785034,-4.188664442020768,0.4,1.92
1733158827.916103,ble-pd-B43A31EF7B45,983,34,-78.0,-69.0,-73.0,-80.0,-62.0,1.3807765872244349,2.1820509191442814,1.0481741323683298,0.981700832611625,1.0994874455917223,0.32590620261120984,0.8960022395246654,0.26449116122619015,0.4132376796310379,0.5110275760555503,-1.2969468832015991,2.5475661754608154,-1.6333367824554443,-4.573255831870702,0.4,1.92
1733158828.91853,ble-pd-B43A31EF7B45,984,12,-73.0,-67.0,-84.0,-79.0,-64.0,1.1661066286041997,2.3427396677330465,1.0502593875018618,0.9709222207317473,1.166958879888577,0.31108707601497754,0.8449134887531303,0.20693677131540394,0.4826242778832076,0.2498524026710038,-1.2102257013320923,2.467649459838867,-6.124470233917236,-4.959410829980715,0.4,1.92
