CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1732553974.192355,ble-pd-B43A31EF7B26,1219,8,-73.0,-61.0,,-75.0,-53.0,1.432981468808822,1.800229252601877,,0.38861858627650475,-2.4591350295939476,0.1890182245530238,0.6611979175360769,,0.4674063096242223,0.30382702245076876,-1.3990854024887085,-0.12514978647232056,0.3622388541698456,-1.3091614816958472,0.4,1.92
1732553975.191847,ble-pd-B43A31EF7B26,1220,22,-79.0,-64.0,,-74.0,-54.0,1.3591506539085554,1.875713357906865,,0.4528652170457943,-2.4039139635136944,0.24405677611628265,0.666274967838204,,0.39246775286853713,0.3605798816779776,-1.310598611831665,-0.17656299471855164,0.49114495515823364,-1.7430315439154969,0.4,1.92
1732553976.191236,ble-pd-B43A31EF7B26,1221,7,,-57.0,,-69.0,-54.0,,1.9168352282987784,,0.5262395661352214,-2.3392904672693975,,0.663982851667,,0.26396786671674644,0.2607324645749327,,,,-2.1768568948053826,0.4,1.92
1732553977.191746,ble-pd-B43A31EF7B26,1222,13,-78.0,-60.0,,-71.0,-57.0,1.261261108036622,1.9136729908204184,,0.5102145269078876,-2.285622463019579,0.21843390405738503,0.6739470688855315,,0.2691979988472826,0.3094325508712855,-1.2229911088943481,-0.218517005443573,0.8146477341651917,-2.6111688612357113,0.4,1.92
1732553978.190618,ble-pd-B43A31EF7B26,1223,27,-79.0,,,-82.0,-65.0,1.386224349550301,,,0.571061099913473,3.0116641497143677,0.1819883448025689,,,0.3276720781510141,0.3463542063143713,,,,-3.044769787295616,0.4,1.92
1732553979.191537,ble-pd-B43A31EF7B26,1224,9,-82.0,,-75.0,-68.0,-53.0,1.45845194147434,,1.1237149630045364,0.5746262736647622,-2.7392034658757227,0.2373656005222154,,0.215123644756687,0.4209575844199323,0.5892791256077535,-1.1515718698501587,-0.17138685286045074,1.0064826011657715,-3.47925929677326,0.4,1.92
1732553980.193431,ble-pd-B43A31EF7B26,1225,35,-86.0,,-89.0,-73.0,-56.0,1.4403616208216496,,1.0753663386785839,0.7177599969799429,-2.5340746351644685,0.22076090763886902,,0.23031057054421603,0.5016412787267045,0.3809039848163557,-1.0766263008117676,-0.10060174763202667,0.9178894758224487,-3.914172044566633,0.4,1.92
1732553981.222295,ble-pd-B43A31EF7B26,1226,22,,,-75.0,-73.0,,,,1.0346822919698793,0.7706306688368499,,,,0.22726066852958685,0.5132553908195674,,,,,-4.360792215308928,0.4,1.92
1732553982.190984,ble-pd-B43A31EF7B26,1227,22,-82.0,,-87.0,-80.0,-65.0,1.4389160569819548,,1.123705375624612,0.7654177973191288,-2.3388940488931342,0.1893193282037709,,0.2565339854289265,0.4579764556784153,0.5433209627789735,,,,-4.781290985385618,0.4,1.92
1732553983.19187,ble-pd-B43A31EF7B26,1228,21,-93.0,-74.0,-83.0,-85.0,-64.0,1.5028580221225392,2.8328960642587844,1.067408813341427,0.9701791987876152,-2.32844504706848,0.15920723207435394,0.17309957861123865,0.26565477953022987,0.46337378439113797,0.5230674580724515,-0.9951411485671997,-0.05205310881137848,0.8452157974243164,-5.215766169874113,0.4,1.92
1732553984.197212,ble-pd-B43A31EF7B26,1229,31,-83.0,-82.0,-80.0,-80.0,-63.0,1.626803669783699,2.842804088778315,1.198877092133734,0.9638403427610086,-1.422644965618371,0.19357818883999836,0.20116413662606183,0.18962099777624963,0.48254834450262674,0.8099260988453248,-0.9542720317840576,-0.009501028805971146,0.7446426153182983,-5.652175661988135,0.4,1.92
1732553985.192666,ble-pd-B43A31EF7B26,1230,14,-75.0,-75.0,-74.0,-79.0,,1.7143955706686231,2.9396760407977296,1.3293892960947018,0.8815161745122612,,0.25885602887288023,0.2437649435950804,0.183741154208275,0.5006864023178567,,-0.9420499205589294,0.045636311173439026,0.6164551973342896,-6.071181777352458,0.4469909237137253,1.92
1732553986.195177,ble-pd-B43A31EF7B26,1231,25,-82.0,-71.0,-80.0,-74.0,,1.7068455089782486,2.9844171471110608,1.5035829345712588,0.8918058300160003,,0.2539625036593733,0.2390227525105172,0.2386159546540076,0.5215648861842918,,-0.93713116645813,0.11757276952266693,0.2968994975090027,-6.463876700163344,0.5992670956244794,1.92
1732553987.194332,ble-pd-B43A31EF7B26,1232,24,,-80.0,-83.0,-78.0,-58.0,,2.977803985492176,1.5021197938683692,1.0454393322449274,-2.0806700214547704,,0.21809105535655096,0.23025863890295947,0.5169547546002828,0.626382770923023,-0.948827028274536,0.22557787597179413,0.14487722516059875,-6.855257039731799,0.7510335087067194,1.92
1732553988.195064,ble-pd-B43A31EF7B26,1233,16,,-73.0,-79.0,-81.0,-50.0,,2.9468415420266965,1.5106419093566228,1.12695682899949,-1.2376251997485215,,0.26749885213754165,0.1469869678726323,0.5693865042200312,0.7056378055214146,-0.9792411923408508,0.3178603947162628,0.036160461604595184,-7.143502308619634,0.9909422341385484,1.92
1732553989.197667,ble-pd-B43A31EF7B26,1234,15,,-75.0,-74.0,-70.0,-55.0,,3.140572130260075,1.5478617161193522,1.4429613986777852,-1.158143076157444,,0.3396857309864161,0.13309216623411768,0.685281549063936,0.6462148867586811,-1.0419316291809082,0.403457373380661,-0.038500793278217316,-7.141609338699187,1.477570715830548,1.92
1732553990.196639,ble-pd-B43A31EF7B26,1235,28,,,,,-57.0,,,,,-1.5522420645853499,,,,,0.4883683154192778,,,,-7.13972322430758,1.9624368369301461,1.92
1732553991.194932,ble-pd-B43A31EF7B26,1236,9,,-74.0,-74.0,-73.0,-58.0,,-2.9587448068349147,1.561092833047084,2.521320065157182,-1.247892187852556,,0.24937913684431964,0.22052629979158986,1.0999305376251478,0.3734694680842641,-1.15929639339447,0.49727150797843933,-0.10610488057136536,-7.13783839190553,2.4469733951428694,1.92
1732553992.200796,ble-pd-B43A31EF7B26,1237,0,,-70.0,-73.0,-78.0,-48.0,,-2.869309465843438,1.6634881811673226,2.528821657315717,-1.023544881661129,,0.2048955748531559,0.24596290037699325,1.0256745490568497,0.32586754219952385,-1.340402364730835,0.5889610052108765,-0.06240525096654892,-7.135939265036709,2.9351846523490037,1.92
1732553993.191287,ble-pd-B43A31EF7B26,1238,25,-76.0,-75.0,,-67.0,-52.0,2.4430636091574214,-2.9164516781955845,,2.8554849966248366,-0.9848298160695061,0.11856671972709386,0.2946475823430001,,0.5299894301081075,0.2414118786008315,-1.5383011102676392,0.693362295627594,0.0189928375184536,-7.134069163242207,3.415934392235669,1.92
1732553994.205379,ble-pd-B43A31EF7B26,1239,27,-75.0,-77.0,,-75.0,-55.0,2.806623447472935,-2.8043594942302583,,2.917042899957582,-0.6216772593296588,0.17806054837935192,0.2755927812567809,,0.45407812047475726,0.4857217718907823,-1.7512155771255493,0.83002108335495,0.04819868505001068,-7.132154501454274,3.9081392332904064,1.92
1732553995.192687,ble-pd-B43A31EF7B26,1240,10,-73.0,-77.0,,-67.0,-49.0,2.859369483390826,-2.5814723520665837,,2.9799462322730355,-0.12077326373883088,0.3419938594136741,0.36787835376015837,,0.5070291865070711,0.520438867530752,-1.951106309890747,0.97153502702713,0.029969515278935432,-7.130290409339832,4.387344056138897,1.92
