CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733924580.101232,ble-pd-B43A31EF7B26,89,30,-72.0,-59.0,,-85.0,-47.0,-56.0,1.634875178415511,2.0985645473958234,,1.143631413216694,0.7730600576769111,-0.6913489829966776,0.11815256488807291,0.6563871167639306,,0.25663774884289875,0.34971596559796014,0.7783742499105054,,,,-1.3446758268497183,0.4,1.92
1733924581.090706,ble-pd-B43A31EF7B26,90,20,-72.0,-56.0,-75.0,-74.0,-51.0,-53.0,1.6517319228512768,2.2019857451679608,1.1469382603422453,1.0163781194816557,0.8371265580572451,-0.4833234676850539,0.10148210024818001,0.6733308134092872,0.44301894457403973,0.33086813777521823,0.2515890492842233,0.7946121235015348,-2.506075859069824,1.0048518180847168,1.1928859949111938,-1.815127391926187,0.4,1.92
1733924582.087577,ble-pd-B43A31EF7B26,91,31,-75.0,-65.0,-74.0,-67.0,-51.0,-55.0,1.548090747973099,2.247809692780518,1.1615574168301264,1.0494143664879796,0.931760147086511,-0.09103068921078447,0.20439701445233627,0.6460807499243512,0.408700884845547,0.3296359597178658,0.1914166472963637,0.6960894446476094,-2.333272695541382,1.0802794694900513,1.11707603931427,-2.2890954276313282,0.4,1.92
1733924583.088304,ble-pd-B43A31EF7B26,92,33,-79.0,,-82.0,-78.0,-50.0,-46.0,1.895073473767305,,1.2163104109455014,1.0316281788317765,0.9246268135101893,0.23418088736028908,0.3087476887344247,,0.21481155556644332,0.2722779779374729,0.2856483007993134,0.46013572325461555,-2.2001214027404785,1.1648151874542236,1.075734257698059,-2.764896345201468,0.4,1.92
1733924584.089643,ble-pd-B43A31EF7B26,93,31,-75.0,,-73.0,-74.0,-49.0,-48.0,1.9618873918274309,,1.156371975871633,1.043143687385279,0.9331569689718341,0.38568839897059887,0.2585557907494874,,0.26802063197411546,0.2945136919191964,0.306549189174903,0.5248099119285263,-2.113162040710449,1.2669687271118164,1.0687663555145264,-3.240988717138208,0.4,1.92
1733924585.088211,ble-pd-B43A31EF7B26,94,26,-76.0,,-70.0,-76.0,-47.0,,1.9052866965477588,,1.1694915063496905,1.0834556904896995,0.9995080487912573,,0.35920060979570334,,0.3447584203622581,0.24180683775884285,0.4259388308179543,,-2.061309814453125,1.3181504011154175,1.0607309341430664,-3.715763601228538,0.4,1.92
1733924586.089283,ble-pd-B43A31EF7B26,95,35,-82.0,,-73.0,-71.0,-64.0,-46.0,2.0573963380009426,,1.3272566366937664,1.1630794133931066,1.5522420645853499,0.5055480110494981,0.48354792872827435,,0.46853632216425656,0.25160518997573283,0.4883683154192778,0.35559049979124185,-2.059788942337036,1.3678598403930664,1.0223445892333984,-4.1917290264835785,0.4,1.92
1733924587.087281,ble-pd-B43A31EF7B26,96,14,-78.0,,-75.0,-71.0,,-47.0,2.079384993857291,,1.3464516365666215,1.2119422941255535,,0.6179808254144848,0.42041330087214746,,0.40311959828052707,0.32986515801918076,,0.3481060317577347,-2.0908851623535156,1.41642701625824,0.9907748699188232,-4.666232900803987,0.4,1.92
1733924588.087978,ble-pd-B43A31EF7B26,97,27,-76.0,-75.0,,-73.0,-58.0,-41.0,2.109144221142272,3.0349351824609916,,1.2056572339529665,1.974402891904038,0.8344001807415057,0.556292240482816,0.13601056634754577,,0.33278381612633945,0.4955644321014144,0.4832343571655546,-2.160039186477661,1.4490418434143066,0.9637919664382935,-5.142020030157762,0.4,1.92
1733924589.087318,ble-pd-B43A31EF7B26,98,6,-69.0,-70.0,-70.0,,-53.0,-44.0,2.1137573487825074,3.0519059101914126,1.3791813537314774,,1.3302147446047707,1.119374702932638,0.5244194619777204,0.13040075066934836,0.39998572346777633,,0.6053224754966787,0.6667681137479674,,,,-5.617161966076829,0.4,1.92
