CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1734021697.745383,ble-pd-B43A31EF7B26,82,8,-79.0,-54.0,-69.0,-68.0,-50.0,-56.0,1.668011826594931,1.8445170888976767,1.0907839108612705,1.2146070531122868,0.7996494135329556,-0.276148185176907,0.10390378752879471,0.798268888050665,0.23821280199924003,0.3242091032065568,0.31422912078120585,0.31990321624908996,-1.4562079906463623,-0.411521703004837,0.9184075593948364,-1.3190597711020602,0.4,1.92
1734021698.746616,ble-pd-B43A31EF7B26,83,33,-78.0,-61.0,-77.0,-75.0,-57.0,,1.633188864813273,1.9505599024468878,1.1125898738668394,1.1120670953448568,0.7815644543520484,,0.12424902332121186,0.7304753927625807,0.23251263858106166,0.3221139277979643,0.2528224714633967,,-1.413861632347107,-0.43368256092071533,1.0016275644302368,-1.638311176205498,0.4,1.92
1734021699.747714,ble-pd-B43A31EF7B26,84,0,-78.0,-60.0,-72.0,-64.0,-52.0,-48.0,1.6344267020879417,2.0256024556431407,1.1794882141335208,1.2204516264405747,0.8126943356077835,-0.3765370375311111,0.1842072739780661,0.640279186647668,0.19659283725969762,0.3100422846298258,0.3504811694831904,0.37596162406589395,-1.3793299198150635,-0.574570059776306,0.8719533681869507,-1.9575201731189469,0.4,1.92
1734021700.746721,ble-pd-B43A31EF7B26,85,18,-87.0,-57.0,-71.0,-70.0,,-56.0,1.5918374299353946,2.074352684661477,1.192534241365492,1.2793804571451939,,0.22112808404938877,0.24235288565084995,0.6421332128195539,0.24698548765655642,0.35667626597744445,,0.3240978248893665,-1.3820399045944214,-0.5902963280677795,0.6791752576828003,-2.2760621179011453,0.4,1.92
1734021701.745902,ble-pd-B43A31EF7B26,86,33,-75.0,-60.0,-72.0,-75.0,-49.0,-50.0,1.7529165979399652,2.0869893840339033,1.2104365428452226,1.3147736017162384,0.7956735364294274,0.4716298104174879,0.23789195766691273,0.6749896964522976,0.19811308612321255,0.23502781113831658,0.3020398666102595,0.26590435534372076,-1.491145133972168,-0.6140340566635132,0.6068266034126282,-2.5946595440747577,0.4,1.92
1734021702.747274,ble-pd-B43A31EF7B26,87,35,-73.0,-67.0,-81.0,-76.0,-57.0,-51.0,1.7042185668789944,2.1462686867379768,1.0823102649048564,1.3309648221955928,0.7630501135107267,0.6472166491622839,0.18461438808495517,0.7256483467077848,0.5309932421019856,0.20007606887319632,0.5140284873365447,0.2248860728023472,-1.5991102457046509,-0.4885474741458893,0.566529870033264,-2.913955589378183,0.4,1.92
1734021703.747708,ble-pd-B43A31EF7B26,88,33,-86.0,-66.0,-81.0,-74.0,-50.0,-50.0,1.6663718519956603,2.1598619935739594,1.1026152703200567,1.3994187148549895,0.8734503193867235,0.7327885008646373,0.23617578337095205,0.7175167837933912,0.34861271353938894,0.19273717921250816,0.436551967359347,0.19659719631759787,-1.726499319076538,-0.290104329586029,0.5888811349868774,-3.232952545341689,0.4,1.92
1734021704.74679,ble-pd-B43A31EF7B26,89,20,-78.0,-68.0,-75.0,-68.0,-46.0,-51.0,1.8983864461633635,2.234540226333089,1.1324554577021764,1.385050428141794,0.8956943438677696,0.7503052872474556,0.30953062480539434,0.7438717588359517,0.30521397357351215,0.15271096658256686,0.39894676310574834,0.19354614955040608,-1.9004212617874146,-0.012527525424957275,0.5897950530052185,-3.551518404516738,0.4,1.92
1734021705.746704,ble-pd-B43A31EF7B26,90,29,-75.0,-68.0,-74.0,-71.0,-52.0,-51.0,2.1146234087690012,2.1747991314959956,1.2453585742194317,1.2329655540867481,0.9206200851605364,0.7852754413908591,0.20227199499477796,0.6446389810892096,0.20451392722419073,0.20252098391194356,0.2751110184730726,0.1872715442425821,-2.1093838214874268,0.3249112665653229,0.626725733280182,-3.8703495540231447,0.4,1.92
1734021706.746864,ble-pd-B43A31EF7B26,91,5,-75.0,-61.0,-65.0,-65.0,-58.0,-46.0,2.155473636729727,2.5034609068871108,1.3142132726228857,1.2282474978995637,1.6464151925912438,0.7176478216000378,0.2269467983503642,0.6377152283081943,0.20080742284280254,0.2367146906622864,0.7122818311710648,0.21275181235271443,-2.3471834659576416,0.6530362963676453,0.683737874031067,-4.189259142738102,0.4,1.92
