CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740403706.10519,ble-pd-B43A31EF7B26,3435,5,,,-68.0,,,-47.0,-50.0,,,1.1159313420865618,,,1.1224578653219817,0.30757958729850815,,,0.28786910499944873,,,0.5065322559135228,0.8138047983677497,-1.755515694618225,0.900711953639984,0.494877576828003,-1.1434881318508552,0.39,1.92
1740403707.084338,ble-pd-B43A31EF7B26,3436,15,-83.0,-57.0,-83.0,-70.0,-55.0,-51.0,-48.0,1.6427858321174826,1.9010043335149114,1.137717864016173,1.1417048824841305,0.7821305023582559,1.523779666173001,0.611386105500202,0.261876952365898,0.5626560303551286,0.23382867292323795,0.3843194453287898,0.31947332067785705,0.5917697855609639,0.45724053728644865,-1.7700145244598389,0.8750321865081787,0.2733415365219116,-1.5521751398084038,0.39,1.92
1740403708.087365,ble-pd-B43A31EF7B26,3437,27,-71.0,-57.0,-73.0,-69.0,-54.0,-54.0,-57.0,1.8081116767962935,1.922235053725023,1.15522655028679,1.236830067144562,0.867436535271119,1.671905307809512,0.6859986729999404,0.1711312528943179,0.5796264917694404,0.25118231328414187,0.22330555806043972,0.3840834318604684,0.47894827759717895,0.3173518618595028,-1.78371787071228,0.7289685010910034,0.22189460694789886,-1.970829013922058,0.39,1.92
1740403709.08422,ble-pd-B43A31EF7B26,3438,10,-73.0,,-72.0,-65.0,-53.0,-53.0,-60.0,1.756874055319823,,1.114660747930485,1.4014091614537147,0.9302392104542568,1.9588442943538356,0.36131412587330036,0.23666940027899822,,0.19427388974051113,0.2548608211845706,0.24844300332494199,0.6387591929412652,0.5969249169978875,-1.82569694519043,0.674815058708191,0.2928631603717804,-2.380137052187454,0.39,1.92
1740403710.084437,ble-pd-B43A31EF7B26,3439,35,,,-81.0,-70.0,-49.0,-52.0,-49.0,,,1.1740098254551188,1.2945239900517116,0.9688761268289031,2.1979080686822488,0.6398030916911362,,,0.15594607480625425,0.2882166808112177,0.1925518041013809,0.4436018497751216,0.3579622909539977,-1.8619771003723145,0.5967671871185303,0.2689964473247528,-2.7373693170724738,0.39,1.92
1740403711.083404,ble-pd-B43A31EF7B26,3440,32,,,-77.0,-69.0,-50.0,-57.0,-46.0,,,1.1936746069442639,1.3494796507260416,0.9669256373124194,2.1958215908100467,0.10640058721908548,,,0.19336097476358877,0.3093674396095997,0.2932192398899506,0.2897425114947451,0.608203214878493,-1.905011773109436,0.574431538581848,0.31902897357940674,-3.094155138504617,0.39,1.92
1740403712.084301,ble-pd-B43A31EF7B26,3441,30,,,-72.0,-68.0,-47.0,-59.0,-48.0,,,1.172130698989959,1.3061854398329507,0.9352994119318998,2.207506362703296,-0.04161420535287941,,,0.21771048963677864,0.41736684432217847,0.393905294073701,0.6164485823472432,0.5755631023373488,-1.975614070892334,0.6016360521316528,0.27273765206336975,-3.4516302686280023,0.39,1.92
1740403713.08491,ble-pd-B43A31EF7B26,3442,36,,,-81.0,-69.0,-53.0,-56.0,-53.0,,,1.277098128090996,1.3018849673046906,0.9960421674403162,1.5058388790007633,-0.02278202672350393,,,0.16202191038570193,0.6618073819515415,0.4834281148137402,0.7482224173258524,0.6980039086466245,-2.0499846935272217,0.6248249411582947,-0.06876129657030106,-3.837316896015411,0.39,1.92
1740403714.086338,ble-pd-B43A31EF7B26,3443,28,,-67.0,-71.0,-87.0,-53.0,-54.0,-44.0,,3.0150664028323466,1.1880691854818652,1.3186271958135827,0.9925976476940718,1.0308113931941447,0.3228242387149019,,0.30531091263719107,0.19624263157635222,0.7248637128716202,0.3056441271188111,0.549711265516839,0.5179342406144124,-2.139767646789551,0.5934409499168396,-0.2618742883205414,-4.2326288655724245,0.39,1.92
1740403715.085157,ble-pd-B43A31EF7B26,3444,35,-87.0,-67.0,-81.0,-72.0,-55.0,-63.0,-51.0,1.9191292752617728,-3.131734163866538,1.20010480939626,1.4494270211722795,0.9267714677745534,1.7615439733438052,0.5791047200814283,0.28479375315165245,0.2226823783653612,0.211737901483842,0.606198447861815,0.237987746074285,0.5282042826820337,0.41870132055401266,-2.2426750659942627,0.580483078956604,-0.21279655396938324,-4.626910936895542,0.39,1.92
