CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1741367283.001394,ble-pd-B43A31EF7B26,1369,26,-71.0,-67.0,-76.0,,-54.0,-56.0,-56.0,1.5627024476099278,1.8241321886497741,1.0021781445493532,,0.7391677630941388,1.4356389753709384,-0.04623749463474649,0.4104729189453721,0.7176251744497576,0.11912778951212472,,0.30397718539726354,0.7049317573937501,0.7150555690602873,-1.1624341011047363,0.643995702266693,0.19510744512081146,,,
1741367283.143803,ble-pd-B43A31EB2289,1166,11,-80.0,-81.0,-84.0,-75.0,-57.0,-67.0,-53.0,1.4365330604385518,1.701548481570081,1.0455381355213693,0.9464299271346156,0.719880986583779,1.61960154794518,0.3784316255330486,0.11810328808552804,1.3115525083777873,0.6679646103918048,0.436655620754918,0.36585666636226044,0.609160584351411,0.4924194714453553,-1.1700547933578491,0.319127082824707,-0.4703518748283386,,,
1741367283.460598,ble-pd-B43A31EB228D,1214,17,,-65.0,-88.0,-82.0,-70.0,-77.0,-51.0,,2.431295632932579,0.9359133703060016,1.1569453544543271,1.2620561752732478,2.0345343622546213,0.4292432197050814,,1.0101595051782661,0.298226038610226,0.4934003264705361,0.6956295311368607,0.8115684448166661,0.5334004470460216,-1.942190170288086,1.2009141445159912,-0.49056175351142883,,,
1741367283.638831,ble-pd-B43A31EF7527,1324,2,-77.0,-61.0,-80.0,-83.0,-63.0,-75.0,-63.0,1.241161698657576,1.0086245922839991,0.8886848715345365,0.6126141360858703,0.6936120520324123,1.4011517803103513,0.1107059214435374,0.1563323829671271,0.4796339807427258,0.48515141802061107,0.3566779637426394,0.2728899315175513,0.47921342923768473,0.3297269061956788,-0.5337305665016174,0.6589844822883606,-0.3075045943260193,,,
1741367284.004496,ble-pd-B43A31EF7B26,1370,36,-74.0,-58.0,-80.0,-70.0,-57.0,,,1.5139490227982833,1.867252495123683,1.022168896955924,1.183369505106202,0.8481783976768161,,,0.39983339065342377,0.8798192082656626,0.13863149968959046,0.24753826003031598,0.22390307019966338,,,,,,,,
1741367284.146487,ble-pd-B43A31EB2289,1167,31,-91.0,-70.0,-85.0,-81.0,-57.0,-61.0,-66.0,1.2726011142742883,1.6740630612238092,1.1080308083967327,0.9470717489573246,0.7848272706573695,1.843982589890152,0.21202035597786048,0.12947918874126166,1.368738433307004,0.37362851802780295,0.5038102236974923,0.2651911351080645,0.32160928142293294,0.6002666407385375,-1.1543335914611816,0.33995184302330017,-0.5448374152183533,,,
1741367284.468828,ble-pd-B43A31EB228D,1215,35,,-71.0,-93.0,,-75.0,-69.0,-58.0,,2.464890344819493,0.9797687092407725,,1.2213839888042288,1.9236555688128953,0.531780905641935,,1.0875122840411355,0.2856157378221054,,0.6787014800165234,0.8162050261921748,0.5266027431373291,-1.9773956537246704,1.3064900636672974,-0.4852582514286041,,,
1741367284.643531,ble-pd-B43A31EF7527,1325,36,-87.0,-65.0,-83.0,-84.0,-77.0,-69.0,-71.0,1.229067751515308,1.0599058896023468,0.8544760347002506,0.6536435947879582,1.5035348993501862,1.3147258804658324,-0.4357278497029824,0.17320389130218572,0.6346590512202466,0.4702755993826736,0.2728587301474351,0.7655951652295407,0.23988112342983015,0.27037708656106885,-0.4838789403438568,0.6469935178756714,-0.27219274640083313,,,
1741367285.003807,ble-pd-B43A31EF7B26,1371,24,-75.0,-63.0,-72.0,-75.0,-55.0,-55.0,-62.0,1.4380958033662103,1.868859979157655,1.034740881513861,1.1690664658397139,0.7784742822842502,1.3383190828823857,0.2038833881942141,0.2799290899464592,0.7822706135922864,0.1449065896528465,0.27133318825125363,0.24041475667081386,0.6457806631226564,0.687845203489249,-1.1576132774353027,0.5882776975631714,0.18839403986930847,,,
1741367285.144687,ble-pd-B43A31EB2289,1168,28,,-78.0,-82.0,-84.0,-62.0,-58.0,-56.0,,1.754990135164701,1.1544041661421736,1.0653752235330425,0.7755547194754182,1.7921929563151313,0.5121608769018582,,1.3561805635028443,0.32130166366549007,0.44362018647963875,0.22797021589471564,0.4978469930698753,0.38607543237939235,-1.1679840087890625,0.368660569190979,-0.4701962172985077,,,
