CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740404137.094364,ble-pd-B43A31EF7B26,3866,18,,-72.0,-68,-80.0,-62.0,-55.0,-66.0,,-1.3861388620793094,0.37185185668558385,-0.7267870478108754,-0.21869114445192617,-2.144358646708766,-0.18501440068637268,,0.08644399523131595,0.21078448981359363,0.18018791474762083,0.4959896755282758,0.4544733413015112,0.8466784372824282,-1.041069746017456,5.907887935638428,1.3906986713409424,-1.4883222863062886,6.84,1.92
1740404138.094906,ble-pd-B43A31EF7B26,3867,4,,-69.0,-70,-71.0,-56.0,-63.0,-59.0,,-1.4021295465285815,0.3468740688217307,-0.7573055423226385,-0.4446054760520396,-1.996443750906796,-0.6038190422632088,,0.10657746810517976,0.20378164114820302,0.2304728402783859,0.513619092408493,0.6602912814919512,0.6887120975930968,-0.9756943583488464,5.812119483947754,1.4017088413238525,-1.8916556431546558,6.84,1.92
1740404139.094602,ble-pd-B43A31EF7B26,3868,3,,-75.0,-70,,-51.0,-53.0,-53.0,,-1.22663788333672,0.3840725702957395,,-0.43822297052502096,-2.2358786432519135,0.3029745812046376,,0.14178917650458378,0.1366137390449351,,0.5650756812945251,0.5221929494500035,0.5207012548575866,-0.905746877193451,5.742992401123047,1.3891162872314453,-2.2946479648241964,6.84,1.92
1740404140.095417,ble-pd-B43A31EF7B26,3869,25,,-75.0,-72,,-53.0,-53.0,-55.0,,-1.494178247497753,0.3625981708458855,,-0.603621832164757,-2.2536748018201487,-1.1988486529394744,,0.07617422188958992,0.11983852062803961,,0.3665541296384373,0.5629227755153587,1.2892767438364723,-0.8587467670440674,5.6876444816589355,1.4050418138504028,-2.6971989372214753,6.84,1.92
1740404141.09733,ble-pd-B43A31EF7B26,3870,7,,-75.0,-67,,,-52.0,-72.0,,-1.6115164593363716,0.38114708783828743,,,-1.5062565635466707,-0.8918872176703523,,0.06195954547583234,0.10015905014100704,,,0.8884272988599432,0.8476017075884351,-0.8321509957313538,5.648133754730225,1.4274946451187134,-3.100078853904143,6.84,1.92
1740404142.096682,ble-pd-B43A31EF7B26,3871,22,,-87.0,-77,,-52.0,-52.0,-54.0,,-1.7022542192589518,0.4548439457357232,,-0.6936120520324123,-2.0961923550652974,-0.9034087744592256,,0.06774718541344138,0.1232962524741008,,0.2728899315175513,0.756223445352207,0.6699680552973989,-0.8190953135490417,5.66138219833374,1.471454381942749,-3.5019289651380094,6.84,1.92
1740404143.095162,ble-pd-B43A31EF7B26,3872,24,,-75.0,-70,,-53.0,-57.0,-67.0,,-1.7292936932806897,0.4637820469862471,,-0.7872775544194178,-1.2595470419192554,-1.8081577367022716,,0.07838079233315347,0.17200503604797293,,0.3869382422839162,1.2401925738368766,0.7561183299277587,,,,-3.9139902585367117,6.84,1.92
1740404144.097663,ble-pd-B43A31EF7B26,3873,2,-71.0,-76.0,-63,-69.0,-55.0,-49.0,-56.0,2.8780749942553245,-1.7936444536486016,0.5016948082646151,-1.2472065416998375,-0.9779825865646252,-2.9983449613510595,-1.8840551817329958,0.29285098058211906,0.1070888532911238,0.21639889944467142,0.44552661034597196,0.22200743321447478,1.0602735435962802,0.30889501491404703,-0.8477697372436523,5.68400764465332,1.4795712232589722,-4.328821834670989,6.84,1.92
1740404145.095538,ble-pd-B43A31EF7B26,3874,26,-67.0,-80.0,-68,-80.0,,,-57.0,2.9668647849985663,-1.8212951231405128,0.5595021818342021,-1.2754525608534364,,,-1.486898326163983,0.36385591524970273,0.09743475285915368,0.2579536833165341,0.4620634758453053,,,0.30310751305075334,-0.9229883551597595,5.706223487854004,1.5096286535263062,-4.741694687967897,6.84,1.92
1740404146.094285,ble-pd-B43A31EF7B26,3875,8,-64.0,-75.0,-78,-75.0,,-55.0,-66.0,3.017529294208452,-1.9377952381840835,0.570758032181422,-1.3307799988159412,,-2.671554121357707,-1.873621681658171,0.3348071194750135,0.1358891594913518,0.244095375307332,0.4353383879902512,,0.869085520078125,0.47678324366562624,-0.99488765001297,5.73070240020752,1.509903073310852,-5.144494431869168,6.84,1.92
1740404147.094916,ble-pd-B43A31EF7B26,3876,17,-74.0,-86.0,-61,-73.0,-52.0,-55.0,-64.0,2.9475147891502687,-1.8179672370423499,0.6029668350370584,-1.3841480160064203,-1.2180917712979444,-2.6098117478305514,-1.7918348359186993,0.3523526905267281,0.06826009775582303,0.35310669801035677,0.4193268643054495,0.2917172520130988,0.5266027432239677,0.43949856032277873,-1.100182056427002,5.783673286437988,1.5663354396820068,-5.54805440585599,6.84,1.92
1740404148.094867,ble-pd-B43A31EF7B26,3877,10,-75.0,-81.0,-61,-75.0,-51.0,-66.0,-58.0,2.98283629468799,-1.892634151366847,0.6254915852208395,-1.3733674067557256,-1.4585022820872808,-1.334411923858093,-1.7413601699124899,0.3821916794863574,0.058431801621426485,0.3870302104233542,0.38728773810076494,0.5661239396771656,0.9761472467459111,0.5344770481406186,-1.2553939819335938,5.83009958267212,1.5960288047790527,-5.951536473008388,6.84,1.92
1740404149.09401,ble-pd-B43A31EF7B26,3878,23,-69.0,-71.0,-62,-87.0,-51.0,-63.0,-55.0,3.089150218036171,-1.9368199885928965,0.5732246519830534,-1.3793214360048156,-1.6824234102929152,-2.1628769260500476,-1.5481362078285195,0.36378191266091214,0.0760840239524203,0.4180292390643085,0.4386416731378446,0.814448555363683,0.7099151806285355,0.575563102390499,-1.4486521482467651,5.878057479858398,1.610801339149475,-6.361516831802341,6.84,1.92
1740404150.095019,ble-pd-B43A31EF7B26,3879,25,-69.0,-76.0,-61,-79.0,-60.0,-56.0,-60.0,3.131360256049491,-2.000967150295472,0.7930361094037955,-1.4219537182089674,-1.777568466487565,-2.3916742655761936,-1.823037570658615,0.3860080226179546,0.06989038510662866,0.4699529574166106,0.4220973174979453,0.7268496725069593,0.48864078617971124,0.6010650010945855,-1.6486891508102417,5.914268493652344,1.6317248344421387,-6.772262459035228,6.84,1.92
