CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1743690944.381841,ble-pd-B43A31EF7527,6483,2,,-79.0,-64.0,-87.0,,-63.0,-70.0,,-3.066274729536826,-1.2397800506840426,-0.07825033072925322,,-1.2545287874630808,-0.7730600576769111,,0.81385537122549,1.2021328065663557,0.5571778081242946,,0.44665074678408434,0.34971596559796014,-1.8679144382476807,4.881097316741943,-0.7965230345726013,-1.1834959208946028,6.84,1.81
1743690944.533232,ble-pd-B43A31EB2289,6508,27,,-80.0,-65.0,-90.0,,,-71.0,,-2.465498078180249,-1.488205576121032,0.30281446543135077,,,-0.7377381355198545,,1.1485856917925683,0.3344379720584149,0.8222040483477522,,,0.46295199318252706,,,,-1.228716229923396,6.84,1.81
1743690944.865828,ble-pd-B43A31EB228D,6501,26,,,-67.0,-92.0,,-53.0,-67.0,,,-1.3782270099548475,0.0409868481246465,,-1.5895095565563067,-1.0320086848762693,,,0.4879903144531219,0.9283116432904794,,0.8201414357898904,0.21444730396201558,-1.9078006744384766,4.069902420043945,1.8304210901260376,-1.328062552505647,6.84,1.81
1743690945.163699,ble-pd-B43A31EF7B26,6451,36,-71.0,,-62.0,-74.0,,,,2.034017512055573,,-1.9829375497156352,0.06031633763255062,,,,1.4819933534042589,,1.3077347337971044,0.887777399393092,,,,-1.0223429203033447,6.467315196990967,0.7301928400993347,-1.4170359620901447,6.84,1.81
1743690945.380116,ble-pd-B43A31EF7527,6484,5,,,-68.0,-83.0,-64.0,-65.0,-78.0,,,-1.3806261186228457,-0.059209527883513684,-0.40751393103001665,-1.7910950925898894,-0.7990244012855146,,,1.000111065490261,0.6868407633031501,1.2119905600223828,0.5175152042366462,0.49889877147045214,-1.895043134689331,4.938965320587158,-0.709945797920227,-1.4816794588573525,6.84,1.81
1743690945.532553,ble-pd-B43A31EB2289,6509,16,-87.0,,-74.0,-85.0,-64.0,-69.0,-71.0,-3.1320667926866887,,-1.591445146306826,0.342143762093532,-0.6416467345224848,-2.346759198646239,-0.8824498481062623,1.4297790175980019,,0.3627163819087714,0.7414675235828555,0.7097457277780238,0.8814065245026939,0.2756369895247414,-1.9030836820602417,6.331357955932617,-2.631235361099243,-1.5272122068240228,6.84,1.81
1743690945.866396,ble-pd-B43A31EB228D,6502,35,,,-85.0,-81.0,-60.0,,-65.0,,,-1.3914673147883398,0.02838157405308345,-0.5740345525470175,,-0.9035132976061561,,,0.5591780751295394,0.7239585044171023,0.46728325147046096,,0.28094375518883785,-2.1037957668304443,3.909125804901123,1.731186866760254,-1.6269307081028268,6.84,1.81
1743690945.86907,ble-pd-B43A31EF7527,6502,35,-91.0,,-84.0,,,,,2.2601332044087505,,-2.6508056205179247,,,,,1.3361657094884085,,0.46319455364977563,,,,,,,,-1.627729727375122,6.84,1.81
1743690946.162964,ble-pd-B43A31EF7B26,6452,8,-75.0,,-51.0,-78.0,-55.0,,,2.004978936161567,,-2.050252142060696,0.05765983444519658,-0.3818821011953026,,,1.5097332387926878,,1.2414112368517163,0.741634636941258,0.40838892614074207,,,-1.0199943780899048,6.49059534072876,0.7922719717025757,-1.7155155105571354,6.84,1.81
1743690946.38622,ble-pd-B43A31EF7527,6485,10,,,-68.0,,,,-76.0,,,-1.4592471613758375,,,,-0.848446834399372,,,1.0910289216815579,,,,0.506498067113555,-1.9213883876800537,4.977818489074707,-0.8371882438659668,-1.7822015096734847,6.84,1.81
