tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-75,0,163,CAEQ6rv/9M+Llf0JGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851243.488035,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,163,CAEQ6rv/9M+Llf0JGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851243.48917,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-83,0,152,CAEQ6rv/9M+Llf0JGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851243.489331,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-59,0,163,CAEQ6rv/9M+Llf0JGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851243.489472,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ6rv/9M+Llf0JGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851243.49935,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ6rv/9M+Llf0JGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851243.504862,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ6rv/9M+Llf0JGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851243.507728,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-73,0,153,CAEQjazm35PAksPAARgBIAEqBwgBFQAAkD0qAggCKgcIAxUAAG4/,1738851244.489105,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-56,0,164,CAEQjazm35PAksPAARgBIAEqBwgBFQAAkD0qAggCKgcIAxUAAG4/,1738851244.489328,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-67,0,164,CAEQjazm35PAksPAARgBIAEqBwgBFQAAkD0qAggCKgcIAxUAAG4/,1738851244.489817,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-66,0,164,CAEQjazm35PAksPAARgBIAEqBwgBFQAAkD0qAggCKgcIAxUAAG4/,1738851244.490473,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQjazm35PAksPAARgBIAEqBwgBFQAAkD0qAggCKgcIAxUAAG4/,1738851244.505299,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQjazm35PAksPAARgBIAEqBwgBFQAAkD0qAggCKgcIAxUAAG4/,1738851244.509534,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQjazm35PAksPAARgBIAEqBwgBFQAAkD0qAggCKgcIAxUAAG4/,1738851244.510284,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-67,0,165,CAEQuJTt5qTgxJxnGAEgASoHCAEVAADoPioCCAIqBwgDFQAADD8=,1738851245.488837,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-81,0,154,CAEQuJTt5qTgxJxnGAEgASoHCAEVAADoPioCCAIqBwgDFQAADD8=,1738851245.489012,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,165,CAEQuJTt5qTgxJxnGAEgASoHCAEVAADoPioCCAIqBwgDFQAADD8=,1738851245.489325,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-58,0,165,CAEQuJTt5qTgxJxnGAEgASoHCAEVAADoPioCCAIqBwgDFQAADD8=,1738851245.490219,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQuJTt5qTgxJxnGAEgASoHCAEVAADoPioCCAIqBwgDFQAADD8=,1738851245.502926,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQuJTt5qTgxJxnGAEgASoHCAEVAADoPioCCAIqBwgDFQAADD8=,1738851245.505058,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQuJTt5qTgxJxnGAEgASoHCAEVAADoPioCCAIqBwgDFQAADD8=,1738851245.507748,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-58,0,166,CAEQpdy16vuV7uJsGAEgASoHCAEVAAB/PyoCCAIqAggD,1738851246.488423,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
