tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-77,0,223,CAEQ2f+o8rOMo5GOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167557.238566,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-63,0,178,CAEQ2f+o8rOMo5GOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167557.240085,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-70,0,6,CAEQ2f+o8rOMo5GOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167557.240375,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-68,0,140,CAEQ2f+o8rOMo5GOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167557.24055,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ2f+o8rOMo5GOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167557.251007,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ2f+o8rOMo5GOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167557.251881,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2f+o8rOMo5GOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167557.252966,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-76,0,224,CAEQpMH15ZvYiteRARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167558.238299,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,7,CAEQpMH15ZvYiteRARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167558.238495,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-68,0,141,CAEQpMH15ZvYiteRARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167558.238616,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-64,0,179,CAEQpMH15ZvYiteRARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167558.23948,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQpMH15ZvYiteRARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167558.254999,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQpMH15ZvYiteRARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167558.256891,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQpMH15ZvYiteRARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167558.258114,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,225,CAEQ4rvJrPC2o9nFARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167559.238222,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,180,CAEQ4rvJrPC2o9nFARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167559.238374,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-85,0,142,CAEQ4rvJrPC2o9nFARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167559.238657,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-87,0,8,CAEQ4rvJrPC2o9nFARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167559.239303,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ4rvJrPC2o9nFARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167559.248971,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ4rvJrPC2o9nFARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167559.250003,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ4rvJrPC2o9nFARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167559.251799,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-59,0,143,CAEQmoG/5NCIi7NZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167560.238735,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-61,0,181,CAEQmoG/5NCIi7NZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167560.239411,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,9,CAEQmoG/5NCIi7NZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167560.23992,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
