tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-69,0,115,CAEQqLicoNyF3JdoGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738242545.131142,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-74,0,113,CAEQqLicoNyF3JdoGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738242545.132221,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-57,0,116,CAEQqLicoNyF3JdoGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738242545.132376,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-65,0,117,CAEQqLicoNyF3JdoGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738242545.133171,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQqLicoNyF3JdoGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738242545.148015,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQqLicoNyF3JdoGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738242545.152738,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQqLicoNyF3JdoGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1738242545.15479,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-77,0,114,CAEQlomnzJuFx/JcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242546.130396,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,116,CAEQlomnzJuFx/JcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242546.130572,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-64,0,118,CAEQlomnzJuFx/JcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242546.130922,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-54,0,117,CAEQlomnzJuFx/JcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242546.132449,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
