tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-83,0,82,CAEQo9ezpNTKvLtAGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242889.139675,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-62,0,86,CAEQo9ezpNTKvLtAGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242889.143058,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-53,0,86,CAEQo9ezpNTKvLtAGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242889.148065,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,84,CAEQo9ezpNTKvLtAGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242889.169523,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQo9ezpNTKvLtAGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242889.169735,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQo9ezpNTKvLtAGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242889.169928,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQo9ezpNTKvLtAGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242889.198126,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-74,0,83,CAEQhtms4Ln35N+CARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1738242890.13905,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-65,0,87,CAEQhtms4Ln35N+CARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1738242890.139264,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-71,0,85,CAEQhtms4Ln35N+CARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1738242890.140943,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-57,0,87,CAEQhtms4Ln35N+CARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1738242890.141513,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQhtms4Ln35N+CARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1738242890.15456,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQhtms4Ln35N+CARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1738242890.154976,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQhtms4Ln35N+CARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1738242890.159171,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-72,0,84,CAEQk6+e957Wn6/bARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738242891.138909,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-63,0,88,CAEQk6+e957Wn6/bARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738242891.139891,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-71,0,86,CAEQk6+e957Wn6/bARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738242891.14037,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-57,0,88,CAEQk6+e957Wn6/bARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738242891.141554,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQk6+e957Wn6/bARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738242891.151034,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQk6+e957Wn6/bARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738242891.152093,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQk6+e957Wn6/bARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738242891.157001,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-53,0,89,CAEQrsTH5c7v7eYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242892.138601,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-67,0,89,CAEQrsTH5c7v7eYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1738242892.14151,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
