tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-54,0,41,CAEQ0eX81vSHz5HwARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1738168652.50946,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,72,CAEQ0eX81vSHz5HwARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1738168652.511722,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,137,CAEQ0eX81vSHz5HwARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1738168652.512628,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-75,0,113,CAEQ0eX81vSHz5HwARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1738168652.545338,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ0eX81vSHz5HwARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1738168652.546128,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0eX81vSHz5HwARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1738168652.548606,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ0eX81vSHz5HwARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1738168652.548849,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-69,0,138,CAEQt629v76IqdNHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738168653.511873,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-60,0,42,CAEQt629v76IqdNHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738168653.512053,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,73,CAEQt629v76IqdNHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738168653.512346,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,114,CAEQt629v76IqdNHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738168653.512848,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQt629v76IqdNHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738168653.52427,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQt629v76IqdNHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738168653.52456,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQt629v76IqdNHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738168653.529055,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-59,0,43,CAEQ2qWMpP6omtPPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168654.513045,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-77,0,139,CAEQ2qWMpP6omtPPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168654.51423,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-70,0,74,CAEQ2qWMpP6omtPPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168654.515564,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ2qWMpP6omtPPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168654.526532,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2qWMpP6omtPPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168654.527891,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-72,0,115,CAEQtqyi9Ob617OeARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168655.511774,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-71,0,140,CAEQtqyi9Ob617OeARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168655.512758,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-57,0,44,CAEQtqyi9Ob617OeARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168655.51431,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,75,CAEQtqyi9Ob617OeARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168655.515132,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQtqyi9Ob617OeARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168655.525127,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQtqyi9Ob617OeARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168655.52583,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQtqyi9Ob617OeARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738168655.526893,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
