tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
0,-200,0,0,CAEQ5OKjp7PUhus7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738939590.028885,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ5OKjp7PUhus7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738939590.030918,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ5OKjp7PUhus7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738939590.035181,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,205,CAEQk9WtmK3JyNUlGAUgASoHCAEVAAB/PyoCCAIqAggD,1738939590.478556,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-58,0,176,CAEQk9WtmK3JyNUlGAUgASoHCAEVAAB/PyoCCAIqAggD,1738939590.478743,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-73,0,188,CAEQk9WtmK3JyNUlGAUgASoHCAEVAAB/PyoCCAIqAggD,1738939590.47924,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-79,0,63,CAEQk9WtmK3JyNUlGAUgASoHCAEVAAB/PyoCCAIqAggD,1738939590.481252,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQk9WtmK3JyNUlGAUgASoHCAEVAAB/PyoCCAIqAggD,1738939590.497735,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQk9WtmK3JyNUlGAUgASoHCAEVAAB/PyoCCAIqAggD,1738939590.499488,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQk9WtmK3JyNUlGAUgASoHCAEVAAB/PyoCCAIqAggD,1738939590.500957,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-71,0,189,CAEQspfnv5iZ4LvBARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1738939590.672895,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-68,0,206,CAEQspfnv5iZ4LvBARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1738939590.676258,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-54,0,177,CAEQi7CYiq6n8KzmARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1738939590.686291,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-76,0,64,CAEQi7CYiq6n8KzmARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1738939590.686645,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQspfnv5iZ4LvBARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1738939590.69386,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
127,-77,0,190,CAEQi7CYiq6n8KzmARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1738939590.70146,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
