tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-75,0,112,CAEQ+MCB5/jd/5AwGAIgASoHCAEVAAB/PyoCCAIqAggD,1739975324.885788,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-73,0,248,CAEQ+MCB5/jd/5AwGAIgASoHCAEVAAB/PyoCCAIqAggD,1739975324.887371,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-89,0,28,CAEQ+MCB5/jd/5AwGAIgASoHCAEVAAB/PyoCCAIqAggD,1739975324.887656,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-78,0,63,CAEQ+MCB5/jd/5AwGAIgASoHCAEVAAB/PyoCCAIqAggD,1739975324.887801,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ+MCB5/jd/5AwGAIgASoHCAEVAAB/PyoCCAIqAggD,1739975324.887937,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ+MCB5/jd/5AwGAIgASoHCAEVAAB/PyoCCAIqAggD,1739975324.894375,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ+MCB5/jd/5AwGAIgASoHCAEVAAB/PyoCCAIqAggD,1739975324.896392,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-95,0,29,CAEQ/NvS/OvK8O+lARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975324.908375,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ/NvS/OvK8O+lARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975324.909662,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-72,0,64,CAEQ/NvS/OvK8O+lARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975324.911211,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ/NvS/OvK8O+lARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975324.911694,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ/NvS/OvK8O+lARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975324.914968,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-71,0,249,CAEQ/NvS/OvK8O+lARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975324.915844,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-78,0,113,CAEQ/NvS/OvK8O+lARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975324.917435,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-74,0,30,CAEQnNSbmqO3nvUSGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975325.277889,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-78,0,114,CAEQnNSbmqO3nvUSGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975325.278489,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-86,0,250,CAEQnNSbmqO3nvUSGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975325.278631,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-73,0,65,CAEQnNSbmqO3nvUSGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975325.279172,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
0,-200,0,0,CAEQnNSbmqO3nvUSGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975325.296162,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQnNSbmqO3nvUSGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975325.298661,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQnNSbmqO3nvUSGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975325.3,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-69,0,115,CAEQoqukzp/o1u7KARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.874242,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-78,0,66,CAEQoqukzp/o1u7KARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.874481,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-69,0,251,CAEQoqukzp/o1u7KARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.87461,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-70,0,31,CAEQoqukzp/o1u7KARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.874713,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQoqukzp/o1u7KARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.894871,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQoqukzp/o1u7KARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.895926,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQoqukzp/o1u7KARgCIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.896962,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-75,0,116,CAEQ6oD9z8jL14H8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.902339,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ6oD9z8jL14H8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.910672,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-74,0,252,CAEQ6oD9z8jL14H8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.911442,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ6oD9z8jL14H8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.911622,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ6oD9z8jL14H8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.911863,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-89,0,32,CAEQ6oD9z8jL14H8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.913071,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-74,0,67,CAEQ6oD9z8jL14H8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739975325.91684,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-81,0,68,CAEQu7XL1Iir/54eGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975326.276973,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-82,0,117,CAEQu7XL1Iir/54eGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975326.277288,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-71,0,33,CAEQu7XL1Iir/54eGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975326.278424,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-73,0,253,CAEQu7XL1Iir/54eGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975326.279374,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQu7XL1Iir/54eGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975326.296329,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQu7XL1Iir/54eGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975326.297647,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQu7XL1Iir/54eGAMgASoHCAEVAAB/PyoCCAIqAggD,1739975326.298139,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
127,-73,0,254,CAEQg/i64rHP4p03GAIgASoHCAEVAAB/PyoCCAIqAggD,1739975326.874411,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
