CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1738166350.925127,ble-pd-B43A31EF7B45,95,6,-68.0,-72.0,-63.0,-61,,-56.0,-57.0,2.6614880922824504,-2.4352168713216122,1.291942854323207,-2.9155155770724215,,-2.8842501881468645,-1.5707963266769789,0.3163464196937205,0.1445860615708986,0.5730169254180272,0.3608571958622735,,0.9088590645640113,0.5585053606381855,-4.80769920349121,4.920718669891357,1.1984134912490845,-5.76,4.64,1.65
1738166351.925599,ble-pd-B43A31EF7B45,96,9,,,-62.0,-60,,,,,,1.2733867467958617,-2.86847136904839,,,,,,0.5822764036330965,0.40777237373149083,,,,,,,-5.76,4.64,1.65
1738166352.925706,ble-pd-B43A31EF7B45,97,31,-73.0,-72.0,-72.0,-61,,-48.0,-54.0,2.8134784241187987,-2.4368467259087407,1.3680983425390036,-2.918956381200804,,-2.6098117478305514,-1.4356389753709384,0.2817139405090303,0.12889869452503006,0.5486239677295555,0.39661788995326214,,0.5266027432239677,0.7049317573937501,-4.900601387023926,4.944929122924805,1.2015784978866577,-5.76,4.64,1.65
1738166353.924685,ble-pd-B43A31EF7B45,98,21,-72.0,-74.0,-62.0,-59,,-58.0,-54.0,2.809365970763498,-2.427113404756719,1.287304692968725,-2.9160870914423525,,-1.2551317677617737,-1.7688437077738648,0.2907255782951541,0.10044821950111921,0.5876118471399885,0.4014148422877401,,1.0542572339089407,0.5444906957091403,-4.9814910888671875,4.96367073059082,1.2150627374649048,-5.76,4.64,1.65
1738166354.92537,ble-pd-B43A31EF7B45,99,27,-75.0,-72.0,-66.0,-62,,,,2.801790875358877,-2.4280676153752943,1.285773375341929,-2.9544965322640206,,,,0.22829558957394847,0.17313015502950416,0.5275376574295533,0.3638675332899582,,,,,,,-5.76,4.64,1.65
1738166355.925266,ble-pd-B43A31EF7B45,100,4,-70.0,-74.0,-64.0,-61,,,,2.7612096266682493,-2.3794633275846944,1.2280786534864523,-2.9147043782043833,,,,0.28657407634037046,0.15497432061399796,0.5366244962269582,0.28196977042124605,,,,,,,-5.76,4.64,1.65
1738166356.926115,ble-pd-B43A31EF7B45,101,26,-75.0,-73.0,-67.0,-62,-44.0,-57.0,-65.0,2.793356644186596,-2.3934430590948472,1.2361016925864254,-2.9172202664861815,-1.293866145700474,-0.9002835849548361,-1.358206765337593,0.23355286930284663,0.12407828972820256,0.5142576382063051,0.3552337980625167,1.4437583233175886,0.8021911936622902,0.3637056188894717,-5.039092540740967,4.97663450241089,1.241127848625183,-5.76,4.64,1.65
1738166357.92616,ble-pd-B43A31EF7B45,102,33,-73.0,-71.0,-77.0,-62,,-48.0,-55.0,2.824588066922173,-2.4174445321030773,1.2509006124478865,-2.912173309904372,,-2.004079378902633,-1.262485780414553,0.23375593533596517,0.11739660996789711,0.5843626574520373,0.4011040846780415,,0.8046055484474056,0.5769016325664218,-5.052778244018555,4.957826614379883,1.2602649927139282,-5.76,4.64,1.65
1738166358.925425,ble-pd-B43A31EF7B45,103,12,-70.0,-74.0,-64.0,-60,,-52.0,-53.0,2.7720268543839333,-2.4051905289792956,1.2104261565169714,-2.895677157480203,,-1.0699925226535734,-1.0472683363842246,0.2913058810966824,0.10707081037473853,0.5938313935497596,0.3638670006577402,,0.9221537153541852,0.39720150931514436,-5.07446575164795,4.955491065979004,1.261321783065796,-5.76,4.64,1.65
1738166359.926115,ble-pd-B43A31EF7B45,104,27,-77.0,-73.0,-66.0,-62,,-54.0,-63.0,2.79611780960479,-2.4073325094440463,1.2887678336716142,-2.938403848744999,,-0.9201899557843419,-1.193764027900063,0.22601389302050945,0.09271869404278686,0.4832016179180231,0.34863991107202136,,0.7131295555070718,0.2897425114675093,-5.09485387802124,4.947936058044434,1.289691686630249,-5.76,4.64,1.65
1738166360.923317,ble-pd-B43A31EF7B45,105,24,-72.0,-75.0,-64.0,-61,,-61.0,-65.0,2.808215485172584,-2.430511065675442,1.2831709343247037,-2.966307651698522,,-0.7437120575793186,-1.2731144255023583,0.18990272693006638,0.13741041536265391,0.5167449307958982,0.42388826004151003,,0.4758323705864647,0.14834837376242305,-5.097733974456787,4.940979480743408,1.3081886768341064,-5.76,4.64,1.65
1738166361.926904,ble-pd-B43A31EF7B45,106,8,-68.0,-71.0,-62.0,-60,,-56.0,-57.0,2.77117943652507,-2.4257125820233374,1.2332526428522586,-2.9312066558990595,,-1.315164493065419,-1.193499761401641,0.2029860717068123,0.111684454002435,0.5597834116453145,0.40398888734984256,,1.1187435215761765,0.1404871818591273,-5.071573734283447,4.94288682937622,1.333937644958496,-5.76,4.64,1.65
1738166362.924813,ble-pd-B43A31EF7B45,107,21,-71.0,-74.0,-62.0,-59,,-62.0,-55.0,2.7555626598928455,-2.495681280710771,1.1759877551967206,-2.960898238892353,,-0.6810863718989235,-1.4634994205834544,0.18512739613468848,0.07636120908762709,0.6301290807850489,0.44436653737513343,,0.7293283753341333,0.40569215416815757,-5.0297532081604,4.899724006652832,1.345738172531128,-5.76,4.64,1.65
1738166363.924482,ble-pd-B43A31EF7B45,108,9,-69.0,-72.0,-62.0,-60,,-56.0,-58.0,2.68547092316305,-2.4792237441224083,1.172367986643085,-2.9588976722814855,,-1.6162301119341884,-1.2249850149512898,0.14191782382999146,0.12400085831950854,0.6266858132326583,0.44824503202867033,,1.2038806210282282,0.3268060417556457,-4.9696946144104,4.8896803855896,1.3682363033294678,-5.76,4.64,1.65
1738166364.924696,ble-pd-B43A31EF7B45,109,24,-71.0,-75.0,-64.0,-61,-45.0,-62.0,-62.0,2.7506272897607107,-2.4711839271075684,1.1899983793755184,-2.957033992150648,-1.214316118629743,-0.7443305454877958,-1.296500337062928,0.2267243078860449,0.1562017882051723,0.617191444209444,0.4252544616807207,1.4217351675651864,0.7733025248265764,0.1551299571839095,-4.92680835723877,4.874775409698486,1.384814977645874,-5.76,4.64,1.65
1738166365.92523,ble-pd-B43A31EF7B45,110,33,-73.0,-71.0,-78.0,-62,,-47.0,-55.0,2.772119532389868,-2.4656568025812176,1.2700844270441634,-2.932596825988081,,-2.0204878284012797,-1.2016493015777856,0.2540166157637723,0.1448118476970669,0.7268250644354362,0.3902808981394186,,0.9008748491421993,0.4758160588543515,-4.875999450683594,4.828444004058838,1.3663634061813354,-5.76,4.64,1.65
1738166366.924833,ble-pd-B43A31EF7B45,111,21,-71.0,-74.0,-62.0,-59,-44.0,-62.0,-55.0,2.7814160951231166,-2.459277466506042,1.1879685179926602,-2.9367814510089225,-1.1678740300498092,-0.9448510119828112,-1.5808721372481558,0.22083768990204736,0.14885404353385964,0.6845389931729946,0.43431353702376146,1.4379273917944,0.833817251681929,0.5235108445882295,-4.905368328094482,4.834354400634766,1.3501216173172,-5.76,4.64,1.65
1738166367.924766,ble-pd-B43A31EF7B45,112,17,-71.0,-73.0,-65.0,-57,,-53.0,-50.0,2.7966882587102853,-2.4294945370873586,1.2299639052221196,-2.9169851093619275,,-1.770906412710852,-1.9507187811236097,0.1907410401069529,0.15228341271431145,0.6586906845278219,0.4982685183641737,,1.0174641491686671,0.5356127632024388,-4.949089527130127,4.92727279663086,1.3529499769210815,-5.76,4.64,1.65
1738166368.925286,ble-pd-B43A31EF7B45,113,27,-78.0,-73.0,-67.0,-62,,-54.0,,2.795173985314466,-2.426812201237431,1.2606467167731406,-2.971254739739453,,-1.1308210361110087,,0.18225392854227707,0.15386604612636146,0.5906475844665698,0.4666172482827455,,0.8636629197784242,,,,,-5.76,4.64,1.65
