CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1738157541.281824,ble-pd-B43A31EF7B45,769,33,,-69.0,-68.0,-71.0,-57.0,-48.0,-48.0,,2.8306835100251466,1.4186408789709635,1.4964382059987942,0.7952478332746439,2.3543150990173776,0.0797134497767421,,0.17566322070033302,0.45113642602416937,0.5648048684596861,0.5311480444262956,0.3869382423371819,0.8536362198510189,-4.144662857055664,1.1530455350875854,0.625141441822052,-3.54,0.39,1.65
1738157542.282336,ble-pd-B43A31EF7B45,770,2,,-69.0,-73.0,-63.0,-57.0,-46.0,,,2.898484395585256,1.472708375421752,1.4819953507750765,0.7599409699918951,2.3533277804323736,,,0.27008627958412174,0.27839121428547936,0.6198237126308782,0.3678778512299021,0.27751847681231684,,,,,-3.54,0.39,1.65
1738157543.279734,ble-pd-B43A31EF7B45,771,9,-73.0,-65.0,-65.0,-70.0,-55.0,-49.0,-54.0,2.0325202828907303,2.939356994099138,1.5037379305467014,1.5009416114021181,1.6335209732669396,2.3631183711609456,0.6382478039910485,0.13564550521874477,0.2960634186470272,0.28347475604276345,0.5729695211506238,0.5377637334486806,0.2404147567047194,0.8908425931182882,-4.114567279815674,1.1547542810440063,0.626485288143158,-3.54,0.39,1.65
1738157544.281433,ble-pd-B43A31EF7B45,772,9,-72.0,-65.0,-66.0,-70.0,-56.0,-49.0,,2.0327881968963926,2.9467398092730557,1.5299242609132324,1.4944925005063823,1.9025321618686593,2.368788815670728,,0.13476032872905128,0.4371916485033237,0.2876175361449771,0.5219457847992004,1.1634126285273654,0.21549103126161082,,,,,-3.54,0.39,1.65
1738157545.281589,ble-pd-B43A31EF7B45,773,36,-87.0,-72.0,-69.0,-71.0,-65.0,-49.0,-55.0,2.008405359220063,2.9152367441062905,1.5037144947291088,1.5385646207538857,1.0256257391890882,2.3614983416541273,0.4048603803771786,0.16141006577001296,0.382839326973951,0.289462041515966,0.5055781631871414,1.0110645572860972,0.4180090237563268,0.7957043240320031,-4.0990309715271,1.1509430408477783,0.590241312980652,-3.54,0.39,1.65
1738157546.281901,ble-pd-B43A31EF7B45,774,2,-75.0,-69.0,-73.0,-63.0,-56.0,-46.0,-48.0,2.0618006738117156,2.88826371595375,1.489576837766314,1.551856990386689,0.7719212588911151,2.345919117010725,0.5439323244875617,0.18121526242763253,0.42683627949968683,0.23794382272914202,0.5032435030175234,0.6053267813237165,0.3020398666518934,0.8487758067039801,-4.038637161254883,1.1487492322921753,0.4227164685726166,-3.54,0.39,1.65
1738157547.281251,ble-pd-B43A31EF7B45,775,14,-73.0,-69.0,-68.0,-70.0,-57.0,-49.0,-52.0,2.0853898894832015,2.9108499851587117,1.4549509499053217,1.498108008002274,0.9376835958573195,2.3631183711609456,1.869985927725187,0.08023793107456342,0.41143478615208146,0.2777346119187203,0.5786255426737341,0.3169075698326918,0.2404147567047194,0.8329842968489686,-4.00202465057373,1.1456208229064941,0.543683648109436,-3.54,0.39,1.65
1738157548.2829,ble-pd-B43A31EF7B45,776,33,-83.0,-68.0,-68.0,-71.0,-56.0,-51.0,-48.0,2.090941515091581,2.896540287989498,1.4684467850454073,1.5250421540028993,0.8344001807415057,2.3719842617376594,1.008446320274838,0.06534727363592728,0.35765521070464396,0.27996151393273094,0.5518363059259227,0.4832343571655546,0.39306581237008714,1.1333799228974706,-4.004283905029297,1.1494758129119873,0.5326944589614868,-3.54,0.39,1.65
1738157549.281276,ble-pd-B43A31EF7B45,777,2,-75.0,-69.0,-73.0,-63.0,-56.0,-45.0,-48.0,2.119557181004482,2.9283613345904187,1.445641603998841,1.4862036779296197,0.7862930050731217,2.3533277804323736,0.7820551301198174,0.08259214051105825,0.5326809538637961,0.28778112081493523,0.6148542540367905,0.33182947858531375,0.27751847681231684,1.0103625192291212,-4.006404876708984,1.156473159790039,-1.7374155521392822,-3.54,0.39,1.65
1738157550.2816,ble-pd-B43A31EF7B45,778,29,-81.0,-69.0,-68.0,-75.0,-53.0,-46.0,-49.0,2.1044373502316662,2.865317920001627,1.3774092863421388,1.483621476936679,0.8208811525955748,2.3634390046047336,0.1769439267835243,0.11206848183162442,0.46055792430205633,0.34735466952994914,0.5461177999857364,0.4167006953268758,0.3070671024916124,0.9349764855635595,-3.994778871536255,1.1593660116195679,-2.117526054382324,-3.54,0.39,1.65
