tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-46,0,191,CAEQxpjxvNuVosJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167149.101012,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,150,CAEQxpjxvNuVosJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167149.102236,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,103,CAEQxpjxvNuVosJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167149.102432,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-80,0,71,CAEQxpjxvNuVosJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167149.103682,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-70,0,104,CAEQkpas1MWckNF7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738167150.100744,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-44,0,192,CAEQkpas1MWckNF7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738167150.100918,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-70,0,72,CAEQkpas1MWckNF7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738167150.101043,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-67,0,151,CAEQkpas1MWckNF7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738167150.102034,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQkpas1MWckNF7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738167150.113598,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQkpas1MWckNF7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738167150.113944,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQkpas1MWckNF7GAEgASoHCAEVAAB/PyoCCAIqAggD,1738167150.117815,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-69,0,105,CAEQ5p+d1cDB9NQsGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167151.097492,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-43,0,193,CAEQ5p+d1cDB9NQsGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167151.098075,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-68,0,152,CAEQ5p+d1cDB9NQsGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167151.100565,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,73,CAEQ5p+d1cDB9NQsGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167151.101396,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
