tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-57,0,122,CAEQnryAyJ3118iOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155841.744759,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-72,0,121,CAEQnryAyJ3118iOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155841.748067,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,122,CAEQnryAyJ3118iOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155841.752555,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-70,0,121,CAEQnryAyJ3118iOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155841.753638,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQnryAyJ3118iOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155841.757186,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQnryAyJ3118iOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155841.758312,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQnryAyJ3118iOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155841.760459,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-79,0,123,CAEQjcuZzsrErpHdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155842.749674,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-71,0,122,CAEQjcuZzsrErpHdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155842.749829,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-97,0,122,CAEQjcuZzsrErpHdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155842.75043,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-66,0,123,CAEQjcuZzsrErpHdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155842.75171,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQjcuZzsrErpHdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155842.761104,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQjcuZzsrErpHdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155842.762064,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQjcuZzsrErpHdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155842.76702,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,123,CAEQs6vcgeSZlpUhGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155843.74925,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,124,CAEQs6vcgeSZlpUhGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155843.749738,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-70,0,123,CAEQs6vcgeSZlpUhGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155843.750303,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-57,0,124,CAEQs6vcgeSZlpUhGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155843.75081,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQs6vcgeSZlpUhGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155843.761278,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQs6vcgeSZlpUhGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155843.762723,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQs6vcgeSZlpUhGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155843.768412,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-80,0,124,CAEQw4be0cSLg+L8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155844.747793,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-63,0,125,CAEQw4be0cSLg+L8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155844.74798,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-78,0,125,CAEQw4be0cSLg+L8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155844.748869,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,124,CAEQw4be0cSLg+L8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155844.750045,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQw4be0cSLg+L8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155844.760666,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQw4be0cSLg+L8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155844.762391,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQw4be0cSLg+L8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155844.765549,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-71,0,125,CAEQ3Jft64OOuqNZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155845.748253,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,126,CAEQ3Jft64OOuqNZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155845.748661,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-57,0,126,CAEQ3Jft64OOuqNZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155845.750981,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,125,CAEQ3Jft64OOuqNZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155845.751345,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ3Jft64OOuqNZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155845.760647,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ3Jft64OOuqNZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155845.761978,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ3Jft64OOuqNZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155845.76248,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-69,0,126,CAEQ5ojr4/rfk5KrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155846.749441,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,127,CAEQ5ojr4/rfk5KrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155846.749641,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-57,0,127,CAEQ5ojr4/rfk5KrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155846.750224,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,126,CAEQ5ojr4/rfk5KrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155846.752021,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ5ojr4/rfk5KrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155846.761285,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ5ojr4/rfk5KrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155846.761673,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ5ojr4/rfk5KrARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155846.764003,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,128,CAEQk/eQlfiKvJM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155847.74823,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,127,CAEQk/eQlfiKvJM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155847.748423,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,127,CAEQk/eQlfiKvJM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155847.748627,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-57,0,128,CAEQk/eQlfiKvJM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155847.75183,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQk/eQlfiKvJM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155847.760475,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQk/eQlfiKvJM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155847.760706,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQk/eQlfiKvJM5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155847.765155,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-72,0,128,CAEQmfWmvJjC99aQARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155848.747894,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-83,0,129,CAEQmfWmvJjC99aQARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155848.748883,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-59,0,129,CAEQmfWmvJjC99aQARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155848.749434,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-72,0,128,CAEQmfWmvJjC99aQARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155848.750519,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQmfWmvJjC99aQARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155848.762692,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQmfWmvJjC99aQARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155848.764563,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQmfWmvJjC99aQARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155848.767059,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-78,0,130,CAEQlOKQsfDhhI3EARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155849.748501,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-63,0,130,CAEQlOKQsfDhhI3EARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155849.748688,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-80,0,129,CAEQlOKQsfDhhI3EARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155849.748918,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,129,CAEQlOKQsfDhhI3EARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155849.74993,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQlOKQsfDhhI3EARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155849.760868,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQlOKQsfDhhI3EARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155849.761956,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQlOKQsfDhhI3EARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155849.763098,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-57,0,131,CAEQlZ+C547twrQQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155850.748862,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,131,CAEQlZ+C547twrQQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155850.749031,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,130,CAEQlZ+C547twrQQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155850.749695,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-74,0,130,CAEQlZ+C547twrQQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155850.752523,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQlZ+C547twrQQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155850.764371,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQlZ+C547twrQQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155850.765174,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQlZ+C547twrQQGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155850.771154,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-69,0,131,CAEQjr+Tw4jGw/lIGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155851.747605,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-57,0,132,CAEQjr+Tw4jGw/lIGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155851.747766,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,131,CAEQjr+Tw4jGw/lIGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155851.748932,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,132,CAEQjr+Tw4jGw/lIGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155851.749507,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQjr+Tw4jGw/lIGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155851.760217,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQjr+Tw4jGw/lIGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155851.760887,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQjr+Tw4jGw/lIGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155851.761914,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,132,CAEQp/ya+aKsp6Q4GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155852.750097,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,132,CAEQp/ya+aKsp6Q4GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155852.750819,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-84,0,133,CAEQp/ya+aKsp6Q4GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155852.751372,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-59,0,133,CAEQp/ya+aKsp6Q4GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155852.751908,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQp/ya+aKsp6Q4GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155852.761315,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQp/ya+aKsp6Q4GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155852.763041,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQp/ya+aKsp6Q4GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155852.77054,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-73,0,133,CAEQzf6bp5jSzsdcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155853.748442,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-59,0,134,CAEQzf6bp5jSzsdcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155853.749092,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-72,0,133,CAEQzf6bp5jSzsdcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155853.749651,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQzf6bp5jSzsdcGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155853.761435,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-71,0,134,CAEQj5z07eSUkIN2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155854.748311,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-57,0,135,CAEQj5z07eSUkIN2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155854.748943,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-74,0,134,CAEQj5z07eSUkIN2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155854.749753,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,134,CAEQj5z07eSUkIN2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155854.750391,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQj5z07eSUkIN2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155854.760906,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQj5z07eSUkIN2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155854.762267,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQj5z07eSUkIN2GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155854.762866,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-68,0,135,CAEQopXVquW/hoJHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155855.748209,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-56,0,136,CAEQopXVquW/hoJHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155855.748364,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-71,0,135,CAEQopXVquW/hoJHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155855.750037,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-74,0,135,CAEQopXVquW/hoJHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155855.750328,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQopXVquW/hoJHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155855.762031,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQopXVquW/hoJHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155855.762713,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQopXVquW/hoJHGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155855.768913,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-72,0,136,CAEQx6Lqz/fFhNmdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155856.74984,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-85,0,136,CAEQx6Lqz/fFhNmdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155856.750074,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-57,0,137,CAEQx6Lqz/fFhNmdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155856.752167,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,136,CAEQx6Lqz/fFhNmdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155856.752891,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQx6Lqz/fFhNmdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155856.761199,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQx6Lqz/fFhNmdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155856.761672,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQx6Lqz/fFhNmdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155856.769125,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-78,0,137,CAEQkfvTyfn+lZ16GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155857.747874,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-54,0,138,CAEQkfvTyfn+lZ16GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155857.748041,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-72,0,137,CAEQkfvTyfn+lZ16GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155857.749476,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-86,0,137,CAEQkfvTyfn+lZ16GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155857.751161,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQkfvTyfn+lZ16GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155857.761238,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQkfvTyfn+lZ16GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155857.762238,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQkfvTyfn+lZ16GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155857.768575,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQwfnFoKfw1Kt8GAEgASoHCAEVAAB/PyoCCAIqAggD,1738155858.763975,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-57,0,139,CAEQqouW3oytqOe6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155859.748107,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,138,CAEQqouW3oytqOe6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155859.748755,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-68,0,138,CAEQqouW3oytqOe6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155859.74929,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-81,0,138,CAEQqouW3oytqOe6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155859.752782,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQqouW3oytqOe6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155859.760822,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQqouW3oytqOe6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155859.762826,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQqouW3oytqOe6ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738155859.765539,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-58,0,140,CAEQ8LvvhNetpPArGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155860.74927,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-72,0,139,CAEQ8LvvhNetpPArGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155860.749894,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-80,0,139,CAEQ8LvvhNetpPArGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155860.751322,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-71,0,139,CAEQ8LvvhNetpPArGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155860.752502,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ8LvvhNetpPArGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155860.761399,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ8LvvhNetpPArGAEgASoHCAEVAAB/PyoCCAIqAggD,1738155860.761955,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
