tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-69,0,81,CAEQyuzH8vnf38RJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157541.266323,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,82,CAEQyuzH8vnf38RJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157541.267297,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-82,0,78,CAEQyuzH8vnf38RJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157541.267448,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-71,0,82,CAEQyuzH8vnf38RJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157541.267585,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQyuzH8vnf38RJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157541.278026,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQyuzH8vnf38RJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157541.279211,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQyuzH8vnf38RJGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157541.279959,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-69,0,82,CAEQ1Ybt7KH4ksnPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738157542.266522,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,79,CAEQ1Ybt7KH4ksnPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738157542.267707,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-63,0,83,CAEQ1Ybt7KH4ksnPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738157542.268262,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,83,CAEQ1Ybt7KH4ksnPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738157542.268687,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ1Ybt7KH4ksnPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738157542.278922,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ1Ybt7KH4ksnPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738157542.279941,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-65,0,83,CAEQyuOw2O2K1udfGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157543.266543,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,84,CAEQyuOw2O2K1udfGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157543.26702,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-65,0,84,CAEQyuOw2O2K1udfGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157543.267445,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,80,CAEQyuOw2O2K1udfGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157543.269943,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQyuOw2O2K1udfGAEgASoHCAEVAAB/PyoCCAIqAggD,1738157543.279037,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
