tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-73,0,244,CAEQovOFkJWCzNBZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167925.818313,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-57,0,205,CAEQovOFkJWCzNBZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167925.819436,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-63,0,27,CAEQovOFkJWCzNBZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167925.819591,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-59,0,62,CAEQovOFkJWCzNBZGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167925.819949,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-65,0,28,CAEQ3pzIucu9qqNDGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167926.817804,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,245,CAEQ3pzIucu9qqNDGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167926.818483,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-57,0,206,CAEQ3pzIucu9qqNDGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167926.818985,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-61,0,63,CAEQ3pzIucu9qqNDGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167926.819489,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-74,0,29,CAEQ3PWO2vihtbneARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167927.817823,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,246,CAEQ3PWO2vihtbneARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167927.817977,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-63,0,64,CAEQ3PWO2vihtbneARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167927.818123,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-70,0,207,CAEQ3PWO2vihtbneARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167927.824131,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-67,0,30,CAEQ99DmusCG2K2/ARgBIAEqBwgBFQAAGD8qAggCKgcIAxUAANA+,1738167928.817932,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-63,0,208,CAEQ99DmusCG2K2/ARgBIAEqBwgBFQAAGD8qAggCKgcIAxUAANA+,1738167928.818087,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-71,0,247,CAEQ99DmusCG2K2/ARgBIAEqBwgBFQAAGD8qAggCKgcIAxUAANA+,1738167928.81839,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-60,0,65,CAEQ99DmusCG2K2/ARgBIAEqBwgBFQAAGD8qAggCKgcIAxUAANA+,1738167928.820629,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ99DmusCG2K2/ARgBIAEqBwgBFQAAGD8qAggCKgcIAxUAANA+,1738167928.831467,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ99DmusCG2K2/ARgBIAEqBwgBFQAAGD8qAggCKgcIAxUAANA+,1738167928.831787,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ99DmusCG2K2/ARgBIAEqBwgBFQAAGD8qAggCKgcIAxUAANA+,1738167928.832932,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-75,0,31,CAEQro3i1NeNobVMGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167929.816423,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,209,CAEQro3i1NeNobVMGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167929.81784,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,248,CAEQro3i1NeNobVMGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167929.818239,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-64,0,66,CAEQro3i1NeNobVMGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167929.824706,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQro3i1NeNobVMGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167929.830525,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQro3i1NeNobVMGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167929.831906,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQro3i1NeNobVMGAEgASoHCAEVAAB/PyoCCAIqAggD,1738167929.835169,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-65,0,32,CAEQz/HMmIqFseeIARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167930.819154,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-60,0,67,CAEQz/HMmIqFseeIARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167930.819309,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-57,0,210,CAEQz/HMmIqFseeIARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167930.81982,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,249,CAEQz/HMmIqFseeIARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167930.838472,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,33,CAEQzfjS0uHJ2IqGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167931.818198,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-71,0,250,CAEQzfjS0uHJ2IqGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167931.818365,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,211,CAEQzfjS0uHJ2IqGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167931.822301,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-61,0,68,CAEQzfjS0uHJ2IqGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167931.822874,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQzfjS0uHJ2IqGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167931.831559,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQzfjS0uHJ2IqGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167931.83543,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQzfjS0uHJ2IqGARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738167931.839401,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-78,0,212,CAEQ+pi4+6/njPj4ARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738167932.814983,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,251,CAEQ+pi4+6/njPj4ARgBIAEqBwgBFQAAfz8qAggCKgcIAxUAAIA7,1738167932.818238,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
