tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-64,0,227,CAEQh8TRyrustpBVGAEgASoHCAEVAAB/PyoCCAIqAggD,1738937694.703983,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-76,0,225,CAEQh8TRyrustpBVGAEgASoHCAEVAAB/PyoCCAIqAggD,1738937694.70511,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-59,0,234,CAEQh8TRyrustpBVGAEgASoHCAEVAAB/PyoCCAIqAggD,1738937694.705317,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,207,CAEQh8TRyrustpBVGAEgASoHCAEVAAB/PyoCCAIqAggD,1738937694.706062,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQh8TRyrustpBVGAEgASoHCAEVAAB/PyoCCAIqAggD,1738937694.724908,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQh8TRyrustpBVGAEgASoHCAEVAAB/PyoCCAIqAggD,1738937694.725589,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQh8TRyrustpBVGAEgASoHCAEVAAB/PyoCCAIqAggD,1738937694.729988,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-80,0,226,CAEQ4JHZmMrlptelARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937695.704319,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-67,0,208,CAEQ4JHZmMrlptelARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937695.704955,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-66,0,235,CAEQ4JHZmMrlptelARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937695.705532,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,228,CAEQ4JHZmMrlptelARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937695.706638,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ4JHZmMrlptelARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937695.725866,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ4JHZmMrlptelARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937695.728503,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ4JHZmMrlptelARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937695.737625,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-68,0,229,CAEQ0NXU3ILa1vuOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937696.705932,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,236,CAEQ0NXU3ILa1vuOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937696.706333,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-78,0,209,CAEQ0NXU3ILa1vuOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937696.707292,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-85,0,227,CAEQ0NXU3ILa1vuOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937696.707598,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ0NXU3ILa1vuOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1738937696.722308,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
