tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-63,0,209,CAEQy9iswbCf54F5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738938211.716532,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-67,0,231,CAEQy9iswbCf54F5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738938211.717528,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-79,0,224,CAEQy9iswbCf54F5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738938211.717797,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-76,0,195,CAEQy9iswbCf54F5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738938211.719025,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQy9iswbCf54F5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738938211.731226,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQy9iswbCf54F5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738938211.732732,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQy9iswbCf54F5GAEgASoHCAEVAAB/PyoCCAIqAggD,1738938211.735717,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-61,0,210,CAEQsrrWz6C4pKcCGAEgASoHCAEVAAB/PyoCCAIqAggD,1738938212.712094,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-80,0,196,CAEQsrrWz6C4pKcCGAEgASoHCAEVAAB/PyoCCAIqAggD,1738938212.712282,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-78,0,225,CAEQsrrWz6C4pKcCGAEgASoHCAEVAAB/PyoCCAIqAggD,1738938212.713067,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
