tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-74,0,185,CAEQiLbStvTblbonGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705775.419452,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,111,CAEQiLbStvTblbonGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705775.421695,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,171,CAEQiLbStvTblbonGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705775.424918,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQiLbStvTblbonGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705775.435775,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQiLbStvTblbonGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705775.436095,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-69,0,115,CAEQvrq5yN7QyMsQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705776.416973,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,175,CAEQvrq5yN7QyMsQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705776.417198,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,189,CAEQvrq5yN7QyMsQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705776.42132,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQvrq5yN7QyMsQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705776.433753,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvrq5yN7QyMsQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705776.440204,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQvrq5yN7QyMsQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705776.440367,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-74,0,153,CAEQ/PSsjtqywKXOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705777.414562,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,178,CAEQ/PSsjtqywKXOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705777.415851,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,192,CAEQ/PSsjtqywKXOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705777.41621,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ/PSsjtqywKXOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705777.437022,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ/PSsjtqywKXOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705777.437708,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/PSsjtqywKXOARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705777.439398,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-76,0,196,CAEQo43vzsPKr6JjGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705778.419088,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,157,CAEQo43vzsPKr6JjGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705778.419719,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,182,CAEQo43vzsPKr6JjGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705778.423153,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQo43vzsPKr6JjGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705778.428084,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQo43vzsPKr6JjGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705778.435429,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-67,0,186,CAEQ8ryYppXO4OGkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705779.416088,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,200,CAEQ8ryYppXO4OGkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705779.416996,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,161,CAEQ8ryYppXO4OGkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705779.419217,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ8ryYppXO4OGkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705779.433201,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ8ryYppXO4OGkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705779.442749,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-78,0,165,CAEQ5Zzb2OuFl+6QARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705780.415897,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-72,0,204,CAEQ5Zzb2OuFl+6QARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705780.416162,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-67,0,190,CAEQ5Zzb2OuFl+6QARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705780.416748,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ5Zzb2OuFl+6QARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705780.435752,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ5Zzb2OuFl+6QARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705780.435946,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ5Zzb2OuFl+6QARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705780.440889,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-75,0,208,CAEQ3s6tupbvzay/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705781.415761,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,169,CAEQ3s6tupbvzay/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705781.418521,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,194,CAEQ3s6tupbvzay/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705781.424071,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ3s6tupbvzay/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705781.435161,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ3s6tupbvzay/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705781.435415,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ3s6tupbvzay/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705781.437168,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-68,0,198,CAEQu6nE/8yWwqGcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705782.416297,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-74,0,211,CAEQu6nE/8yWwqGcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705782.416474,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,139,CAEQu6nE/8yWwqGcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705782.417396,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQu6nE/8yWwqGcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705782.43397,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQu6nE/8yWwqGcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705782.441479,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQu6nE/8yWwqGcARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705782.447459,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-77,0,215,CAEQxMDQ5dKi1czfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705783.416263,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-70,0,202,CAEQxMDQ5dKi1czfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705783.416769,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,143,CAEQxMDQ5dKi1czfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705783.417249,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQxMDQ5dKi1czfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705783.428203,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQxMDQ5dKi1czfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705783.435861,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-73,0,147,CAEQztqjzLP2ra8tGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705784.417358,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
