CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1743614251.346431,ble-pd-B43A31EF7B26,2656,0,,-64.0,-68.0,-75.0,-30.0,-58.0,-61.0,,0.9582698087088898,-2.901545699258302,0.3674408629720856,2.3540028165103233,0.17322366711160972,-1.4977003011222343,,1.405970490610748,0.6256828001871072,1.1383485005623037,0.9867906108281369,1.040643725882527,0.5365793394515033,-6.44505262374878,4.074639320373535,1.7285176515579224,-5.94,4.44,1.81
1743614252.346519,ble-pd-B43A31EF7B26,2657,18,,-62.0,-74.0,-63.0,-31.0,,,,0.9693570809591077,-2.9690557676273746,0.5034317219275648,2.3722983253915615,,,,1.354210623244513,0.7894521603668213,1.1972652138839632,0.9743630457409713,,,-6.44621467590332,4.063350677490234,1.7407605648040771,-5.94,4.44,1.81
1743614253.354563,ble-pd-B43A31EF7B26,2658,12,,-64.0,,-63.0,-31.0,-50.0,-52.0,,0.9584706110550818,,0.5461855774354789,2.3786816683475864,-3.048641431854781,-1.7151466294305586,,1.3434152334497678,,1.2472298443593761,0.9978620946009356,1.185318937737668,0.5232977054667245,-6.441760063171387,4.06960678100586,1.7543669939041138,-5.94,4.44,1.81
1743614254.348058,ble-pd-B43A31EF7B26,2659,33,-67.0,,-74.0,-66.0,-31.0,-52.0,-51.0,-2.9934085115833864,,-2.9043169846886383,0.5108358423902031,2.3897810002453523,-2.713562864289825,-1.828570769089431,0.6763522362450093,,0.6943455512549934,1.21885026767711,0.9617182862842745,0.669145517661204,0.6373081013547781,-6.460604667663574,4.067457675933838,1.744112253189087,-5.94,4.44,1.81
1743614255.350108,ble-pd-B43A31EF7B26,2660,15,-68.0,,-78.0,-68.0,-31.0,-54.0,-54.0,-2.9874928318539933,,-2.987247022085379,0.5310369845228902,2.4223890267654244,-2.169493835010825,-1.7056418504007207,0.6821988069441147,,0.774130062509214,1.2016212133209516,0.9956202433563414,1.1001300098878024,0.6514098895960675,-6.471116542816162,4.06000518798828,1.737404704093933,-5.94,4.44,1.81
1743614256.347917,ble-pd-B43A31EF7B26,2661,30,-66.0,,-71.0,-65.0,-31.0,,,-3.0979378506851054,,-2.9497326697060866,0.5631246135489278,2.430978066473863,,,0.7356090352378719,,0.6987482225900852,1.2720033677676197,0.9590646229225053,,,-6.519861698150635,4.023582458496094,1.5715161561965942,-5.94,4.44,1.81
1743614257.349179,ble-pd-B43A31EF7B26,2662,8,-68.0,,-79.0,-72.0,,,,-2.994046604980569,,-2.9875040171305716,0.5209715671829357,,,,0.6919207430824763,,0.649789334900341,1.2825952920550832,,,,-6.579811096191406,4.006157398223877,1.5616432428359985,-5.94,4.44,1.81
1743614258.352492,ble-pd-B43A31EF7B26,2663,7,,,,-73.0,-30.0,-55.0,,,,,0.5100781730600756,2.430978066473863,-0.43993333104070825,,,,,1.3700713454325888,0.9590646229225053,1.1508181737321348,,,,,-5.94,4.44,1.81
1743614259.347412,ble-pd-B43A31EF7B26,2664,11,,-64.0,-74.0,-79.0,-31.0,,,,0.8194834295571545,-3.013436281929109,0.506225644227167,2.4821099108529334,,,,1.3233475156876937,0.5905235477387994,1.2501699742028236,0.9785688502664124,,,,,,-5.94,4.44,1.81
1743614260.349177,ble-pd-B43A31EF7B26,2665,29,,-69.0,-68.0,-66.0,-35.0,-55.0,-59.0,,0.8577394723000337,-2.954420898489062,0.49156068136853664,2.414361086108265,2.7037103441490085,-1.6657249137353405,,1.3289097939404328,0.6471737112357197,1.405150103836949,0.9721990922449394,1.0583260108899406,0.6574146869717397,-6.586822509765625,4.00252103805542,1.5596582889556885,-5.94,4.44,1.81
