CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740489693.82203,ble-pd-B43A31EF7B34,1256,15,-85.0,-87.0,-80.0,-88.0,-70.0,,-64.0,2.856008041462928,-2.4582513505380343,2.6032085402515923,-2.990774911581407,3.079873021480937,,-2.3540028165103233,0.1400578887694369,0.17090563321571778,0.6455421255938827,0.2897036235163498,0.5576492278598707,,0.9867906108281369,-6.598731517791748,4.490981578826904,-0.17803525924682617,-7.14,4.44,1.96
1740489694.822626,ble-pd-B43A31EF7B34,1257,23,-79.0,,-78.0,-94.0,-54.0,,,2.779821394262377,,2.5973394658412756,-3.0999376183476457,2.7465050401462645,,,0.2311936747616863,,0.1777355927920918,0.3359640632315712,0.3733953655715011,,,-6.54650068283081,4.475253105163574,-0.2389521449804306,-7.14,4.44,1.96
1740489695.824196,ble-pd-B43A31EF7B34,1258,22,-80.0,,-78.0,,-54.0,,,2.7898897410795307,,2.5787767004112054,,2.6293195089242305,,,0.3976865832091973,,0.118134754998283,,0.2915734489320755,,,,,,-7.14,4.44,1.96
1740489696.823696,ble-pd-B43A31EF7B34,1259,1,-81.0,-93.0,-79.0,-80.0,-51.0,,-59.0,2.944171456717783,-2.4091445242497365,2.5343716850274425,-3.0811420926383026,2.4918873286163397,,-0.8365415046626079,0.26707645814389824,0.08655630572791165,0.13697706911902754,0.35473042732697807,0.23879673517595798,,1.1903729087277406,-6.497106075286865,4.463885307312012,-0.2017909586429596,-7.14,4.44,1.96
1740489697.822698,ble-pd-B43A31EF7B34,1260,13,-84.0,-78.0,-87.0,-81.0,,,-59.0,2.9138652161448997,-2.4278974393816384,2.443125927126929,-3.072038342767976,,,-1.5150034207797836,0.14033442475912802,0.13448314359384447,0.13990502332286633,0.3573717837856323,,,1.0113168447311192,-6.39930772781372,4.4634108543396,-0.13757622241973877,-7.14,4.44,1.96
1740489698.823986,ble-pd-B43A31EF7B34,1261,32,-88.0,-91.0,,-86.0,-57.0,-63.0,-62.0,2.9000854880326115,-2.5029810052586785,,-3.0851394974345117,2.7078397418430242,2.8788980489477853,-1.0189405564039777,0.1301726592443615,0.15419115151643292,,0.2994386091440527,0.2545472305183318,0.3719998008554921,0.5910193432582936,-6.291090965270996,4.451421737670898,-0.05203424394130707,-7.14,4.44,1.96
1740489699.833374,ble-pd-B43A31EF7B34,1262,17,-84.0,-85.0,,-89.0,-55.0,-71.0,-61.0,2.7869831670658183,-2.53788359555693,,-3.0290218995765796,2.788246818412121,2.6834186309169406,-1.3495284719809395,0.18285362248549247,0.13314587054197477,,0.3096925782891848,0.34568746447793447,0.2995234982508454,0.760085864405277,-6.143129348754883,4.451690673828125,0.1946210265159607,-7.14,4.44,1.96
1740489700.822122,ble-pd-B43A31EF7B34,1263,18,-80.0,-81.0,,-88.0,-54.0,-81.0,-61.0,2.6545952987491073,-2.495942536813708,,-3.1357832339878944,2.7720570199483316,2.593402661375582,0.5413835234012216,0.16707229578741453,0.1338061347552327,,0.33369255326930175,0.3272010157131051,0.2858262674814093,1.469061238939735,-6.022521495819092,4.462690830230713,0.3905741572380066,-7.14,4.44,1.96
1740489701.824235,ble-pd-B43A31EF7B34,1264,33,-87.0,-90.0,,-85.0,,-63.0,,2.707317898849406,-2.39932118825287,,-3.138163034737989,,2.795983473840794,,0.16030230726983774,0.14192742785467252,,0.2954470300127284,,0.28009076520548604,,-5.898061752319336,4.476877689361572,0.545292317867279,-7.14,4.44,1.96
1740489702.822317,ble-pd-B43A31EF7B34,1265,23,,-95.0,,-89.0,-54.0,-64.0,-69.0,,-2.3953440234809458,,-3.1032572486464294,2.7218038675525267,2.860264811872748,0.37092101340325223,,0.1127471717906743,,0.3746299331767,0.2884343942518294,0.37024322148796013,1.3279700899721614,-5.73893404006958,4.483171463012695,0.7064585089683533,-7.14,4.44,1.96
