CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740061511.754293,ble-pd-B43A31EF7B26,7184,10,-69.0,-76.0,-66,-70.0,-54.0,-54.0,-62.0,-2.643962628096966,-2.080118428421499,3.0693405605837256,-2.2652387505345417,-2.0185444748194623,2.888715830913304,-0.02772926341022801,0.13871508133592692,0.2659327303242501,0.7882024054462745,0.25183144215509184,0.6243705463885006,1.1397784603450665,0.8899298594568259,-5.097330570220947,6.354398727416992,-0.05727626383304596,-8.64,7.44,1.96
1740061512.752203,ble-pd-B43A31EF7B26,7185,8,-76.0,-75.0,-67,-69.0,-55.0,-53.0,-64.0,-2.7510603197539574,-2.1910743747077426,3.075913242154041,-2.316095273659022,-1.976151603505483,2.701820783027145,-0.6298629975403341,0.14808622090207613,0.23963496331085596,0.7298378985766429,0.2481602246581472,0.5629626217431268,0.9664213798657886,0.7314294523688155,-4.999999046325684,6.287519931793213,0.006179377436637878,-8.64,7.44,1.96
1740061513.758238,ble-pd-B43A31EF7B26,7186,4,-79.0,-74.0,-66,-73.0,-59.0,-54.0,-66.0,-2.705710681131543,-2.338630942803272,3.116981849324153,-2.302698508111487,-1.3511893989205195,2.721989511130449,-1.4005946324936276,0.11302825179897535,0.20913928876068355,0.638075554003682,0.23218262298773043,0.6496925063029815,0.8276881376142692,0.8781875834551616,-4.850168704986572,6.180914402008057,0.09909045696258545,-8.64,7.44,1.96
1740061514.755229,ble-pd-B43A31EF7B26,7187,25,-73.0,-85.0,-62,,-62.0,-58.0,-62.0,-2.7569746679028055,-2.237826300802138,3.093620600241978,,-1.969646550485915,-3.1200203537319857,-2.008433307326137,0.12099711221552177,0.2635819913195508,0.7265104119526434,,0.6111408173817349,0.6282078792781899,0.7607453481443065,-4.697540760040283,6.06934404373169,0.124607153236866,-8.64,7.44,1.96
1740061515.752535,ble-pd-B43A31EF7B26,7188,13,-69.0,-75.0,-65,,,-56.0,,-2.7977508599852268,-2.269120041507223,3.1142755450244146,,,3.141592653589793,,0.14888022573632645,0.2204745013083878,0.6788270452669927,,,0.8726646260737692,,-4.784276485443115,6.122136116027832,0.11800043284893036,-8.64,7.44,1.96
1740061516.752576,ble-pd-B43A31EF7B26,7189,11,-68.0,-75.0,-65,,-54.0,-55.0,,-2.777327610217627,-2.298156220556248,3.1006982171549726,,-2.042105207793776,3.1132485213469656,,0.13526267581204587,0.19585387663622789,0.5013316862499828,,0.5110275760999633,0.9073762941186332,,-4.960240840911865,6.250709056854248,0.12105429172515869,-8.64,7.44,1.96
1740061517.758536,ble-pd-B43A31EF7B26,7190,6,-70.0,-75.0,-67,,-61.0,-55.0,-67.0,-2.6851239132730127,-2.273521447840797,-3.1012396378045857,,-1.6798979622797443,2.9972292915217884,-1.5333886567663975,0.0915753490525454,0.1737760881071461,0.415614783930529,,0.6022702788292612,0.9199914840355635,0.8196517189989131,-5.158539295196533,6.4087042808532715,0.16198128461837769,-8.64,7.44,1.96
1740061518.752667,ble-pd-B43A31EF7B26,7191,35,-84.0,-89.0,-69,,-60.0,-57.0,-65.0,-2.714955045907426,-2.313011599432819,-2.9981212414483904,,-1.6863696040553051,-2.952821196709067,-2.117566046431918,0.1022699465224095,0.18310127982211302,0.25810182165216977,,0.831694369744308,0.5851306606109925,0.6211344897971416,-5.1892991065979,6.487025260925293,0.15892304480075836,-8.64,7.44,1.96
1740061519.752153,ble-pd-B43A31EF7B26,7192,9,-71.0,-77.0,-67,-69.0,-57.0,-54.0,-67.0,-2.7025162194039933,-2.2401296688289474,-2.964665013938161,-2.415018924982233,-1.7710715396636993,3.1169124762443476,-2.113026900226628,0.10829046325258918,0.24771928840541413,0.2789430711976142,0.4745800000735415,0.6734597225123049,0.7852458702205459,0.7917578801260676,-5.420692443847656,6.597464561462402,0.21214359998703,-8.64,7.44,1.96
1740061520.750254,ble-pd-B43A31EF7B26,7193,18,-74.0,-81.0,-68,,-58.0,-65.0,-66.0,-2.8008422573785907,-2.3171594728306175,-2.9843542965093346,,-1.9808065581665832,-2.8542800702861935,-2.1081785438432563,0.13344956245240627,0.15115138615870283,0.29633522752578334,,0.6042727794713774,0.7470515039329293,0.7253721465228606,-5.68992042541504,6.652050495147705,0.233382984995842,-8.64,7.44,1.96
1740061521.752225,ble-pd-B43A31EF7B26,7194,25,-75.0,-85.0,-63,,-57.0,,,-2.8517152921018294,-2.393007099624401,-2.967544956340973,,-2.145550485959886,,,0.12335906146393465,0.2449129491172295,0.5893506250157012,,0.4834281148642778,,,,,,-8.64,7.44,1.96
1740061522.752185,ble-pd-B43A31EF7B26,7195,29,-78.0,-90.0,-69,,-63.0,-58.0,-67.0,-2.929041239616716,-2.4427932983067784,3.0094790908653604,,-1.3089355713717374,-2.8187684148018644,-2.279012511856237,0.14493054145790038,0.335099734299786,0.7544599546978887,,0.7681819494826163,0.5179342407083147,0.45575418627493103,-5.737780570983887,6.549461364746094,0.18276987969875336,-8.64,7.44,1.96
1740061523.750763,ble-pd-B43A31EF7B26,7196,14,-71.0,-77.0,-65,,,,-64.0,-2.9283746503958694,-2.4094073782493273,3.0338603306450356,,,,-2.153192221095779,0.18870112529097943,0.22920830481378904,0.7285651073126668,,,,0.5329088446222398,,,,-8.64,7.44,1.96
1740061524.75373,ble-pd-B43A31EF7B26,7197,12,-69.0,-75.0,-66,,-54.0,-53.0,-64.0,-2.9087900300555356,-2.428825551021531,3.1284627367834847,,-1.8409860957859305,-3.071187591253468,-2.0976261220913197,0.1783271973834961,0.20845189359382046,0.6828592043154271,,0.6327538746192196,0.7318049978989604,0.5092778562127073,-5.7450175285339355,6.34034299850464,0.1785432994365692,-8.64,7.44,1.96
1740061525.75052,ble-pd-B43A31EF7B26,7198,32,-85.0,-85.0,-68,-81.0,-64.0,-58.0,-67.0,-2.8881816905921753,-2.4614399533111864,-3.1284922978715843,-1.56805193929157,-1.5566645873989569,-2.8835151119992655,-2.239913138467604,0.15711774917259141,0.25562781157851344,0.7991153072241194,0.5989554486451265,0.6805550804043663,0.4919936119950844,0.36977330549992526,-5.784781455993652,6.1763739585876465,0.14378270506858826,-8.64,7.44,1.96
1740061526.752232,ble-pd-B43A31EF7B26,7199,27,-71.0,-83.0,-63,-79.0,-61.0,-60.0,-63.0,-2.976470274418264,-2.243496437079026,3.0590042997609097,-0.7324097798203597,-2.082198909130372,-2.8583306489023528,-2.1602646731836397,0.16698061646688855,0.27629905157786994,0.7964374987480447,0.6006519488385342,0.5759933193019444,0.3870057307375776,0.23173449058173093,-5.855711936950684,6.018413543701172,0.30992481112480164,-8.64,7.44,1.96
