CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1743691668.505245,ble-pd-B43A31EF7B45,84,31,,-82.0,-67.0,-74.0,-53.0,-46.0,-51.0,,-0.8615278189506714,3.021960794262344,-0.3374472775111772,0.1854863347270115,2.70968276640744,-0.803809707744293,,1.0530875314214714,1.2429947524358773,1.1248324253979336,0.34354184976264457,0.23870337208164263,0.32636745946777157,-2.814112663269043,4.208082675933838,1.3361573219299316,0.0,0.0,0.0
1743691669.507336,ble-pd-B43A31EF7B45,85,16,,-69.0,-66.0,-74.0,,,-51.0,,-0.8466958758916932,2.933613620892273,-0.4087331756737642,,,-0.8153333882898302,,1.0840358601331732,1.2170172138988085,1.1507797370566302,,,0.4047693502033382,,,,0.0,0.0,0.0
1743691670.504695,ble-pd-B43A31EF7B45,86,14,-66.0,,-66.0,-76.0,-56.0,-48.0,-54.0,-3.0294765011746563,,2.933618947214453,-0.5590864623880407,0.09173284763789112,2.6561881885648875,-0.8388081387692903,0.8565060292411635,,1.2155085331412783,1.2639612870658532,0.31292309573072896,0.23270397633513532,0.4520489253557084,-2.767791986465454,4.121264934539795,1.4726243019104004,0.0,0.0,0.0
1743691671.503578,ble-pd-B43A31EF7B45,87,24,-63.0,,-64.0,-72.0,-60.0,-47.0,-51.0,-2.969965769771855,,2.949398176673173,-0.5756444001494994,0.20085935582534903,2.7196261131890895,-0.8900510520441864,0.936329089752163,,1.1690146673565116,1.121251805312322,0.5148495138564908,0.30436462731152647,0.3880002448716914,-2.8026604652404785,4.076519966125488,1.55089271068573,0.0,0.0,0.0
1743691672.505181,ble-pd-B43A31EF7B45,88,30,-64.0,,-66.0,-72.0,-55.0,-46.0,-50.0,-3.0299835670462074,,2.9814759520031773,-0.634817975358297,0.3393270337714695,2.759876985499793,-0.8479026381836224,0.8389000044327042,,1.2578911439932354,0.9853717338581902,0.38073979126656665,0.2764607411267097,0.2864441089936107,-2.8611271381378174,3.9982669353485107,1.6110167503356934,0.0,0.0,0.0
1743691673.505286,ble-pd-B43A31EF7B45,89,32,-64.0,,-66.0,-75.0,-51.0,,,-2.999103148942303,,2.9348301528782215,-0.6856316215892269,0.3206704947237595,,,0.8668106650260343,,1.3067339178594524,0.940050391322358,0.3829495949576423,,,,,,0.0,0.0,0.0
1743691674.505051,ble-pd-B43A31EF7B45,90,14,-66.0,,-66.0,-77.0,-57.0,-48.0,-51.0,-3.0138498708463985,,2.9430060574247645,-0.7151809917803101,0.276148185176907,2.6899362678659564,-0.8348435903847587,0.8390614585737902,,1.3000676261768205,0.9186355135228673,0.31990321624908996,0.2524863856731727,0.356229411254364,-2.973345994949341,3.9303927421569824,1.655580997467041,0.0,0.0,0.0
1743691675.504554,ble-pd-B43A31EF7B45,91,24,,-69.0,-64.0,-72.0,,,,,-0.9214761077205731,2.85782218679749,-0.8679124813480273,,,,,1.0506665182535078,1.3145175387774268,0.9100620656046025,,,,,,,0.0,0.0,0.0
1743691676.504269,ble-pd-B43A31EF7B45,92,5,,-74.0,-70.0,-71.0,-62.0,-49.0,-50.0,,-0.9073115528307686,2.737799375422017,-0.8462854827677119,0.23298530391157218,2.763161027972889,-0.8231639031768339,,0.9083519832896354,1.2513317782283704,0.9201511850782587,0.5980575326401096,0.4924194715332171,0.2680865918574333,-3.02106761932373,3.887279748916626,1.6289516687393188,0.0,0.0,0.0
1743691677.505028,ble-pd-B43A31EF7B45,93,36,,-82.0,-66.0,-86.0,-49.0,-46.0,-52.0,,-0.9084476573517964,3.0530105894115778,-0.6786876953629543,0.20722761913146848,2.7490667396286836,-0.7646742384911981,,0.8630412268191362,1.1851519588237924,0.9279762847302112,0.5661239396306871,0.3572779605726174,0.38050103415286407,-3.02269458770752,3.86413836479187,1.5471044778823853,0.0,0.0,0.0
1743691678.505526,ble-pd-B43A31EF7B45,94,27,,-73.0,-64.0,-72.0,,,,,-0.8335987159667925,2.996097771652148,-0.7148883103765103,,,,,0.8982899614800707,1.1200053127641107,0.923087852812289,,,,,,,0.0,0.0,0.0
1743691679.505888,ble-pd-B43A31EF7B45,95,16,,-69.0,-65.0,-73.0,,,,,-0.9151761338458816,2.9065058367885745,-0.7294528720620447,,,,,1.0552023476431036,1.139027074008056,1.1597973336656928,,,,,,,0.0,0.0,0.0
1743691680.504599,ble-pd-B43A31EF7B45,96,4,,-75.0,-70.0,-71.0,-60.0,-50.0,-51.0,,-0.8768146299238353,3.0319774757543496,-0.5117280013553797,0.206859484216416,2.788288159223671,-0.7355696329096587,,0.7908229559589125,1.0772471961984522,1.2150861557923922,0.7049317573390649,0.5642223183712205,0.2910573865257356,-3.0230143070220947,3.89089560508728,1.5943694114685059,0.0,0.0,0.0
1743691681.507504,ble-pd-B43A31EF7B45,97,20,-64.0,,-67.0,-72.0,-54.0,-49.0,-51.0,-3.098001500235158,,2.9704414103425427,-0.582151035324781,0.1006816256254924,2.7597105523132783,-0.7696083917014738,0.9463910449827004,,1.1459775249789992,1.1888882406751191,0.521403173310386,0.4083889262144469,0.39306581231507104,-3.045419692993164,3.9049501419067383,1.6649481058120728,0.0,0.0,0.0
