tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-76,0,121,CAEQpanzr5XZmMlpGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1740484875.761309,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-67,0,187,CAEQpanzr5XZmMlpGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1740484875.761704,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-66,0,219,CAEQpanzr5XZmMlpGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1740484875.763324,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-68,0,203,CAEQpanzr5XZmMlpGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1740484875.764418,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQpanzr5XZmMlpGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1740484875.776661,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQpanzr5XZmMlpGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1740484875.78601,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQpanzr5XZmMlpGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1740484875.79173,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-84,0,220,CAEQ3KHf0o23w+1iGAUgASoHCAEVAAB/PyoCCAIqAggD,1740484876.100497,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-60,0,188,CAEQ3KHf0o23w+1iGAUgASoHCAEVAAB/PyoCCAIqAggD,1740484876.10094,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-80,0,204,CAEQ3KHf0o23w+1iGAUgASoHCAEVAAB/PyoCCAIqAggD,1740484876.101317,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ3KHf0o23w+1iGAUgASoHCAEVAAB/PyoCCAIqAggD,1740484876.12258,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ3KHf0o23w+1iGAUgASoHCAEVAAB/PyoCCAIqAggD,1740484876.124457,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-93,0,122,CAEQm9OmzMGYh+iCARgCIAEqAggBKgcIAhUAAGw+KgcIAxUAAEU/,1740484876.537894,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-82,0,221,CAEQm9OmzMGYh+iCARgCIAEqAggBKgcIAhUAAGw+KgcIAxUAAEU/,1740484876.538353,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-97,0,205,CAEQm9OmzMGYh+iCARgCIAEqAggBKgcIAhUAAGw+KgcIAxUAAEU/,1740484876.539269,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-90,0,189,CAEQm9OmzMGYh+iCARgCIAEqAggBKgcIAhUAAGw+KgcIAxUAAEU/,1740484876.540685,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-84,0,222,CAEQ94m35Ye9qL7/ARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1740484876.578349,ble-pd-588E816309D5,ble-pd-0C4314F469CC
127,-75,0,190,CAEQ94m35Ye9qL7/ARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1740484876.579409,ble-pd-588E816309D5,ble-pd-0C4314F46B3F
127,-85,0,123,CAEQ94m35Ye9qL7/ARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1740484876.580618,ble-pd-588E816309D5,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ94m35Ye9qL7/ARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1740484876.596254,ble-pd-588E816309D5,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ94m35Ye9qL7/ARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1740484876.60047,ble-pd-588E816309D5,ble-pd-D299A0EB1D6C
127,-79,0,124,CAEQ8pGr3NiC5JiqARgBIAEqAggBKgcIAhUAAHk/KgcIAxUAAOA8,1740484876.761397,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-71,0,191,CAEQ8pGr3NiC5JiqARgBIAEqAggBKgcIAhUAAHk/KgcIAxUAAOA8,1740484876.761846,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
