tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-74,0,31,CAEQuvq7o8Ob6+FzGAEgASoHCAEVAAB/PyoCCAIqAggD,1743691668.487847,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-67,0,55,CAEQuvq7o8Ob6+FzGAEgASoHCAEVAAB/PyoCCAIqAggD,1743691668.488938,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-82,0,35,CAEQuvq7o8Ob6+FzGAEgASoHCAEVAAB/PyoCCAIqAggD,1743691668.490528,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQuvq7o8Ob6+FzGAEgASoHCAEVAAB/PyoCCAIqAggD,1743691668.505431,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQuvq7o8Ob6+FzGAEgASoHCAEVAAB/PyoCCAIqAggD,1743691668.508507,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQuvq7o8Ob6+FzGAEgASoHCAEVAAB/PyoCCAIqAggD,1743691668.512237,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-69,0,36,CAEQ3Znvu5u28uqpARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691669.489632,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-74,0,32,CAEQ3Znvu5u28uqpARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691669.490187,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,56,CAEQ3Znvu5u28uqpARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691669.491533,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ3Znvu5u28uqpARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691669.511325,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-66,0,57,CAEQsPed8/r1irCyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691670.489503,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-66,0,57,CAEQsPed8/r1irCyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691670.490321,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-76,0,33,CAEQsPed8/r1irCyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691670.490898,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQsPed8/r1irCyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691670.511487,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQsPed8/r1irCyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691670.511632,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQsPed8/r1irCyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691670.515343,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-64,0,58,CAEQ4//Fv9PS65+FARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691671.489223,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-63,0,58,CAEQ4//Fv9PS65+FARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691671.48952,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-72,0,34,CAEQ4//Fv9PS65+FARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691671.490076,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ4//Fv9PS65+FARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691671.5086,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ4//Fv9PS65+FARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691671.509239,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ4//Fv9PS65+FARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743691671.510366,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
