CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733157960.903482,ble-pd-B43A31EF7B45,116,34,-88.0,-59.0,-79.0,-75.0,-55.0,1.3777741394114795,1.420709089873519,0.8335049726964217,0.9052670440619148,0.7333492572916475,0.14932733719383715,0.7695060824875367,0.17119327125820316,0.2080610081248241,0.34763833150280626,-0.6128856539726257,1.4123908281326294,0.680357038974762,-1.2789525379563402,0.4,1.92
1733157961.899048,ble-pd-B43A31EF7B45,117,18,-72.0,-70.0,-82.0,-70.0,-59.0,1.5315802144790438,1.4990944428700392,0.8920039692011021,0.9025034817987396,0.7499892080286367,0.11735281761272212,0.8680847878705555,0.18353254547113773,0.21841589443051337,0.44358628506941855,-0.580116331577301,1.3710975646972656,0.6365652084350586,-1.5966103326331462,0.4,1.92
1733157962.898388,ble-pd-B43A31EF7B45,118,25,-75.0,-67.0,-76.0,-79.0,-54.0,1.5406738443372283,1.509645887108933,0.8436721227900171,0.9282530537464977,0.7075188215836108,0.15004693996513335,0.8286110147192375,0.1398194026938203,0.16985966005283235,0.3262708489436846,-0.57608699798584,1.3422088623046875,0.6226121187210083,-1.91547230716052,0.4,1.92
1733157963.903274,ble-pd-B43A31EF7B45,119,1,-80.0,-54.0,-79.0,-69.0,-54.0,1.5400746330919606,1.5264429767362808,0.9411107954894002,0.9441097811929385,0.7290933567157764,0.1512388377109983,0.8487632878459216,0.14315326425967917,0.170194269599044,0.3919975356165605,-0.603443682193756,1.2903380393981934,0.6372328400611877,-2.2361038581190673,0.4,1.92
1733157964.898402,ble-pd-B43A31EF7B45,120,31,-75.0,,-77.0,-76.0,-62.0,1.599514258093657,,0.9390148877115079,0.9598748958978806,0.7037724306797466,0.23107849304454037,,0.1482597258470948,0.16312351032585637,0.3129853596078506,-0.6568238735198975,1.2540431022644043,0.7566534280776978,-2.553621899013534,0.4,1.92
1733157965.899649,ble-pd-B43A31EF7B45,121,3,-75.0,,-74.0,-69.0,-59.0,1.6485015084490107,,0.9499154723693113,0.9756650443170694,1.6508703890578256,0.2741035582199654,,0.1816292008848149,0.23260959428949737,0.85241359237893,-0.7141915559768677,1.19810152053833,0.761954367160797,-2.87309234491744,0.4,1.92
1733157966.899225,ble-pd-B43A31EF7B45,122,22,-88.0,,-74.0,-70.0,-62.0,1.6649960629765252,,0.9206049877280081,1.0228994020429327,1.1183312537248342,0.28851325708811165,,0.3004763098628021,0.3158556989733598,0.575074828696528,-0.7914188504219055,1.173644781112671,0.7717559337615967,-3.192029620569545,0.4,1.92
1733157967.897599,ble-pd-B43A31EF7B45,123,27,-83.0,,-79.0,,-52.0,1.6879519789407904,,1.0743458153488654,,1.013224151599224,0.4706760389420807,,0.2802886499831336,,0.4446133602898985,-0.869127869606018,1.11589252948761,0.5600591897964478,-3.5105833710016223,0.4,1.92
1733157968.898852,ble-pd-B43A31EF7B45,124,35,-78.0,,-80.0,,-50.0,1.7326254409624335,,1.0624891558597238,,0.9901734690010927,0.4949642678206851,,0.35871964290283503,,0.44495077580792036,,,,-3.8300557313409027,0.4,1.92
1733157969.897694,ble-pd-B43A31EF7B45,125,7,-70.0,-65.0,-82.0,,-57.0,1.80940916887938,2.7338104927412963,1.0708594711658428,,1.1693645425691819,0.4626364549538359,0.358990053622019,0.4512898241029579,,0.44956578623491317,-0.983348250389099,1.0742747783660889,0.24630767107009888,-4.148758807732192,0.4,1.92
1733157970.904291,ble-pd-B43A31EF7B45,126,9,,,,,-55.0,,,,,1.0720783349001377,,,,,0.30116364456717654,,,,-4.469936291845038,0.4,1.92
1733157971.898777,ble-pd-B43A31EF7B45,127,24,-76.0,,-77.0,,,1.819146751089146,,1.072821155624795,,,0.5432803017127977,,0.44811030936702595,,,,,,-4.787249488154432,0.4,1.92
1733157972.897421,ble-pd-B43A31EF7B45,128,30,-80.0,,-87.0,,,1.8501555335575925,,1.1235578365002217,,,0.4196164164949684,,0.5073966361584747,,,,,,-5.105889388178362,0.4,1.92
1733157973.898479,ble-pd-B43A31EF7B45,129,9,-80.0,,-73.0,-80.0,-54.0,1.8638558994693961,,1.1411980829286885,1.7110852614336547,1.1186210632541602,0.40521657132285543,,0.4997858211057327,0.2904941495964262,0.1921311750819538,-1.137237310409546,1.0316177606582642,-0.12186781316995621,-5.425299529367971,0.4,1.92
1733157974.899521,ble-pd-B43A31EF7B45,130,9,-71.0,,-70.0,-75.0,-59.0,2.0080271903452718,,1.2504910182722324,1.7596123175526426,1.1538666790939374,0.4951388713196534,,0.49873853300705906,0.26042880858889694,0.40968866219875394,-1.4293397665023804,1.028899908065796,-0.3727210760116577,-5.744704565396582,0.4,1.92
1733157975.898326,ble-pd-B43A31EF7B45,131,1,-73.0,-76.0,-77.0,-67.0,-60.0,2.028775878398079,3.038300885446634,1.233968500553272,1.7699938521139893,1.2111708339758773,0.554237511833279,0.3340531785704121,0.530407979162927,0.32763456086915754,0.3383875617697599,-1.6955056190490723,1.0391820669174194,-0.6289344429969788,-6.074868770951825,0.4484206373121398,1.92
1733157976.897896,ble-pd-B43A31EF7B45,132,17,-84.0,-73.0,-75.0,-80.0,-54.0,2.037983491550919,3.09040137111629,1.3300273894918848,1.8020348758209508,1.216982620437873,0.5185727248310468,0.29852514489015547,0.5079492753741799,0.26405550136136685,0.3444824519690486,-1.9617705345153809,1.0364996194839478,-0.8843462467193604,-6.426072729905082,0.5846077671239971,1.92
1733157977.897831,ble-pd-B43A31EF7B45,133,18,-82.0,-78.0,-69.0,-81.0,-55.0,2.091189721705176,3.0554330007391135,1.4307742408973645,1.8565700233591573,1.298017682891178,0.4113435395952327,0.2762637147591559,0.4741485013979214,0.2363027662206784,0.36729548692030833,-2.2368974685668945,1.051292061805725,-0.9949615597724915,-6.77740493344853,0.7208446266220009,1.92
1733157978.900397,ble-pd-B43A31EF7B45,134,18,-76.0,-91.0,-77.0,-73.0,,2.127480085247468,3.063711170671516,1.4452698267106658,1.885534563374859,,0.48186547670961677,0.3471511041541262,0.4611701850366655,0.21353060837162882,,-2.5188236236572266,1.055803894996643,-1.133357286453247,-7.129661552106483,0.8574399485974048,1.92
1733157979.89916,ble-pd-B43A31EF7B45,135,7,-84.0,-72.0,-94.0,-74.0,-57.0,2.175080361307108,3.139304998213415,1.6109269686290826,1.8753160142722252,1.8058543770314985,0.250361743418018,0.4272215057513668,0.44256673982094424,0.21280534638301618,0.5692322789949816,-2.78693151473999,1.0456874370574951,-1.2056382894515991,-7.142399139656493,1.2745354554487307,1.92
1733157980.899095,ble-pd-B43A31EF7B45,136,11,-74.0,-91.0,-78.0,,-55.0,2.2182230383341737,-2.981576353176273,1.6338099139794795,,2.051460888604727,0.3718636411734075,0.45114111984559063,0.2720392754800177,,0.60092087515001,-3.071380376815796,1.0308477878570557,-1.2633072137832642,-7.140728122093434,1.7041063275521915,1.92
1733157981.899243,ble-pd-B43A31EF7B45,137,8,-81.0,-69.0,-80.0,,-48.0,2.2210071069377424,-2.8517579026792705,1.6449312746916505,,2.2062932414835896,0.4948885674666996,0.4235260701332592,0.4860175778756457,,0.3939052941192637,-3.366253137588501,1.0563217401504517,-0.9766715168952942,-7.139056748580498,2.1337687041992055,1.92
1733157982.899043,ble-pd-B43A31EF7B45,138,7,,,-88.0,,-53.0,,,1.727363567280655,,2.2380793558201253,,,0.9630717544704117,,0.2809437552231549,-3.649582624435425,1.1200512647628784,-0.7760287523269653,-7.137385956619474,2.563281580465203,1.92
1733157983.900259,ble-pd-B43A31EF7B45,139,4,,,-80.0,,-50.0,,,1.7862247536935862,,2.279012511856237,,,0.7897548952037362,,0.45575418627493103,-3.9098849296569824,1.2124837636947632,-0.5055267214775085,-7.1357127983437705,2.993402768626372,1.92
1733157984.900189,ble-pd-B43A31EF7B45,140,24,,,-78.0,,-58.0,,,1.8159930357262741,,2.3202988091270504,,,0.37011540907582496,,0.45961953814336093,,,,-7.134041789136343,3.422971492735853,1.92
1733157985.899659,ble-pd-B43A31EF7B45,141,13,,,-83.0,-69.0,-56.0,,,1.803759538942886,2.991857486564524,2.447963985774507,,,0.34147840458468925,0.3791138309250392,0.3442788693790519,-4.154572010040283,1.3811622858047485,-0.2065398097038269,-7.132371548646961,3.852342601399162,1.92
1733157986.900405,ble-pd-B43A31EF7B45,142,13,,,,-72.0,,,,,3.0771729173496483,,,,,0.4393152864460665,,,,,-7.130699175800565,4.282261878126199,1.92
1733157987.899181,ble-pd-B43A31EF7B45,143,26,,-81.0,-74.0,-85.0,-55.0,,-2.764812350990909,1.8297258922033766,3.1008963563400744,2.8454195803649998,,0.30685591225408687,0.33620145075323815,0.35202855053255183,0.3350017928379274,-4.40445327758789,1.5499486923217773,0.03843484818935394,-6.894210572612253,4.462511986396533,1.92
1733157988.898977,ble-pd-B43A31EF7B45,144,19,-90.0,-75.0,-73.0,-83.0,-46.0,2.7420439215673853,-2.6619621349564846,1.8251516467150566,3.13194029253491,2.8562875663503315,0.5786727472040557,0.2743407460045506,0.33326804539154314,0.30007397280111836,0.40375853990555177,-4.656920433044434,1.7770315408706665,0.23058784008026123,-6.488032429428009,4.463393949961155,1.92
1733157989.898735,ble-pd-B43A31EF7B45,145,21,-81.0,-75.0,-81.0,-81.0,-44.0,2.710768290357713,-2.475077202305155,1.826179626895827,-3.1037187744633403,2.9295722975609295,0.5433366608593666,0.2642920067109227,0.5255927175959548,0.4065220861787259,0.6002666408489803,-4.88502597808838,2.044532537460327,0.2668571472167969,-6.081869724162543,4.464275880004323,1.92
