CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1732554214.636185,ble-pd-B43A31EF7B45,70,32,-81.0,-60.0,,,-66.0,1.4330858647235531,1.8874893236149772,,,-2.4362531477242846,0.2480658322422607,0.6635481571980718,,,0.24252171873538284,,,,-1.487250468492985,0.4,1.92
1732554215.635768,ble-pd-B43A31EF7B45,71,28,,-57.0,,,,,2.0478510360218807,,,,,0.6731575082013502,,,,,,,-1.911289063618537,0.4,1.92
1732554216.63391,ble-pd-B43A31EF7B45,72,14,-77.0,-55.0,,-70.0,,1.3338314487929541,2.1120172393262497,,0.9497985595974567,,0.2597843402498546,0.687859289262051,,0.16815959788146667,,,,,-2.334716364218696,0.4,1.92
1732554217.636711,ble-pd-B43A31EF7B45,73,4,-74.0,-60.0,-72.0,-70.0,-64.0,1.5373821772298903,2.141764748702435,0.6665047986402778,0.9668033757898308,-2.360028199092241,0.3070594110508826,0.8116380898809172,0.2959380503387117,0.18931465102710646,0.25282247149890685,-0.8904287219047546,1.6707240343093872,-0.595971703529358,-2.7601200848006773,0.4,1.92
1732554218.636948,ble-pd-B43A31EF7B45,74,11,-82.0,-62.0,-75.0,-67.0,-57.0,2.056468492677159,2.1815566364459626,0.7629184206360895,1.0233239099206914,-2.4094423861646956,0.40856519678800746,0.782428472465901,0.41708897675194234,0.3078300965808379,0.2780964962353479,-0.9683992862701416,1.6060848236083984,-0.4611632823944092,-3.184436116858642,0.4,1.92
1732554219.636156,ble-pd-B43A31EF7B45,75,27,-80.0,-71.0,-86.0,-69.0,,1.9652637474574333,2.1811672822945933,0.7809096716962287,1.0642987738204326,,0.2252484172994366,0.7787879312557626,0.36542142120699217,0.3211486983503787,,-1.068334698677063,1.5595288276672363,-0.2906022071838379,-3.608315631174324,0.4,1.92
1732554220.637206,ble-pd-B43A31EF7B45,76,33,-80.0,-70.0,-76.0,-82.0,,1.5781290745403207,2.1729956388057943,0.8479142720904044,1.5032809321036438,,0.28420722521107616,0.7673278164529337,0.4287094804314214,0.2136038120120924,,-1.1665908098220825,1.5137296915054321,-0.1661899983882904,-4.032976550428087,0.4,1.92
1732554221.63884,ble-pd-B43A31EF7B45,77,5,-70.0,-67.0,-72.0,-71.0,-72.0,2.1799949587827405,2.3028306009015553,0.9094356901162158,1.5766403674909664,-2.830562024527873,0.39795755985011283,0.8679306574224672,0.3871071757788575,0.1612313843056255,0.299993944296125,-1.4289906024932861,1.4845376014709473,-0.030031077563762665,-4.457885211529753,0.4,1.92
1732554222.637355,ble-pd-B43A31EF7B45,78,4,-78.0,-65.0,-77.0,-72.0,-58.0,2.193606907746353,2.4279943784453173,0.9004302108901129,1.6341721038877302,-2.6007194831940263,0.45616547284764775,0.892370686483206,0.42425620903561806,0.2004272399524369,0.2410361519557839,-1.6686023473739624,1.5631698369979858,0.10344937443733215,-4.881470744508796,0.4,1.92
1732554223.639028,ble-pd-B43A31EF7B45,79,4,-70.0,-67.0,,-69.0,-55.0,2.2152653316275317,2.5388750904307664,,1.691300105063238,-2.476732636366056,0.3366406725960195,0.8245855801525557,,0.22352984615849483,0.22195161283894818,-1.9134018421173096,1.6330729722976685,0.24741333723068237,-5.306395950014689,0.4,1.92
1732554224.636766,ble-pd-B43A31EF7B45,80,15,-79.0,-80.0,-80.0,,,2.303945400133862,2.583261996319117,0.9264748610866518,,,0.4453282714237883,0.8167540223349595,0.42677043284173466,,,-2.159862518310547,1.7186886072158813,0.27470871806144714,-5.729651867555681,0.4,1.92
1732554225.639884,ble-pd-B43A31EF7B45,81,26,-78.0,-69.0,-80.0,,-57.0,2.328340488351206,2.616154698942686,0.8314804376357434,,3.141592653589793,0.5026113684432796,0.8136413862319021,0.5070169692555704,,0.5585053606911774,-2.40303635597229,1.8416383266448975,0.1570989191532135,-6.228814258341191,0.5081164167604448,1.92
1732554226.636954,ble-pd-B43A31EF7B45,82,15,-74.0,-79.0,-76.0,,-56.0,2.3039858801824313,2.646677720828302,0.7286123784220158,,-2.3521920152762115,0.4289766287782699,0.8393657247283318,0.5611944875488931,,0.6637753621869606,-2.638256549835205,2.022955894470215,-0.04166078194975853,-6.803553468055308,0.730984301264328,1.92
1732554227.635782,ble-pd-B43A31EF7B45,83,35,-81.0,-74.0,-80.0,,,2.332132297111261,2.6440545071545736,1.094565066976965,,,0.44482420160846353,0.9382295880850708,0.6396279771821165,,,-2.885284423828125,2.1426520347595215,-0.3709450960159302,-7.143198133715237,1.0691369113472644,1.92
1732554228.63733,ble-pd-B43A31EF7B45,84,18,-74.0,-75.0,-79.0,,,2.2874838688038643,2.773764833311319,1.2009130787870992,,,0.38031671421040075,0.8681854553597605,0.6190054563859515,,,,,,-7.141230759883998,1.574892512678016,1.92
1732554229.635578,ble-pd-B43A31EF7B45,85,32,-81.0,-76.0,-80.0,-88.0,,2.402907400976771,2.8316038984978777,1.3634468653790712,2.4926442118036447,,0.4505265954240548,0.9168243642445317,0.6401919681219679,0.520724991755508,,-3.091717481613159,2.215289831161499,-0.7629294395446777,-7.1392698683518026,2.0789817001330553,1.92
1732554230.636551,ble-pd-B43A31EF7B45,86,33,-75.0,-70.0,-80.0,-72.0,,2.5306128994649044,2.859544186758335,1.6113829018077042,2.515064299756586,,0.4507428773940829,0.8542930755333622,0.739569222357847,0.537052898977811,,-3.298611640930176,2.2688114643096924,-1.2353603839874268,-7.1373036240120635,2.5844469414703117,1.92
1732554231.636619,ble-pd-B43A31EF7B45,87,2,-73.0,-81.0,,-67.0,-55.0,2.5064463104690895,2.9957776596891206,,2.562194794199936,-1.256825230456276,0.42524610601280055,0.7823198154934257,,0.5381455939730706,0.7904542643632879,,,,-7.135339157393728,3.0894551814265014,1.92
