CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1732553492.184594,ble-pd-B43A31EF7B26,737,35,-92.0,-67.0,-87.0,-80.0,,1.4613313512449337,1.8232996844930154,1.1332607976158164,1.1852161410060635,,0.23401965486291026,0.9076362587466765,0.20168927870351183,0.39584953468926065,,-0.4021359086036682,-0.10841452330350876,0.282625138759613,-1.2864424628631579,0.4,1.92
1732553492.478853,ble-pd-B43A31EF7527,629,9,-87.0,-57.0,,-73.0,-64.0,1.4323934428401326,1.5101982267190155,,0.781018594984813,-2.70968276640744,0.23411484622712378,0.8135844611636016,,0.21023118480761604,0.23870337208164263,0.3694044053554535,-0.3707030415534973,-0.6538959741592407,-1.4057373875700416,0.4,1.92
1732553492.530766,ble-pd-B43A31EB228D,795,14,-85.0,-62.0,,,-64.0,1.2463905491418372,1.9896955872978204,,,-2.6131100935580136,0.37689295431299485,1.3170507376063103,,,0.5769016326300747,0.618707776069641,1.4590604305267334,-0.6788423657417297,-1.426783328140452,0.4,1.92
1732553492.54344,ble-pd-B43A31EB2289,963,2,-87.0,-72.0,-93.0,,-64.0,1.6307179839538974,1.3070736040564919,1.0101447246342163,,-2.5017895617711687,0.705419840594897,0.683569402799124,0.15287952803481206,,0.35796229101021143,-0.7710976600646973,0.9843930006027222,-1.280637264251709,-1.4319214679279695,0.4,1.92
1732553493.178732,ble-pd-B43A31EF7B26,738,29,,-63.0,-77.0,-77.0,-53.0,,2.0122610838462798,1.1176900936704501,1.1854001654373878,-2.576146297153642,,0.673064430721252,0.2617233046157572,0.35995917794269877,0.8784511940111578,,,,-1.689473866688536,0.4,1.92
1732553493.478922,ble-pd-B43A31EF7527,630,25,-85.0,-60.0,,-85.0,,1.5130760385929551,1.5645719866951635,,1.0427170489786484,,0.15516443702631602,0.8766184215305237,,0.30585745987190255,,0.25120821595191956,-0.31576862931251526,-0.6394155025482178,-1.8111732656797632,0.4,1.92
1732553493.532034,ble-pd-B43A31EB228D,796,27,,-67.0,,,,,2.150310832640499,,,,,1.2331308032323873,,,,,,,-1.8327052903282257,0.4,1.92
1732553493.544631,ble-pd-B43A31EB2289,964,17,,-78.0,,,-71.0,,1.0822287721755,,,-2.456640144096094,,0.8173762033446292,,,0.43553386997830407,,,,-1.837812213707061,0.4,1.92
1732553494.180052,ble-pd-B43A31EF7B26,739,31,-78.0,-65.0,-82.0,-72.0,-59.0,1.629221820053491,2.0149370281095913,1.1477875424138715,1.3436883406195554,-2.495742255801727,0.37226837508007227,0.6326626125090686,0.3458069068834223,0.3827227470972328,0.5903723670500612,-0.4277714490890503,-0.1995224505662918,0.15408316254615784,-2.095416910087368,0.4,1.92
1732553494.47781,ble-pd-B43A31EF7527,631,16,-87.0,-69.0,,-79.0,-58.0,1.5183299227914635,1.6450915969892732,,1.0275484823578842,-2.672052178017387,0.1880126315701667,0.9319108389246943,,0.2572199990809741,0.2503480914278484,,,,-2.216130357053722,0.4,1.92
1732553494.53723,ble-pd-B43A31EB228D,797,30,-91.0,-60.0,-86.0,,,1.2435622720641732,2.1504019127497798,0.9063096716286808,,,0.3718342132433621,1.316055381148893,0.25351973648339077,,,0.70292866230011,1.429733157157898,-0.679569125175476,-2.240219694766699,0.4,1.92
1732553494.544471,ble-pd-B43A31EB2289,965,19,-86.0,-63.0,-99.0,-84.0,-67.0,1.6417993972497171,0.9128184373328345,0.9835535937819931,1.0202924336518542,-2.3672329296392554,0.7498034175318853,0.7806173897665926,0.15284237693760544,0.25850802029743414,0.2946132825515736,-0.9135614037513733,1.0390856266021729,-1.1024537086486816,-2.2431552534065453,0.4,1.92
1732553495.179587,ble-pd-B43A31EF7B26,740,0,-82.0,-56.0,-81.0,-67.0,-55.0,1.7319026590425861,2.1145062296810377,1.1538630118086695,1.5070775345536607,3.082841717625951,0.29634967517469707,0.6441884408117952,0.2371125336396306,0.28067277768086385,0.47054073528613666,-0.5292052030563354,-0.2591084837913513,0.10158181935548782,-2.5006363003758385,0.4,1.92
1732553495.477921,ble-pd-B43A31EF7527,632,33,-89.0,-63.0,-81.0,-74.0,-56.0,1.6816797019414358,1.7610158034471142,0.9216175215744563,0.9846726540720444,-2.672696372714174,0.24546129398567682,0.9902611644615211,0.491297361315755,0.3435468818033538,0.3619757732699779,0.06978359818458557,-0.15965670347213745,-0.6078956127166748,-2.621583262295452,0.4,1.92
1732553495.528763,ble-pd-B43A31EB228D,798,8,-87.0,-66.0,-84.0,,-63.0,1.1495335108245275,2.107354576889739,1.1098601337495082,,-2.398703755047092,0.39227007973662603,1.2633217289300709,0.3254711086681181,,0.6348163411504439,0.69107323884964,1.3745685815811157,-3.3204948902130127,-2.6421950109996457,0.4,1.92
1732553495.551453,ble-pd-B43A31EB2289,966,16,,-69.0,-85.0,-74.0,-66.0,,0.9241155666769506,0.9235365954559673,1.0219260166645088,-2.3107893145028404,,0.7965882336657433,0.1734472043572781,0.26473367533295555,0.22813233431320873,-1.0356876850128174,1.062142252922058,-0.9508652091026306,-2.6513937163632852,0.4,1.92
1732553496.17856,ble-pd-B43A31EF7B26,741,26,-83.0,-65.0,-85.0,-69.0,-62.0,1.8528820778816155,2.608709033167042,1.0638673417238398,1.4647327405891828,-2.751490752203714,0.33598513549369646,0.3710353647848792,0.6159350313861719,0.30217184466031466,0.3411439131860494,-0.7309580445289612,-0.2096106857061386,0.008947379887104034,-2.9056278514217193,0.4,1.92
1732553496.478938,ble-pd-B43A31EF7527,633,18,-85.0,-62.0,-83.0,-75.0,-68.0,1.7222737338052956,1.772767800705416,0.8893320196794257,0.9724314341214951,-2.6196653885149495,0.28752242800454764,1.0105506569633715,0.30193492319183846,0.4033741299017114,0.49642858902705955,-0.14747366309165955,0.09573638439178467,-0.556772291660309,-3.02740346709908,0.4,1.92
1732553496.532691,ble-pd-B43A31EB228D,799,36,,-68.0,-88.0,,-67.0,,2.0550314509529524,1.0665270407045018,,-2.426358698451822,,1.2754877145798251,0.4913151379160313,,0.6299491990076642,,,,-3.0491953582146243,0.4,1.92
1732553496.553467,ble-pd-B43A31EB2289,967,11,,-77.0,-96.0,-82.0,,,0.8989244596097821,0.7632603705200556,1.0299059125548222,,,0.6053291920820131,0.16594834193886024,0.2594839689684073,,-1.1580921411514282,1.0810866355895996,-0.7995870113372803,-3.057618112848162,0.4,1.92
1732553497.178709,ble-pd-B43A31EF7B26,742,10,-86.0,-63.0,,-74.0,,1.9045692409500914,2.660117629585496,,1.1227916450546063,,0.3054855161361594,0.3908454217114881,,0.3340173257642369,,,,,-3.311096162163838,0.4,1.92
1732553497.47849,ble-pd-B43A31EF7527,634,30,-75.0,,-79.0,-79.0,-58.0,1.726392578747212,,0.9029732634150296,0.9614418998832832,-2.636044642436974,0.3555977856045033,,0.3032379080446734,0.5457589390288482,0.35559049985216074,-0.3991544246673584,0.4136878252029419,-0.4846709370613098,-3.432629749321934,0.4,1.92
1732553497.529484,ble-pd-B43A31EB228D,800,36,-92.0,-69.0,-87.0,,,1.1392712858800165,2.12989557235617,1.0514202594210273,,,0.38635896067059977,1.258571315335642,0.49153884344759796,,,0.6675339341163635,1.236358880996704,-5.747150421142578,-3.453303120027683,0.4,1.92
1732553497.545378,ble-pd-B43A31EB2289,968,4,,-66.0,-88.0,-77.0,-65.0,,0.8731557129021754,0.8368262008918594,0.9879012042615475,-2.5739872942523307,,0.596669524323457,0.24362977152500206,0.2794236552610758,0.6663239428945864,,,,-3.459746673269185,0.4,1.92
