CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740406627.160711,ble-pd-B43A31EF7B26,6356,15,-71.0,-69.0,,,-53.0,-57.0,-52.0,1.6957784767523152,1.6379740326599275,,,0.774417117641459,1.5445037299552018,-1.1959499440349755,0.09581352857843271,0.7784793374644496,,,0.4940968454500311,0.6453128578210312,0.7883557617942453,-1.6501349210739136,1.48903751373291,0.768423616886139,,,
1740406628.159593,ble-pd-B43A31EF7B26,6357,25,-72.0,,-78.0,,-63.0,-51.0,-55.0,1.6645891319619612,,1.025329802853739,,0.8026986045286139,1.3217167474893932,-0.8362454857653498,0.07502423564138007,,0.125241575137106,,0.5433209627071369,0.6213327751925111,0.5586150362182088,-1.6483678817749023,1.3934334516525269,0.8467352986335754,,,
1740406629.159853,ble-pd-B43A31EF7B26,6358,5,-76.0,,-69.0,,-59.0,-54.0,-53.0,1.6592393739642102,,0.984087557580554,,0.699154841276842,1.2834858746019897,0.039905607683646885,0.09186280400270584,,0.09580448215310486,,0.6034116483211126,0.25834526606742675,0.5058078445218618,-1.643251657485962,1.331991195678711,0.945245862007141,,,
1740406630.160658,ble-pd-B43A31EF7B26,6359,27,-70.0,,-77.0,-75.0,-55.0,-51.0,-53.0,1.6639723438534988,,1.0387641189726438,0.8336732844773147,0.7290933567157764,1.1893754593229655,-0.41094595835940334,0.16836534372043208,,0.08450786047407152,0.3760567883097372,0.3919975356165605,0.3679140947293586,0.35472146586225667,-1.6390992403030396,1.2902956008911133,1.0373965501785278,,,
1740406631.159927,ble-pd-B43A31EF7B26,6360,36,-75.0,,-75.0,-72.0,-56.0,-51.0,-60.0,1.6611600457423752,,1.0572989212112682,1.0154556004800523,0.6936286676794489,1.0014890109621517,-0.9406288334505379,0.17979847737246718,,0.10269994716991643,0.186036649265112,0.3442788693271463,0.3609133793006874,0.756094459547704,-1.6385774612426758,1.2487843036651611,1.1108801364898682,,,
1740406632.159169,ble-pd-B43A31EF7B26,6361,3,-81.0,,-71.0,-74.0,-57.0,-63.0,-55.0,1.5492785178192743,,1.0636399077667469,1.1405919474645865,0.6849525093541441,0.9855524924420377,2.811506179176443,0.24413753647633932,,0.07870479916927525,0.2677487398715751,0.43553386991295684,1.039103248172186,1.1853259067889022,-1.6046483516693115,1.1521787643432617,1.1043015718460083,,,
1740406633.159631,ble-pd-B43A31EF7B26,6362,30,-86.0,,-78.0,-77.0,-53.0,-51.0,-55.0,1.503317151094469,,1.0956764040998552,1.1329039340297458,0.7743597238043892,0.8967217243562249,-2.7955403459758124,0.3161509436697087,,0.14853734374597874,0.31087578747199335,0.2946132825100583,0.5424452602864598,0.7027656857816623,-1.573320984840393,1.0591391324996948,0.966101050376892,,,
1740406634.15977,ble-pd-B43A31EF7B26,6363,34,-87.0,,-84.0,-71.0,-62.0,-50.0,-61.0,1.7889710054096761,,1.1375583406668774,1.1368243734704515,0.9500761034283888,1.8332788274303222,2.7889780533935933,0.3755052143584682,,0.17829294247397495,0.3028112363485291,0.29992444719111727,0.80534575730177,0.46284322619154084,-1.5630592107772827,0.9863635301589966,0.8546846508979797,,,
1740406635.160213,ble-pd-B43A31EF7B26,6364,36,-81.0,-62.0,-78.0,-72.0,-79.0,-50.0,-60.0,1.82755328538609,2.3893620310404096,1.1490735829042709,1.1587448524028934,0.9267714677745534,2.2365227465996376,2.170347838506173,0.23520085003014446,1.1710535834870763,0.158253604022267,0.2212020103391702,0.237987746074285,0.5532824127904231,0.7540057477234919,-1.5708801746368408,0.9662699699401855,0.709441602230072,,,
1740406636.160124,ble-pd-B43A31EF7B26,6365,33,-75.0,-64.0,-84.0,-68.0,,-58.0,-57.0,1.903478410167595,2.3357765667469255,1.1596894756415448,1.1840219795732718,,2.1537427306127848,2.534857565188266,0.21448977912773445,1.0872090165720028,0.1683798413036162,0.2098258849792196,,0.50321634837366,0.5543129824075231,-1.5872597694396973,0.977065920829773,0.6261286735534668,,,
