CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1740403103.073861,ble-pd-B43A31EF7B26,2832,29,-69.0,-73.0,-84.0,-75.0,-64.0,-55.0,,1.7254231881104232,-1.4682090979181177,0.263801552306671,-0.7617615434585591,-0.24242956952327815,-1.5789343378021148,,0.38574253874678727,0.14725328398164023,0.15722891950334544,0.1861980368271708,0.35669908324702365,0.4362612932598998,,-1.1726784706115723,6.54822063446045,1.5326546430587769,-1.4326613873049894,6.84,1.92
1740403104.069767,ble-pd-B43A31EF7B26,2833,17,-58.0,-77.0,-68.0,-77.0,-58.0,-53.0,-56.0,1.7356811519971904,-1.4617750338825408,0.297477756922941,-0.825015081457358,0.23814280738563431,-1.74933999824747,-0.9306703438721929,0.4373086611437191,0.0933369968241192,0.12534929168082126,0.21404003779864736,0.3058427351150503,0.47619013516761755,0.4229330807364282,-1.1935726404190063,6.50723123550415,1.4986770153045654,-1.840028223860206,6.84,1.92
1740403105.069381,ble-pd-B43A31EF7B26,2834,31,,-74.0,-76.0,-73.0,-55.0,-56.0,-60.0,,-1.5641855620209928,0.3198379237513553,-0.8234555343230077,-0.218713182950196,-1.8561488192897388,-1.0177711170071417,,0.1058954824842809,0.1803499015209249,0.19886441380099434,0.2900317836728512,0.4869028733636509,0.35243793554785335,-1.2158098220825195,6.49323034286499,1.4747285842895508,-2.2489117861204053,6.84,1.92
1740403106.069376,ble-pd-B43A31EF7B26,2835,17,,-81.0,-70.0,-62.0,-56.0,-52.0,-65.0,,-1.5949924768788115,0.32225607402114725,-0.8677036895185651,-0.5586532194545794,-2.0766260362644617,-0.8931441669324967,,0.16495375114025654,0.2573504606848744,0.1986083009279128,0.23852261588134166,0.605326781392063,1.3233527488084187,-1.2657015323638916,6.498642444610596,1.4518475532531738,-2.7071076851508207,6.84,1.92
1740403107.07939,ble-pd-B43A31EF7B26,2836,25,,-75.0,-69.0,-64.0,-55.0,-61.0,-67.0,,-1.5368225139268104,0.37163267852787035,-0.992810608573054,-0.643795114088511,-2.2006003221025123,0.30757958729850815,,0.20789461049096458,0.23601256488564382,0.2583074010435671,0.37194288313017476,0.4731999053728592,0.8138047983677497,-1.3584718704223633,6.54567813873291,1.4263560771942139,-3.184117958440072,6.84,1.92
1740403108.068311,ble-pd-B43A31EF7B26,2837,34,,-78.0,-75.0,-72.0,-53.0,-51.0,-66.0,,-1.6140773550405918,0.3440553791239908,-1.0263537882928746,-0.7848272706573695,-2.1729819299950806,-0.4609150419838748,,0.16132372941642398,0.15991982740303193,0.3142001115921984,0.2651911351080645,0.3775970075255394,0.8534888819886058,-1.4382474422454834,6.5526442527771,1.4136861562728882,-3.636089859844035,6.84,1.92
1740403109.068806,ble-pd-B43A31EF7B26,2838,27,,-81.0,-72.0,-65.0,-56.0,-60.0,-54.0,,-1.6292433916583207,0.29419328035054626,-0.9477170328894509,-0.9489681917585642,-2.798786333231779,-1.9786177515672645,,0.2120218776798285,0.1686902826629354,0.3256425829528056,0.18706008054394696,0.9671333802324605,0.8558443266803564,-1.5185290575027466,6.49303436279297,1.4334356784820557,-4.044523099250181,6.84,1.92
1740403110.068452,ble-pd-B43A31EF7B26,2839,13,-70.0,-81.0,-73.0,-68.0,,-55.0,-68.0,2.9414880556034193,-1.704580756787245,0.3750649605407645,-1.0174629581516996,,-2.618715907630904,-2.0629706783059776,0.31455950518130454,0.21386328712605016,0.17152618303921985,0.29003365575443785,,0.5618046739197455,0.6859014892378699,-1.608105182647705,6.4771294593811035,1.4675394296646118,-4.45260975039726,6.84,1.92
1740403111.068156,ble-pd-B43A31EF7B26,2840,30,-67.0,-83.0,-62.0,-74.0,-51.0,-63.0,-54.0,3.1179693494563545,-1.8526638318302837,0.7811389698660846,-0.8717077522174993,-1.1547411153944078,-2.574385345294916,-1.3742783688190028,0.3863308310315858,0.19936362334732968,0.27348084457807764,0.28633429197372245,0.3840834318695599,0.3747051476391126,0.43113307219328867,-1.7035809755325317,6.44480562210083,1.472116470336914,-4.864968305216539,6.84,1.92
1740403112.0686,ble-pd-B43A31EF7B26,2841,22,-67.0,-77.0,-65.0,-75.0,-54.0,-52.0,-58.0,3.0869781438511024,-1.8440141509258152,0.8209210039135793,-0.8367489692202471,-1.4654209420422264,-1.4373854310134433,-1.6805175192320954,0.46056821076176674,0.12990747497881686,0.6629577343844013,0.294732237576151,0.4959896755697271,0.9890041898240364,0.5130233131386313,-1.8082609176635742,6.413827896118164,1.4712367057800293,-5.287753051151155,6.84,1.92
